,string,count,group
0,The Mining Association of Canada (MAC),2046,mining association of canada
1,Alliance of Manufacturers & Exporters Canada (CME),1599,alliance of manufacturers & exporters canada (cme)
2,Canadian Association of Petroleum Producers,1592,canadian association of petroleum producers
3,Universities Canada,1517,universities canada
4,The Canadian National Railway Company,1498,canadian national railway
5,The Centre for Israel and Jewish Affairs,1426,the centre for israel and jewish affairs
6,FEDERATION OF CANADIAN MUNICIPALITIES,1419,federation of canadian municipalities
7,Canadian Medical Association,1283,canadian medical association
8,Canadian Federation of Independent Business (CFIB),1271,canadian federation of independent business (cfib)
9,Canadian Chamber of Commerce,1204,canadian chamber of commerce
10,CANADIAN CATTLEMENS' ASSOCIATION,1193,canadian cattlemen's association
11,Chicken Farmers of Canada,1151,chicken farmers of canada
12,GENERAL MOTORS OF CANADA COMPANY,1060,general motors of canada company
13,Dairy Farmers of Canada,1053,dairy farmers of canada
14,Canadian Bankers Association,1041,canadian bankers association
15,Heart and Stroke Foundation of Canada,1035,heart and stroke foundation of canada
16,Canadian Federation of Agriculture,917,canadian federation of agriculture
17,TELUS Corporation,917,telus
18,Forest Products Association of Canada,876,forest products association of canada
19,TC Energy Corporation,855,tc energy
20,Canadian Labour Congress,826,canadian labour congress
21,Fédération des communautés francophones et acadienne du Canada,821,federation des communautes francophones et acadienne du canada
22,Innovative Medicines Canada,815,innovative medicines canada
23,Business Council of Canada,810,business council of canada
24,Suncor Energy Inc.,806,suncor energy inc
25,"Ford Motor Company of Canada, Ltd.",794,"ford motor company of canada, ltd."
26,"Food, Health & Consumer Products of Canada",793,food and consumer products of canada
27,Shaw Communications,790,shaw communication inc.
28,Canola Council of Canada,771,canola council of canada
29,Tourism Industry Association of Canada,766,tourism industry association of canada
30,University of Alberta,764,university of alberta
31,University of Calgary,748,university of calgary
32,Canadian Federation of Students,741,canadian federation of students
33,Greater Toronto Airports Authority,732,greater toronto airport authority
34,Canadian Parks and Wilderness Society,732,canadian parks and wilderness society
35,Chartered Professional Accountants of Canada (CPA Canada),710,chartered professional accountants of canada
36,University of Victoria,694,university of victoria
37,Canadian Gas Association,690,canadian gas association
38,Bombardier Inc.,686,bombardier inc.
39,Canadian Canola Growers Association,685,canadian canola growers association
40,Enbridge Inc.,685,enbridge inc.
41,Canadian Steel Producers Association,674,canadian steel producers association
42,CANADIAN ELECTRICITY ASSOCIATION,672,canadian electricity association
43,Fertilizer Canada,669,fertilizer canada
44,Rogers Communications Inc.,668,rogers communications
45,CANADIAN CANCER SOCIETY,667,canadian cancer society
46,Unifor,662,unifor
47,Polytechnics Canada,660,polytechnics canada
48,Irving Shipbuilding Inc.,635,irving shipbuilding inc.
49,Colleges and Institutes Canada,625,colleges and institutes canada
50,Rick Hansen Foundation,622,rick hansen foundation
51,Air Canada,615,air canada
52,Chemistry Industry Association of Canada,614,chemistry industry association of canada
53,Imperial Oil Limited,613,imperial oil limited
54,University of Saskatchewan,592,university of saskatchewan
55,BCE Inc.,590,bce inc.
56,WORLD VISION CANADA,571,world vision canada
57,Grain Growers of Canada,569,grain growers of canada
58,Multiple Sclerosis Society of Canada,568,multiple sclerosis society of canada
59,Canadian Dental Association,565,canadian dental association
60,David Suzuki Foundation,558,david suzuki foundation
61,CANADIAN NURSES ASSOCIATION/ASSOCIATION DES INFIRMIERES ET INFIRMIERS DU CANADA(CNA),553,canadian nurses association (cna)
62,Cooperation Canada,546,cooperation canada
63,Xplornet Communications Inc.,546,xplornet communications inc.
64,Restaurants Canada,540,restaurants canada
65,Canadian Urban Transit Association,533,canadian urban transit association
66,Aerospace Industries Association of Canada,532,aerospace industries association of canada
67,HealthCareCAN,529,healthcarecan
68,Canadian Energy Pipeline Association,529,canadian energy pipeline association
69,Environmental Defence Canada,511,environmental defence canada
70,Canadian Fuels Association,510,canadian fuels association
71,TEAMSTERS CANADA,510,teamsters canada
72,NATURE CANADA,506,nature canada
73,Genome Canada,505,genome canada
74,Retail Council of Canada,497,retail council of canada
75,McMaster University,496,mcmaster university
76,Mitacs Inc.,492,mitacs inc.
77,TECHNATION Canada,488,technation
78,Ovintiv Canada ULC,481,ovintiv canada ulc
79,U15-Group of Canadian Research Universities,481,u15-group of canadian research universities
80,International Union of Operating Engineers,481,international union of operating engineers
81,University of Waterloo,480,university of waterloo
82,University of Manitoba,475,university of manitoba
83,TELESAT CANADA,474,telesat
84,Shell Canada Limited,473,shell canada
85,Rio Tinto Canada Management Inc,473,rio tinto
86,Canadian Vehicle Manufacturers' Association,471,canadian vehicle manufacturer's association
87,Canadian Beverage Association,469,canadian beverage association
88,Saskatchewan Association of Rural Municipalities,468,saskatchewan association of rural municipalities
89,Canadian Meat Council,462,canadian meat council
90,Canadian Produce Marketing Association,457,canadian produce marketing association
91,Prospectors and Developers Association of Canada,456,prospectors and developers association of canada
92,Vancouver International Airport Authority,455,vancouver international airport authority
93,Dairy Farmers of Ontario,454,dairy farmers of ontario
94,CAMECO CORPORATION,453,cameco
95,Canadian Alliance of Student Associations,441,canadian alliance of student associations
96,Teck Resources Limited,437,teck resources limited
97,RESULTS Canada,433,results canada
98,Dairy Farmers of Manitoba,429,dairy farmers of manitoba
99,Queen's University,427,queen's university
100,Canadian Media Producers Association,427,canadian media producers association
101,PEMBINA INSTITUTE,426,pembina institute
102,"J.D. Irving, Limited",425,j.d. irving limited
103,Bruce Power,420,bruce power
104,Canadian Life and Health Insurance Association Inc.,412,canadian life and health insurance association
105,SNC-Lavalin Inc.,408,snc-lavalin
106,Council of Canadian Innovators,407,council of canadian innovators
107,ROYAL BANK OF CANADA,407,royal bank of canada
108,Canadian Horticultural Council,407,canadian horticultural council
109,Cenovus Energy Inc.,390,cenovus energy inc.
110,Canadian Home Builders' Association,387,canadian home builders' association
111,Canadian Aquaculture Industry Alliance,383,canadian aquaculture industry alliance
112,BlackBerry Limited,383,blackberry limited
113,WINE GROWERS CANADA,382,wine growers canada
114,Canadian Airports Council,375,canadian airports council
115,HOTEL ASSOCIATION OF CANADA,374,hotel association of canada
116,World Wildlife Fund Canada,373,world wildlife fund canada
117,CANADIAN HEALTH FOOD ASSOCIATION,370,canadian health food association
118,Transat A.T. Inc.,360,transat a.t inc
119,Canadian Generic Pharmaceutical Association (CGPA),357,canadian generic pharmaceutical association
120,National Cattle Feeders' Association,356,national cattle feeders' association
121,UNIVERSITY OF TORONTO,353,university of toronto
122,Scotiabank,348,scotiabank
123,Imagine Canada,344,imagine canada
124,Canadian Agri-Food Trade Alliance,342,canadian agri-food allliance
125,Ontario Power Generation Inc.,340,ontario power generation inc.
126,WestJet Airlines Ltd.,340,westjet
127,CANADIAN FOODGRAINS BANK,336,canadian foodgrains bank
128,Dairy Processors Association of Canada,336,dairy processors association of canada
129,Boys and Girls Clubs of Canada,335,boys and girls clubs of canada
130,Renewable Industries Canada,335,renewable industries canada
131,Dalhousie University,334,dalhousie university
132,Engineers Canada,329,engineers canada
133,Merit Canada,322,merit canada
134,Canadian Red Cross,322,canadian red cross
135,Canadian Cable Systems Alliance Inc.,322,canadian cable systems alliance
136,Google Canada Corporation,322,google canada
137,The University of British Columbia,318,the university of british columbia
138,FCA Canada Inc.,317,fca canada inc.
139,FÉDÉRATION DES CAISSES DESJARDINS DU QUÉBEC,315,federation des caisses desjardins du quebec
140,Davie Canada Yard Inc.,312,davie canada yard inc.
141,Canadian Pacific Railway,311,canadian pacific railway
142,Music Canada,311,music canada
143,Hoffmann-La Roche Limited,310,hoffmann-la roche ltd.
144,CANADIAN CONSUMER SPECIALTY PRODUCTS ASSOCIATION,309,canadian consumer specialty products association
