,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,regularization,norm,alpha_decay,fold,threshold,alpha
0,834538,1429252454,221898,90405540,1.0,0.059998166782700944,0.0005835575071086305,0.7899560408770622,0.001166253477705241,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.0,873.5230102539062
1,834538,1280352706,221898,239305288,1.0,0.15791250563723525,0.0006513786364235765,0.7899560408770622,0.001301683935771085,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.05,873.5230102539062
2,834538,591587696,221898,928070298,1.0,0.610834498361405,0.001408687844757697,0.7899560408770622,0.002812360552064997,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.1,873.5230102539062
3,827324,3994456,229112,1515663538,1.0,0.9972226422550616,0.17158061960520804,0.7831274208754718,0.2814881249685279,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.15000000000000002,873.5230102539062
4,786488,785762,269948,1518872232,1.0,0.9993057802443552,0.5002308793130863,0.7444729259510278,0.5983887006664166,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.2,873.5230102539062
5,780618,621126,275818,1519036868,1.0,0.9994101824890291,0.5568905591891244,0.738916507956942,0.6351186650285984,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.25,873.5230102539062
6,766476,43868,289960,1519614126,1.0,0.9997804794947596,0.9458649659897524,0.7255299895119061,0.8211744286954006,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.30000000000000004,873.5230102539062
7,762702,34134,293734,1519623860,1.0,0.9997843987052849,0.9571630799813261,0.7219576008390475,0.8230869510789565,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.35000000000000003,873.5230102539062
8,741738,30214,314698,1519627780,1.0,0.9997731908153196,0.9608602607416005,0.7021135213112768,0.8113573267818429,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.4,873.5230102539062
9,741722,24014,314714,1519633980,1.0,0.9997772573250324,0.9686393221684758,0.7020983760492827,0.814107559549812,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.45,873.5230102539062
10,609580,24014,446856,1519633980,1.0,0.9996903626409331,0.9620987572483325,0.5770155503977524,0.7213836440773241,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.5,873.5230102539062
11,538150,24014,518286,1519633980,1.0,0.9996433912973391,0.9572829281135042,0.5094014213828382,0.6649573705671569,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.55,873.5230102539062
12,509092,23964,547344,1519634030,1.0,0.9996243160525543,0.9550441229439308,0.4818957324438016,0.6405719563231523,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.6000000000000001,873.5230102539062
13,498712,23868,557724,1519634126,1.0,0.9996175534416413,0.9543266102797657,0.4720702437251286,0.6316744098856503,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.65,873.5230102539062
14,437164,0,619272,1519657994,1.0,0.999592775614025,1.0,0.41381020714932093,0.5853829673272629,1,0.1,0,1e-05,100,True,8,0,1.0,0.0,0,0.7000000000000001,873.5230102539062
