,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,dispersion,fold,threshold,alpha
0,1056436,1519657994,0,0,1.0,0.0006946971628328666,0.0006946971628328666,1.0,0.001388429787431612,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.0,107.37013244628906
1,1056436,1470860092,0,48797902,1.0,0.0327834976879913,0.0007177281998697687,1.0,0.001434426871123481,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.02,107.37013244628906
2,1056436,1168414502,0,351243492,1.0,0.23166738017998553,0.0009033452355872053,1.0,0.0018050598789328273,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.04,107.37013244628906
3,1056436,861868388,0,657789606,1.0,0.4332477084471409,0.0012242503293658869,1.0,0.002445506746292159,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.06,107.37013244628906
4,1055484,407501796,952,1112156198,1.0,0.732032037073522,0.0025834419105198662,0.999098856911351,0.005153557895019315,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.08,107.37013244628906
5,1030168,132159326,26268,1387498668,1.0,0.9130766491115626,0.00773460405217847,0.9751352661211848,0.015347474593829399,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.1,107.37013244628906
6,1027242,7050378,29194,1512607616,1.0,0.9953445749837463,0.12717136978466428,0.9723655763340137,0.2249257066083238,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.12,107.37013244628906
7,1025942,2613086,30494,1517044908,1.0,0.9982616197046279,0.2819274817341334,0.9711350237969929,0.43699280837846916,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.14,107.37013244628906
8,1025782,1460412,30654,1518197582,1.0,0.9990194963823681,0.4125912941628851,0.9709835711770519,0.5791076121412624,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.16,107.37013244628906
9,1020282,378824,36154,1519279170,1.0,0.9997271164185638,0.7292385280314715,0.9657773873665797,0.8310035014672931,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.18,107.37013244628906
10,992010,327522,64426,1519330472,1.0,0.9997422606162816,0.7517892707414447,0.9390157094230034,0.8350364988080647,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.2,107.37013244628906
11,981258,122790,75178,1519535204,1.0,0.9998698190823375,0.8887820094778488,0.9288380933629675,0.9083686803512546,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.22,107.37013244628906
12,981258,121156,75178,1519536838,1.0,0.9998708935773036,0.8900993637598942,0.9288380933629675,0.9090562104824327,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.24,107.37013244628906
13,981258,121044,75178,1519536950,1.0,0.9998709672268974,0.8901898027945154,0.9288380933629675,0.9091033742862726,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.26,107.37013244628906
14,980982,103140,75454,1519554854,1.0,0.9998825591468873,0.9048631058128144,0.9285768375935693,0.916566614873318,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.28,107.37013244628906
15,980982,103096,75454,1519554898,1.0,0.9998825880806562,0.9048998319309127,0.9285768375935693,0.916585455642897,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.3,107.37013244628906
16,980938,103096,75498,1519554898,1.0,0.9998825591468873,0.9048959718975604,0.9285351881230856,0.9165631847211126,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.32,107.37013244628906
17,980934,78018,75502,1519579976,1.0,0.9998990474496912,0.9263252725335993,0.928531401807587,0.9274270252076687,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.34,107.37013244628906
18,976418,6306,80018,1519651688,1.0,0.9999432345756066,0.9935831423675416,0.924256651609752,0.9576668824417898,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.36,107.37013244628906
19,974968,6188,81468,1519651806,1.0,0.9999423586715094,0.9936931537900191,0.9228841122415367,0.9569805927781421,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.38,107.37013244628906
20,967470,6188,88966,1519651806,1.0,0.9999374280942412,0.9936445856758739,0.9157866638395511,0.9531282787890611,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.4,107.37013244628906
21,960282,6188,96154,1519651806,1.0,0.9999327013685272,0.9935973180750567,0.9089826548887012,0.949408425304982,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.42,107.37013244628906
22,958548,6188,97888,1519651806,1.0,0.9999315611149951,0.9935858100039804,0.9073412871200905,0.9485071037991819,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.44,107.37013244628906
23,949724,6188,106712,1519651806,1.0,0.9999257585791437,0.9935266007749667,0.8989886751303439,0.9438963837268702,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.46,107.37013244628906
24,884730,6188,171706,1519651806,1.0,0.9998830194568483,0.993054355170734,0.8374667277525567,0.9086483505310283,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.48,107.37013244628906
25,884202,0,172234,1519657994,1.0,0.999886741391676,1.0,0.8369669341067514,0.9112487748874339,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.5,107.37013244628906
26,869818,0,186618,1519657994,1.0,0.9998772826795627,1.0,0.8233513435740547,0.9031186956652654,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.52,107.37013244628906
27,835106,0,221330,1519657994,1.0,0.9998544565661812,1.0,0.7904936976778527,0.8829896454850065,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.54,107.37013244628906
28,830214,0,226222,1519657994,1.0,0.9998512396571393,1.0,0.7858630338231564,0.8800932870431718,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.56,107.37013244628906
29,828294,0,228142,1519657994,1.0,0.9998499770926748,1.0,0.7840456023838642,0.8789524228934649,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.58,107.37013244628906
30,581814,0,474622,1519657994,1.0,0.9996878953795421,1.0,0.5507328413647395,0.7102871967037997,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.6,107.37013244628906
31,569170,0,487266,1519657994,1.0,0.9996795808664747,1.0,0.5387642980739014,0.7002557815362395,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.62,107.37013244628906
32,549322,0,507114,1519657994,1.0,0.9996665291063227,1.0,0.5199766005702191,0.6841902702648842,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.64,107.37013244628906
33,503976,0,552460,1519657994,1.0,0.9996367102270477,1.0,0.47705303492118784,0.6459524792170273,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.66,107.37013244628906
34,503726,0,552710,1519657994,1.0,0.999636545830633,1.0,0.47681639020253,0.6457355069537651,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.68,107.37013244628906
35,501664,0,554772,1519657994,1.0,0.999635189889005,1.0,0.4748645445630403,0.6439432642320776,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.7000000000000001,107.37013244628906
36,414028,0,642408,1519657994,1.0,0.9995775617122276,1.0,0.391910158305851,0.5631256528551533,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.72,107.37013244628906
37,349352,0,707084,1519657994,1.0,0.9995350317021717,1.0,0.33068922301019654,0.4970194652394244,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.74,107.37013244628906
38,343620,0,712816,1519657994,1.0,0.9995312624211766,1.0,0.3252634329008099,0.49086607964252854,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.76,107.37013244628906
39,343516,0,712920,1519657994,1.0,0.9995311940322681,1.0,0.3251649886978482,0.4907539687074985,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.78,107.37013244628906
40,340182,0,716254,1519657994,1.0,0.9995290016416823,1.0,0.32200909472982747,0.4871511035945405,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.8,107.37013244628906
41,334020,0,722416,1519657994,1.0,0.999524949598854,1.0,0.31617627570434936,0.4804467023767743,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.8200000000000001,107.37013244628906
42,333664,0,722772,1519657994,1.0,0.9995247154983595,1.0,0.3158392936249806,0.48005754981655996,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.84,107.37013244628906
43,332924,0,723512,1519657994,1.0,0.9995242288849722,1.0,0.31513882525775344,0.4792479990787125,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.86,107.37013244628906
44,318552,0,737884,1519657994,1.0,0.9995147780638868,1.0,0.3015345936715523,0.4633524074391922,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.88,107.37013244628906
45,295054,0,761382,1519657994,1.0,0.9994993261160808,1.0,0.27929188327546584,0.4366351212365612,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.9,107.37013244628906
46,287642,0,768794,1519657994,1.0,0.9994944520911793,1.0,0.2722758406566986,0.4280138503866591,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.92,107.37013244628906
47,274192,0,782244,1519657994,1.0,0.999485607564071,1.0,0.2595443547929075,0.41212420000180366,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.9400000000000001,107.37013244628906
48,150104,0,906332,1519657994,1.0,0.9994040090748663,1.0,0.14208527539765778,0.24881727916190097,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.96,107.37013244628906
49,18256,0,1038180,1519657994,1.0,0.9993173077209506,1.0,0.01728074393526915,0.033974385219206996,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,0.98,107.37013244628906
50,0,0,1056436,1519657994,1.0,0.0,0.0,0.0,0.0,1,0.1,0,1e-05,10,True,8,1e-06,0.0,0,1.0,107.37013244628906
51,1345060,1711201472,0,0,1.0,0.0007854151550727032,0.0007854151550727032,1.0,0.0015695975244623289,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.0,121.3108901977539
52,1345060,1663894814,0,47306658,1.0,0.02840899040750853,0.0008077274757834678,1.0,0.001614151157327095,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.02,121.3108901977539
53,1345060,1458709574,0,252491898,1.0,0.14822193339386588,0.0009212394993158865,1.0,0.0018407831964415342,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.04,121.3108901977539
54,1344958,1136622902,102,574578570,1.0,0.33629657194038803,0.0011818945396225866,0.9999241669516602,0.002360998416484209,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.06,121.3108901977539
55,1344958,496305880,102,1214895592,1.0,0.7101941624789673,0.002702613755068167,0.9999241669516602,0.005390657540034527,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.08,121.3108901977539
56,1327402,124402562,17658,1586798910,1.0,0.9273478310369204,0.010557562873397467,0.986871961102107,0.020891626980924276,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.1,121.3108901977539
57,1327402,21876182,17658,1689325290,1.0,0.9872156232891195,0.057206765989254074,0.986871961102107,0.10814462908827063,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.12,121.3108901977539
58,1327402,3198778,17658,1708002694,1.0,0.9981218402303828,0.2932720307190611,0.986871961102107,0.4521709213045285,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.14,121.3108901977539
59,1327402,2364162,17658,1708837310,1.0,0.9986091939953197,0.35957713316090417,0.986871961102107,0.5270998986622785,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.16,121.3108901977539
60,1327402,1725592,17658,1709475880,1.0,0.9989820714547452,0.4347869664991153,0.986871961102107,0.6036315152110455,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.18,121.3108901977539
61,1327364,433602,17696,1710767870,1.0,0.9997364754816485,0.7537703737607654,0.9868437095742941,0.8547024397091332,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.2,121.3108901977539
62,1327364,420100,17696,1710781372,1.0,0.9997443596469822,0.7595944751937665,0.9868437095742941,0.8584340816756798,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.22,121.3108901977539
63,1323880,394842,21180,1710806630,1.0,0.9997570740460324,0.770270002944048,0.9842534905506074,0.8642129237654637,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.24,121.3108901977539
64,1323880,285036,21180,1710916436,1.0,0.9998211925957758,0.8228397256289328,0.9842534905506074,0.8963376818227367,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.26,121.3108901977539
65,1323880,245924,21180,1710955548,1.0,0.9998440310992963,0.8433409521188633,0.9842534905506074,0.9083648499552638,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.28,121.3108901977539
66,1286702,178144,58358,1711023328,1.0,0.9998619003947742,0.8783872161305694,0.95661308789199,0.9158327716300829,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.3,121.3108901977539
67,1286702,177760,58358,1711023712,1.0,0.9998621246222581,0.8786175400932219,0.95661308789199,0.9159579458712193,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.32,121.3108901977539
68,1271002,177760,74058,1711023712,1.0,0.9998529569881491,0.8773021379633094,0.9449407461377187,0.9098661260452526,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.34,121.3108901977539
69,1270036,172840,75024,1711028632,1.0,0.9998552658305229,0.8802114665432096,0.9442225625622649,0.9110940853735523,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.36,121.3108901977539
70,1268278,172688,76782,1711028784,1.0,0.9998543280457853,0.8801581716709486,0.9429155576702898,0.9104566863338677,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.38,121.3108901977539
71,1268032,172664,77028,1711028808,1.0,0.9998541984142711,0.8801523707985585,0.9427326662007642,0.910368316535978,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.4,121.3108901977539
72,1267386,172504,77674,1711028968,1.0,0.9998539146263619,0.880196403891964,0.9422523902279453,0.9101678665685201,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.42,121.3108901977539
73,1266804,172504,78256,1711028968,1.0,0.9998535747815814,0.880147959991885,0.9418196957756532,0.9099400653936548,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.44,121.3108901977539
74,963666,172504,381394,1711028968,1.0,0.9996765647007833,0.8481706082716495,0.7164483368771654,0.7767647497410558,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.46,121.3108901977539
75,963408,27514,381652,1711173958,1.0,0.9997610774409019,0.9722339397046387,0.716256523872541,0.8248419722412245,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.48,121.3108901977539
76,938726,27514,406334,1711173958,1.0,0.9997466649858013,0.9715246729590992,0.6979064130968136,0.8122926491584822,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.5,121.3108901977539
77,938550,27480,406510,1711173992,1.0,0.9997465820683464,0.9715536784571908,0.6977755639153643,0.8122141500331012,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.52,121.3108901977539
78,934880,27480,410180,1711173992,1.0,0.9997444390608827,0.9714451972234922,0.6950470610976462,0.8103249516776313,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.54,121.3108901977539
79,910336,27480,434724,1711173992,1.0,0.9997301071875342,0.9706978767690038,0.676799547975555,0.79753433826454,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.56,121.3108901977539
80,907212,27480,437848,1711173992,1.0,0.9997282830035242,0.9705999409431129,0.6744769750048325,0.7958865701181532,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.58,121.3108901977539
81,907212,27480,437848,1711173992,1.0,0.9997282830035242,0.9705999409431129,0.6744769750048325,0.7958865701181532,1,0.1,0,1e-05,10,True,8,1e-06,0.0,1,0.6,121.3108901977539
