,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,training_set,seed,threshold
0,736,1166744,0,0,1.0,0.0006304176516942475,0.0006304176516942475,1.0,0.0012600409513309184,canlobby_client_names,1,0.0
1,660,33674,76,1133070,1.0,0.9710915818686402,0.01922292771014155,0.8967391304347826,0.037639007698887936,canlobby_client_names,1,0.02
2,586,1438,150,1165306,1.0,0.9986398053928118,0.28952569169960474,0.7961956521739131,0.4246376811594203,canlobby_client_names,1,0.04
3,580,482,156,1166262,1.0,0.999453523829102,0.5461393596986818,0.7880434782608695,0.6451612903225806,canlobby_client_names,1,0.06
4,570,284,166,1166460,1.0,0.9996145544249152,0.667447306791569,0.7744565217391305,0.7169811320754716,canlobby_client_names,1,0.08
5,560,212,176,1166532,1.0,0.9996676602597047,0.7253886010362695,0.7608695652173914,0.7427055702917772,canlobby_client_names,1,0.1
6,538,172,198,1166572,1.0,0.9996830780827081,0.7577464788732394,0.7309782608695652,0.7441217150760718,canlobby_client_names,1,0.12
7,538,150,198,1166594,1.0,0.9997019220886011,0.7819767441860465,0.7309782608695652,0.7556179775280899,canlobby_client_names,1,0.14
8,518,138,218,1166606,1.0,0.9996950697228218,0.7896341463414634,0.7038043478260869,0.7442528735632183,canlobby_client_names,1,0.16
9,506,76,230,1166668,1.0,0.9997378970089423,0.8694158075601375,0.6875,0.7678300455235204,canlobby_client_names,1,0.18
10,470,68,266,1166676,1.0,0.9997139137287149,0.8736059479553904,0.6385869565217391,0.7378335949764522,canlobby_client_names,1,0.2
11,466,60,270,1166684,1.0,0.9997173399116045,0.8859315589353612,0.6331521739130435,0.7385103011093501,canlobby_client_names,1,0.22
12,450,44,286,1166700,1.0,0.9997173399116045,0.9109311740890689,0.6114130434782609,0.7317073170731707,canlobby_client_names,1,0.24
13,434,36,302,1166708,1.0,0.9997104875458251,0.9234042553191489,0.5896739130434783,0.7197346600331676,canlobby_client_names,1,0.26
14,426,28,310,1166716,1.0,0.9997104875458251,0.9383259911894273,0.5788043478260869,0.7159663865546219,canlobby_client_names,1,0.28
15,420,26,316,1166718,1.0,0.9997070613629355,0.9417040358744395,0.5706521739130435,0.7106598984771574,canlobby_client_names,1,0.3
16,418,26,318,1166718,1.0,0.9997053482714907,0.9414414414414415,0.5679347826086957,0.7084745762711865,canlobby_client_names,1,0.32
17,386,24,350,1166720,1.0,0.9996796518998184,0.9414634146341463,0.5244565217391305,0.6736474694589879,canlobby_client_names,1,0.34
18,380,16,356,1166728,1.0,0.9996813649912633,0.9595959595959596,0.5163043478260869,0.6713780918727915,canlobby_client_names,1,0.36
19,368,14,368,1166730,1.0,0.9996727995340391,0.9633507853403142,0.5,0.6583184257602862,canlobby_client_names,1,0.38
20,368,14,368,1166730,1.0,0.9996727995340391,0.9633507853403142,0.5,0.6583184257602862,canlobby_client_names,1,0.4
21,358,10,378,1166734,1.0,0.9996676602597047,0.9728260869565217,0.48641304347826086,0.6485507246376812,canlobby_client_names,1,0.42
22,348,10,388,1166734,1.0,0.9996590948024806,0.9720670391061452,0.47282608695652173,0.6361974405850092,canlobby_client_names,1,0.44
23,348,8,388,1166736,1.0,0.9996608078939254,0.9775280898876404,0.47282608695652173,0.6373626373626373,canlobby_client_names,1,0.46
24,332,8,404,1166736,1.0,0.9996471031623668,0.9764705882352941,0.45108695652173914,0.6171003717472119,canlobby_client_names,1,0.48
25,328,8,408,1166736,1.0,0.9996436769794772,0.9761904761904762,0.44565217391304346,0.6119402985074626,canlobby_client_names,1,0.5
26,320,8,416,1166736,1.0,0.9996368246136978,0.975609756097561,0.43478260869565216,0.6015037593984962,canlobby_client_names,1,0.52
27,314,8,422,1166736,1.0,0.9996316853393634,0.9751552795031055,0.4266304347826087,0.5935727788279773,canlobby_client_names,1,0.54
28,298,8,438,1166736,1.0,0.9996179806078048,0.9738562091503268,0.4048913043478261,0.5719769673704416,canlobby_client_names,1,0.56
29,296,8,440,1166736,1.0,0.99961626751636,0.9736842105263158,0.40217391304347827,0.5692307692307693,canlobby_client_names,1,0.58
30,292,6,444,1166738,1.0,0.9996145544249152,0.9798657718120806,0.3967391304347826,0.5647969052224371,canlobby_client_names,1,0.6
31,286,4,450,1166740,1.0,0.9996111282420256,0.9862068965517241,0.38858695652173914,0.557504873294347,canlobby_client_names,1,0.62
32,282,4,454,1166740,1.0,0.999607702059136,0.986013986013986,0.38315217391304346,0.5518590998043053,canlobby_client_names,1,0.64
33,282,4,454,1166740,1.0,0.999607702059136,0.986013986013986,0.38315217391304346,0.5518590998043053,canlobby_client_names,1,0.66
34,278,2,458,1166742,1.0,0.9996059889676912,0.9928571428571429,0.37771739130434784,0.547244094488189,canlobby_client_names,1,0.68
35,272,2,464,1166742,1.0,0.9996008496933566,0.9927007299270073,0.3695652173913043,0.5386138613861385,canlobby_client_names,1,0.7000000000000001
36,262,2,474,1166742,1.0,0.9995922842361326,0.9924242424242424,0.35597826086956524,0.5240000000000001,canlobby_client_names,1,0.72
37,252,2,484,1166742,1.0,0.9995837187789084,0.9921259842519685,0.3423913043478261,0.5090909090909091,canlobby_client_names,1,0.74
38,244,2,492,1166742,1.0,0.9995768664131292,0.991869918699187,0.33152173913043476,0.49694501018329934,canlobby_client_names,1,0.76
39,226,2,510,1166742,1.0,0.9995614485901257,0.9912280701754386,0.3070652173913043,0.4688796680497925,canlobby_client_names,1,0.78
40,202,2,534,1166742,1.0,0.9995408914927879,0.9901960784313726,0.27445652173913043,0.42978723404255326,canlobby_client_names,1,0.8
41,190,2,546,1166742,1.0,0.9995306129441189,0.9895833333333334,0.25815217391304346,0.40948275862068956,canlobby_client_names,1,0.8200000000000001
42,180,2,556,1166742,1.0,0.9995220474868949,0.989010989010989,0.24456521739130435,0.39215686274509803,canlobby_client_names,1,0.84
43,160,0,576,1166744,1.0,0.9995066296638915,1.0,0.21739130434782608,0.3571428571428571,canlobby_client_names,1,0.86
44,138,0,598,1166744,1.0,0.9994877856579985,1.0,0.1875,0.3157894736842105,canlobby_client_names,1,0.88
45,128,0,608,1166744,1.0,0.9994792202007743,1.0,0.17391304347826086,0.29629629629629634,canlobby_client_names,1,0.9
46,114,0,622,1166744,1.0,0.9994672285606606,1.0,0.15489130434782608,0.268235294117647,canlobby_client_names,1,0.92
47,86,0,650,1166744,1.0,0.999443245280433,1.0,0.11684782608695653,0.20924574209245742,canlobby_client_names,1,0.9400000000000001
48,60,0,676,1166744,1.0,0.9994209750916504,1.0,0.08152173913043478,0.1507537688442211,canlobby_client_names,1,0.96
49,14,0,722,1166744,1.0,0.9993815739884195,1.0,0.019021739130434784,0.037333333333333336,canlobby_client_names,1,0.98
50,6,0,730,1166744,1.0,0.9993747216226402,1.0,0.008152173913043478,0.016172506738544475,canlobby_client_names,1,1.0
51,714,1208186,0,0,1.0,0.0005906195715112912,0.0005906195715112912,1.0,0.0011805418918762512,canlobby_client_names,2,0.0
52,618,73030,96,1135156,1.0,0.9395102986185788,0.00839126656528351,0.865546218487395,0.016621392646781957,canlobby_client_names,2,0.02
53,528,4200,186,1203986,1.0,0.9963719083464306,0.1116751269035533,0.7394957983193278,0.1940463065049614,canlobby_client_names,2,0.04
54,522,1162,192,1207024,1.0,0.9988799735296551,0.30997624703087884,0.7310924369747899,0.4353628023352794,canlobby_client_names,2,0.06
55,516,748,198,1207438,1.0,0.9992174704276615,0.40822784810126583,0.7226890756302521,0.5217391304347826,canlobby_client_names,2,0.08
56,510,504,204,1207682,1.0,0.9994143436181653,0.5029585798816568,0.7142857142857143,0.5902777777777778,canlobby_client_names,2,0.1
57,500,396,214,1207790,1.0,0.9994954090495491,0.5580357142857143,0.7002801120448179,0.6211180124223603,canlobby_client_names,2,0.12
58,482,352,232,1207834,1.0,0.9995169162048143,0.5779376498800959,0.6750700280112045,0.6227390180878554,canlobby_client_names,2,0.14
59,482,274,232,1207912,1.0,0.9995814376706097,0.6375661375661376,0.6750700280112045,0.6557823129251702,canlobby_client_names,2,0.16
60,474,230,240,1207956,1.0,0.999611216808669,0.6732954545454546,0.6638655462184874,0.6685472496473908,canlobby_client_names,2,0.18
61,470,172,244,1208014,1.0,0.9996558855157581,0.7320872274143302,0.6582633053221288,0.6932153392330382,canlobby_client_names,2,0.2
62,454,136,260,1208050,1.0,0.9996724294813467,0.7694915254237288,0.6358543417366946,0.696319018404908,canlobby_client_names,2,0.22
63,454,84,260,1208102,1.0,0.9997154437918769,0.8438661710037175,0.6358543417366946,0.7252396166134185,canlobby_client_names,2,0.24
64,430,56,284,1208130,1.0,0.9997187525849947,0.8847736625514403,0.6022408963585434,0.7166666666666667,canlobby_client_names,2,0.26
65,402,54,312,1208132,1.0,0.9996972454297295,0.881578947368421,0.5630252100840336,0.6871794871794872,canlobby_client_names,2,0.28
66,400,40,314,1208146,1.0,0.9997071718090826,0.9090909090909091,0.5602240896358543,0.6932409012131715,canlobby_client_names,2,0.3
67,390,22,324,1208164,1.0,0.9997137893953181,0.9466019417475728,0.5462184873949579,0.6927175843694493,canlobby_client_names,2,0.32
68,386,22,328,1208164,1.0,0.9997104806022004,0.946078431372549,0.5406162464985994,0.6880570409982174,canlobby_client_names,2,0.34
69,372,16,342,1208170,1.0,0.9997038630159649,0.9587628865979382,0.5210084033613446,0.6751361161524502,canlobby_client_names,2,0.36
70,370,16,344,1208170,1.0,0.9997022086194061,0.9585492227979274,0.5182072829131653,0.6727272727272727,canlobby_client_names,2,0.38
71,364,14,350,1208172,1.0,0.9996988998262883,0.9629629629629629,0.5098039215686274,0.6666666666666666,canlobby_client_names,2,0.4
72,354,14,360,1208172,1.0,0.999690627843494,0.9619565217391305,0.4957983193277311,0.6543438077634012,canlobby_client_names,2,0.42
73,352,8,362,1208178,1.0,0.9996939366366118,0.9777777777777777,0.49299719887955185,0.6554934823091247,canlobby_client_names,2,0.44
74,342,8,372,1208178,1.0,0.9996856646538175,0.9771428571428571,0.4789915966386555,0.6428571428571429,canlobby_client_names,2,0.46
75,342,8,372,1208178,1.0,0.9996856646538175,0.9771428571428571,0.4789915966386555,0.6428571428571429,canlobby_client_names,2,0.48
76,332,6,382,1208180,1.0,0.9996790470675821,0.9822485207100592,0.4649859943977591,0.6311787072243346,canlobby_client_names,2,0.5
77,328,6,386,1208180,1.0,0.9996757382744644,0.9820359281437125,0.45938375350140054,0.6259541984732824,canlobby_client_names,2,0.52
78,328,6,386,1208180,1.0,0.9996757382744644,0.9820359281437125,0.45938375350140054,0.6259541984732824,canlobby_client_names,2,0.54
79,308,6,406,1208180,1.0,0.9996591943088758,0.9808917197452229,0.43137254901960786,0.5992217898832686,canlobby_client_names,2,0.56
80,300,4,414,1208182,1.0,0.9996542311191993,0.9868421052631579,0.42016806722689076,0.5893909626719057,canlobby_client_names,2,0.58
81,292,4,422,1208182,1.0,0.9996476135329638,0.9864864864864865,0.40896358543417366,0.5782178217821782,canlobby_client_names,2,0.6
82,284,4,430,1208182,1.0,0.9996409959467284,0.9861111111111112,0.39775910364145656,0.5668662674650699,canlobby_client_names,2,0.62
83,274,4,440,1208182,1.0,0.9996327239639341,0.9856115107913669,0.38375350140056025,0.5524193548387096,canlobby_client_names,2,0.64
84,266,4,448,1208182,1.0,0.9996261063776988,0.9851851851851852,0.37254901960784315,0.540650406504065,canlobby_client_names,2,0.66
85,258,4,456,1208182,1.0,0.9996194887914633,0.9847328244274809,0.36134453781512604,0.5286885245901639,canlobby_client_names,2,0.68
86,252,4,462,1208182,1.0,0.9996145256017868,0.984375,0.35294117647058826,0.5195876288659794,canlobby_client_names,2,0.7000000000000001
87,240,4,474,1208182,1.0,0.9996045992224336,0.9836065573770492,0.33613445378151263,0.501043841336117,canlobby_client_names,2,0.72
88,234,4,480,1208182,1.0,0.999599636032757,0.9831932773109243,0.3277310924369748,0.49159663865546216,canlobby_client_names,2,0.74
89,228,0,486,1208186,1.0,0.9995979816361982,1.0,0.31932773109243695,0.48407643312101906,canlobby_client_names,2,0.76
90,218,0,496,1208186,1.0,0.9995897096534039,1.0,0.30532212885154064,0.4678111587982833,canlobby_client_names,2,0.78
91,204,0,510,1208186,1.0,0.999578128877492,1.0,0.2857142857142857,0.4444444444444445,canlobby_client_names,2,0.8
92,192,0,522,1208186,1.0,0.9995682024981388,1.0,0.2689075630252101,0.423841059602649,canlobby_client_names,2,0.8200000000000001
93,168,0,546,1208186,1.0,0.9995483497394325,1.0,0.23529411764705882,0.38095238095238093,canlobby_client_names,2,0.84
94,154,0,560,1208186,1.0,0.9995367689635205,1.0,0.21568627450980393,0.3548387096774193,canlobby_client_names,2,0.86
95,134,0,580,1208186,1.0,0.999520224997932,1.0,0.1876750700280112,0.3160377358490566,canlobby_client_names,2,0.88
96,120,0,594,1208186,1.0,0.99950864422202,1.0,0.16806722689075632,0.28776978417266186,canlobby_client_names,2,0.9
97,98,0,616,1208186,1.0,0.9994904458598726,1.0,0.13725490196078433,0.24137931034482762,canlobby_client_names,2,0.92
98,82,0,632,1208186,1.0,0.9994772106874018,1.0,0.11484593837535013,0.20603015075376882,canlobby_client_names,2,0.9400000000000001
99,56,0,658,1208186,1.0,0.9994557035321366,1.0,0.0784313725490196,0.14545454545454545,canlobby_client_names,2,0.96
100,14,0,700,1208186,1.0,0.9994209612044007,1.0,0.0196078431372549,0.038461538461538464,canlobby_client_names,2,0.98
101,0,0,714,1208186,1.0,0.0,0.0,0.0,0.0,canlobby_client_names,2,1.0
102,710,1219210,0,0,1.0,0.0005820053774017968,0.0005820053774017968,1.0,0.0011633336883412665,canlobby_client_names,3,0.0
103,586,87074,124,1132136,1.0,0.9285215423962228,0.006684919005247547,0.8253521126760563,0.013262419373090414,canlobby_client_names,3,0.02
104,546,6128,164,1213082,1.0,0.9948422847399829,0.08181000899011087,0.7690140845070422,0.14788732394366194,canlobby_client_names,3,0.04
