TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,dispersion,add_upper,model,threshold,group_threshold,projection_lr
5383938,40251371480,0,0,1.0,0.0001337399883347946,0.0001337399883347946,1.0,0.0002674442086842396,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.0,False,
5383938,40251371480,0,0,1.0,0.0001337399883347946,0.0001337399883347946,1.0,0.0002674442086842396,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.0,True,
5383938,40226473394,0,24898086,1.0,0.0007522221720446949,0.00013382275532473794,1.0,0.00026760969838228677,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.02,False,
5294048,174107254,89890,40077264226,1.0,0.9956728469000731,0.029509529423593594,0.98330404250569,0.05729946829086566,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.02,True,
5383938,40063616552,0,187754928,1.0,0.004797675917857052,0.00013436666585540775,1.0,0.0002686972277601968,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.04,False,
5259136,84679146,124802,40166692334,1.0,0.9978934231753291,0.058474943962127275,0.9768195696161435,0.11034438769890169,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.04,True,
5382960,38321272950,978,1930098530,1.0,0.048078427332337574,0.00014044950889116067,0.9998183485768224,0.0002808595640276556,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.06,False,
5196138,58526270,187800,40192845210,1.0,0.9985415101294093,0.08154334029561469,0.9651184690462632,0.15038092160161384,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.06,True,
5380842,34422547372,3096,5828824108,1.0,0.14492486762585324,0.00015629293655294364,0.9994249562309224,0.00031253699767522735,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.08,False,
5172070,43846350,211868,40207525130,1.0,0.9989055695735405,0.10551278478580092,0.9606481352497002,0.19014139056251936,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.08,True,
5350162,27938774946,33776,12312596534,1.0,0.3059845873841158,0.00019145927737305776,0.9937265250825696,0.00038284479281511306,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.1,False,
5152670,31314868,231268,40220056612,1.0,0.9992163765889117,0.14129470434774072,0.9570448248103898,0.24623599894063472,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.1,True,
5350030,22694341410,33908,17557030070,1.0,0.4362592046389147,0.00023568734465581793,0.9937020077125702,0.0004712629146506945,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.12,False,
5211956,26120506,171982,40225250974,1.0,0.9993468801018116,0.16634364704567423,0.9680564672178618,0.2839034327984225,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.12,True,
5343392,16720620890,40546,23530750590,1.0,0.5846495510533943,0.000319466902470335,0.9924690811818413,0.0006387282040562301,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.14,False,
5203062,21157198,180876,40230214282,1.0,0.9994699504771699,0.19738280274929004,0.9664045165453242,0.32781184139539454,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.14,True,
5340326,12546920736,43612,27704450744,1.0,0.6883264878721479,0.0004254473336415061,0.991899609542309,0.0008505298565137014,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.16,False,
5131182,16839528,252756,40234531952,1.0,0.9995754182416708,0.23354648074641193,0.9530536941547246,0.3751597900291022,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.16,True,
5276204,8375010860,107734,31876360620,1.0,0.7919574365336151,0.0006295970483714686,0.9799897398521306,0.0012583856434962963,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.18,False,
5107144,14190764,276794,40237180716,1.0,0.9996406178826441,0.2646475462521637,0.9485889324877069,0.41383808974417874,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.18,True,
5255020,5802511100,128918,34448860380,1.0,0.8558592226882381,0.0009048263809907001,0.9760550734425247,0.001807976724346929,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.2,False,
5120612,11790508,263326,40239580972,1.0,0.9997005761176021,0.3027955570062775,0.951090447178255,0.4593495114477836,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.2,True,
5246336,3977454952,137602,36273916528,1.0,0.9011944079273339,0.0013172808153620182,0.9744421276768046,0.0026310049573649713,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.22,False,
5084458,12095172,299480,40239276308,1.0,0.9996921100105733,0.2959585276283599,0.944375288125532,0.450678545166261,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.22,True,
5241368,2617676256,142570,37633695224,1.0,0.9349719370371936,0.0019982968401450643,0.9735193830240987,0.003988406867598247,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.24,False,
4978400,5766212,405538,40245605268,1.0,0.999846690327228,0.4633392066646985,0.9246763242815946,0.6173400584677482,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.24,True,
5240012,2105806092,143926,38145565388,1.0,0.9476870404449345,0.002482187380972519,0.97326752276865,0.004951746002479018,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.26,False,
4957210,5303030,426728,40246068450,1.0,0.9998576696521986,0.4831475676982215,0.9207405434460798,0.6337450264245267,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.26,True,
5167784,1040607312,216154,39210764168,1.0,0.9741453712502967,0.004941582582876883,0.9598520636753246,0.009832544520565856,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.28,False,
4810070,3087740,573868,40248283740,1.0,0.9999090436384657,0.6090384549640977,0.8934111054027739,0.7243127937678083,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.28,True,
5159504,486769630,224434,39764601850,1.0,0.9879027989478195,0.010488307447958551,0.9583141559208148,0.02074952093758758,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.3,False,
4763868,3037704,620070,40248333776,1.0,0.9999091388771395,0.6106292424142211,0.8848296544276698,0.7225913900941261,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.3,True,
5029980,344620604,353958,39906750876,1.0,0.9914306416794397,0.014385733158106208,0.9342566723465241,0.028335160038324383,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.32,False,
4763282,2955212,620656,40248416268,1.0,0.999911173467338,0.6171258279140983,0.8847208121638845,0.7270836437082826,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.32,True,
4951130,136951710,432808,40114419770,1.0,0.9965872928264216,0.03489098597321942,0.9196112585248939,0.06723115363417075,1,0.1,0,1e-05,1,True,8,0,0,True,roberta-base,0.34,False,
