,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,regularization,norm,alpha_decay,fold,threshold,alpha
0,834538,1429252454,221898,90405540,1.0,0.059998166782700944,0.0005835575071086305,0.7899560408770622,0.001166253477705241,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.0,135.46664428710938
1,834538,875963502,221898,643694492,1.0,0.423833046681881,0.000951801853936626,0.7899560408770622,0.0019013128549566112,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.05,135.46664428710938
2,833426,27744968,223010,1491913026,1.0,0.9816086587670507,0.029162800400890268,0.7889034451684721,0.056246383056693765,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.1,135.46664428710938
3,793786,1158628,262650,1518499366,1.0,0.9990653879703107,0.406566435192536,0.7513810585780871,0.527634145936155,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.15000000000000002,135.46664428710938
4,788160,114184,268276,1519543810,1.0,0.9997484997890104,0.8734584593015524,0.7460556058294113,0.804745811168176,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.2,135.46664428710938
5,751744,86746,304692,1519571248,1.0,0.9997425959849674,0.8965449796658279,0.7115849895308376,0.7934283449591172,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.25,135.46664428710938
6,751694,31266,304742,1519626728,1.0,0.9997790459580238,0.9600669255134362,0.7115376605871061,0.8173269921213269,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.30000000000000004,135.46664428710938
7,728750,1176,327686,1519656818,1.0,0.9997837450651402,0.9983888777766513,0.6898193548875654,0.8159040552810685,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.35000000000000003,135.46664428710938
8,728180,96,328256,1519657898,1.0,0.999784080433826,0.9998681818431474,0.6892798049290255,0.8160196154897821,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.4,135.46664428710938
9,661058,96,395378,1519657898,1.0,0.9997399419692493,0.999854799335707,0.6257435377060229,0.7697506389767057,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.45,135.46664428710938
10,581192,0,475244,1519657994,1.0,0.9996874863612625,1.0,0.5501440693047189,0.7097973410322735,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.5,135.46664428710938
11,545384,0,511052,1519657994,1.0,0.9996639395339991,1.0,0.5162489729619211,0.6809554132174652,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.55,135.46664428710938
12,537056,0,519380,1519657994,1.0,0.9996584631606343,1.0,0.5083658640939915,0.6740617461524753,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.6000000000000001,135.46664428710938
13,529010,0,527426,1519657994,1.0,0.9996531722264251,1.0,0.500749690468708,0.6673327253025332,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.65,135.46664428710938
14,515292,0,541144,1519657994,1.0,0.9996441514663604,1.0,0.4877645214665157,0.6557012409271834,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.7000000000000001,135.46664428710938
15,470988,0,585448,1519657994,1.0,0.9996150177913417,1.0,0.44582729100485025,0.6167089164501802,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.75,135.46664428710938
16,461072,0,595364,1519657994,1.0,0.999608497171951,1.0,0.4364410148840062,0.6076699430909095,1,0.1,0,1e-05,100,True,8,0.0,1.0,1e-06,0,0.8,135.46664428710938
