,run,fold,batch_size,score_epochs,model_epochs,dropout,score_lr,model_lr,use_counts,val_F1
0,0,0,32,0,10,False,0.0001,1e-05,False,0.657433056325023
1,0,1,32,0,10,False,0.0001,1e-05,False,0.6583072100313481
2,1,0,32,5,10,False,0.0001,1e-05,False,0.6892138939670931
3,1,1,32,5,10,False,0.0001,1e-05,False,0.6346153846153846
4,2,0,32,0,10,True,0.0001,1e-05,False,0.5487256371814093
5,2,1,32,0,10,True,0.0001,1e-05,False,0.5939036381514258
6,3,0,32,5,10,True,0.0001,1e-05,False,0.5949820788530467
7,3,1,32,5,10,True,0.0001,1e-05,False,0.6143226919758412
8,4,0,16,5,10,False,0.0001,1e-05,False,0.717948717948718
9,4,1,16,5,10,False,0.0001,1e-05,False,0.6345454545454546
10,5,0,64,5,10,False,0.0001,1e-05,False,0.6265306122448979
