,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,max_epochs,warmup_frac,calibration_frac,transformer_lr,score_lr,use_counts,batch_size,score_decay,seed,fold,threshold,half,alpha
0,1400415932,1036230008896,0,0,1.0,0.0013496288259204968,0.0013496288259204968,1.0,0.0026956195659710437,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.0,False,681.94091796875
1,1400415932,1036087326598,0,142682298,1.0,0.0014871366462252565,0.0013498144359614017,1.0,0.002695989785990469,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.02,False,681.94091796875
2,1400415932,1023335636934,0,12894371962,1.0,0.013776376975809607,0.0013666113611239615,1.0,0.0027294925666961727,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.04,False,681.94091796875
3,1400415932,1012505414390,0,23724594506,1.0,0.02421383359317435,0.0013812090729917695,1.0,0.0027586079316794768,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.06,False,681.94091796875
4,1400415932,996794537570,0,39435471326,1.0,0.03935494399633574,0.0014029483189499958,1.0,0.002801965624936731,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.08,False,681.94091796875
5,1400382460,965986611160,33472,70243397736,1.0,0.06904556620713569,0.0014475928136677898,0.9999760985295617,0.002891000535705938,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.1,False,681.94091796875
6,1400252830,912704912590,163102,123525096306,1.0,0.12039484015390924,0.0015318290312435023,0.9998835331730573,0.003058971695032454,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.12,False,681.94091796875
7,1400191746,769430493278,224186,266799515618,1.0,0.2584732491902957,0.0018164712085331745,0.999839914703284,0.003626354194402693,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.14,False,681.94091796875
8,1399908074,545308430920,507858,490921577976,1.0,0.47446708796304654,0.002560612257307024,0.999637352026355,0.005108139804075931,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.16,False,681.94091796875
9,1398834480,387323634990,1581452,648906373906,1.0,0.6267214152802006,0.00359854289335841,0.9988707269291478,0.007171250558954411,1,0.1,0,1e-05,10,True,8,0.0,1,0,0.18,False,681.94091796875
