,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,test_set,training_set,seed,threshold,unite_hash
0,3202,29216228,0,0,1.0,0.00010958461544253259,0.00010958461544253259,1.0,0.0002191452159408502,canlobby_gold,opensecrets_gold,1,0.0,False
1,3202,29216228,0,0,1.0,0.00010958461544253259,0.00010958461544253259,1.0,0.0002191452159408502,canlobby_gold,opensecrets_gold,1,0.0,True
2,3202,29183804,0,32424,1.0,0.0012192571860573597,0.00010970635357391573,1.0,0.00021938863882025092,canlobby_gold,opensecrets_gold,1,0.05,False
3,3202,29183804,0,32424,1.0,0.0012192571860573597,0.00010970635357391573,1.0,0.00021938863882025092,canlobby_gold,opensecrets_gold,1,0.05,True
4,3198,28806900,4,409328,1.0,0.014118208329183698,0.00011100274632873516,0.9987507807620237,0.000221980821356804,canlobby_gold,opensecrets_gold,1,0.1,False
5,3198,28806900,4,409328,1.0,0.014118208329183698,0.00011100274632873516,0.9987507807620237,0.000221980821356804,canlobby_gold,opensecrets_gold,1,0.1,True
6,3170,26917472,32,2298756,1.0,0.07878066067681676,0.00011775350677000943,0.9900062460961899,0.00023547900515245894,canlobby_gold,opensecrets_gold,1,0.15000000000000002,False
7,3182,26979756,20,2236472,1.0,0.0766494760506964,0.00011792637258403811,0.9937539038101186,0.00023582476041404958,canlobby_gold,opensecrets_gold,1,0.15000000000000002,True
8,3036,22167444,166,7048784,1.0,0.24134009458774522,0.00013693884841464867,0.948157401623985,0.0002738381474037555,canlobby_gold,opensecrets_gold,1,0.2,False
9,3092,22412866,110,6803362,1.0,0.23294273707597993,0.00013793744617116073,0.9656464709556527,0.0002758354907141927,canlobby_gold,opensecrets_gold,1,0.2,True
10,2778,15843178,424,13373050,1.0,0.45777169506728915,0.00017531286846940634,0.8675827607745159,0.0003505549001404365,canlobby_gold,opensecrets_gold,1,0.25,False
11,2950,16550946,252,12665282,1.0,0.4335550693494021,0.00017820578309782784,0.9212991880074953,0.0003563426392716888,canlobby_gold,opensecrets_gold,1,0.25,True
12,2526,9126708,676,20089520,1.0,0.6876262131054576,0.00027669353200936685,0.7888819487820112,0.0005531930363377308,canlobby_gold,opensecrets_gold,1,0.30000000000000004,False
13,2746,10135636,456,19080592,1.0,0.6531043897844687,0.0002708518972751273,0.8575890068707058,0.0005415327625349255,canlobby_gold,opensecrets_gold,1,0.30000000000000004,True
14,2190,4447160,1012,24769068,1.0,0.8477666402116674,0.0004922067268252667,0.683947532792005,0.0009837055243824217,canlobby_gold,opensecrets_gold,1,0.35000000000000003,False
15,2532,5283392,670,23932836,1.0,0.8191593059823549,0.00047900802206009773,0.7907557776389756,0.0009574360678872085,canlobby_gold,opensecrets_gold,1,0.35000000000000003,True
16,1830,1444402,1372,27771826,1.0,0.9505201162377226,0.0012653571487838743,0.5715178013741412,0.0025251235999707473,canlobby_gold,opensecrets_gold,1,0.4,False
17,2292,2281898,910,26934330,1.0,0.9218736299784082,0.00100341915514909,0.7158026233603998,0.002004029042682671,canlobby_gold,opensecrets_gold,1,0.4,True
18,1478,253636,1724,28962592,1.0,0.9912606098065568,0.005793488401263749,0.46158650843222987,0.011443348456928723,canlobby_gold,opensecrets_gold,1,0.45,False
19,2070,810112,1132,28406116,1.0,0.972236145605852,0.002548689825679466,0.6464709556527171,0.005077362322537602,canlobby_gold,opensecrets_gold,1,0.45,True
20,1290,48056,1912,29168172,1.0,0.9982899050392153,0.026141936529809912,0.4028732042473454,0.04909796757250513,canlobby_gold,opensecrets_gold,1,0.5,False
21,1890,191686,1312,29024542,1.0,0.9933948745748976,0.009763607058726288,0.5902560899437851,0.019209464472654463,canlobby_gold,opensecrets_gold,1,0.5,True
22,1084,6320,2118,29209908,1.0,0.9997112195549331,0.14640734737979472,0.33853841349156777,0.2044125966434094,canlobby_gold,opensecrets_gold,1,0.55,False
23,1708,14990,1494,29201238,1.0,0.9994358548404264,0.10228769912564378,0.5334166146158651,0.17165829145728645,canlobby_gold,opensecrets_gold,1,0.55,True
24,946,1986,2256,29214242,1.0,0.9998548226300102,0.3226466575716235,0.2954403497813866,0.3084447342680144,canlobby_gold,opensecrets_gold,1,0.6000000000000001,False
25,1608,5178,1594,29211050,1.0,0.9997682364098136,0.2369584438549956,0.5021861336664585,0.3219863836603925,canlobby_gold,opensecrets_gold,1,0.6000000000000001,True
26,824,820,2378,29215408,1.0,0.9998905522797673,0.5012165450121655,0.25733916302311055,0.34007428807263723,canlobby_gold,opensecrets_gold,1,0.65,False
27,1536,2270,1666,29213958,1.0,0.9998652951135597,0.40357330530740937,0.4797001873828857,0.4383561643835617,canlobby_gold,opensecrets_gold,1,0.65,True
28,690,134,2512,29216094,1.0,0.9999094438187193,0.837378640776699,0.2154903185509057,0.34277198211624443,canlobby_gold,opensecrets_gold,1,0.7000000000000001,False
29,1458,262,1744,29215966,1.0,0.9999313470522868,0.8476744186046512,0.45534041224234856,0.5924420967086551,canlobby_gold,opensecrets_gold,1,0.7000000000000001,True
30,528,58,2674,29216170,1.0,0.9999065005717086,0.9010238907849829,0.16489693941286696,0.2787750791974657,canlobby_gold,opensecrets_gold,1,0.75,False
31,1384,118,1818,29216110,1.0,0.9999337427184583,0.9214380825565912,0.4322298563397876,0.5884353741496599,canlobby_gold,opensecrets_gold,1,0.75,True
32,346,16,2856,29216212,1.0,0.9999017092393657,0.9558011049723757,0.1080574640849469,0.1941638608305275,canlobby_gold,opensecrets_gold,1,0.8,False
33,1322,56,1880,29216172,1.0,0.9999337427184583,0.9593613933236574,0.41286695815115554,0.5772925764192139,canlobby_gold,opensecrets_gold,1,0.8,True
34,154,4,3048,29216224,1.0,0.9998955489549248,0.9746835443037974,0.048094940662086194,0.09166666666666666,canlobby_gold,opensecrets_gold,1,0.8500000000000001,False
35,1258,34,1944,29216194,1.0,0.9999323053187553,0.9736842105263158,0.3928794503435353,0.5598575878949711,canlobby_gold,opensecrets_gold,1,0.8500000000000001,True
36,60,0,3142,29216228,1.0,0.9998924688127044,1.0,0.018738288569643973,0.03678724708767628,canlobby_gold,opensecrets_gold,1,0.9,False
37,1228,30,1974,29216198,1.0,0.9999314154998917,0.9761526232114467,0.3835103060587133,0.5506726457399101,canlobby_gold,opensecrets_gold,1,0.9,True
38,24,0,3178,29216228,1.0,0.9998912367558163,1.0,0.007495315427857589,0.014879107253564786,canlobby_gold,opensecrets_gold,1,0.9500000000000001,False
39,1212,30,1990,29216198,1.0,0.9999308679190525,0.9758454106280193,0.37851342910680824,0.5454545454545454,canlobby_gold,opensecrets_gold,1,0.9500000000000001,True
40,16,0,3186,29216228,1.0,0.9998909629653967,1.0,0.004996876951905059,0.009944064636420136,canlobby_gold,opensecrets_gold,1,1.0,False
41,1204,30,1998,29216198,1.0,0.9999305941286329,0.9756888168557536,0.3760149906308557,0.5428313796212805,canlobby_gold,opensecrets_gold,1,1.0,True
42,3202,29216228,0,0,1.0,0.00010958461544253259,0.00010958461544253259,1.0,0.0002191452159408502,canlobby_gold,opensecrets_gold,2,0.0,False
43,3202,29216228,0,0,1.0,0.00010958461544253259,0.00010958461544253259,1.0,0.0002191452159408502,canlobby_gold,opensecrets_gold,2,0.0,True
44,3202,29205418,0,10810,1.0,0.00047954391991904017,0.00010962517229502797,1.0,0.00021922631186784583,canlobby_gold,opensecrets_gold,2,0.05,False
45,3202,29205418,0,10810,1.0,0.00047954391991904017,0.00010962517229502797,1.0,0.00021922631186784583,canlobby_gold,opensecrets_gold,2,0.05,True
46,3196,28989656,6,226572,1.0,0.00786353464116172,0.00011023406734873823,0.9981261711430356,0.00022044378866172617,canlobby_gold,opensecrets_gold,2,0.1,False
47,3196,28989656,6,226572,1.0,0.00786353464116172,0.00011023406734873823,0.9981261711430356,0.00022044378866172617,canlobby_gold,opensecrets_gold,2,0.1,True
48,3186,27996864,16,1219364,1.0,0.0418403096843436,0.00011378551109730162,0.9950031230480949,0.00022754500084490187,canlobby_gold,opensecrets_gold,2,0.15000000000000002,False
49,3190,28018030,12,1198198,1.0,0.04111606557691235,0.00011384229523197062,0.9962523422860712,0.00022765857579506904,canlobby_gold,opensecrets_gold,2,0.15000000000000002,True
50,3150,25232592,52,3983636,1.0,0.13644297647147804,0.0001248229594358668,0.9837601499063086,0.0002496142469352125,canlobby_gold,opensecrets_gold,2,0.2,False
51,3164,25302954,38,3913274,1.0,0.13403540041677747,0.0001250290542389789,0.9881324172392255,0.00025002647246152805,canlobby_gold,opensecrets_gold,2,0.2,True
52,3004,20813906,198,8402322,1.0,0.2876622165456342,0.00014430575911602634,0.9381636477201749,0.00028856713162734183,canlobby_gold,opensecrets_gold,2,0.25,False
53,3064,21060916,138,8155312,1.0,0.27921064853078925,0.00014546158893048703,0.9569019362898189,0.0002908789604608723,canlobby_gold,opensecrets_gold,2,0.25,True
54,2728,14574362,474,14641866,1.0,0.5011936920056278,0.00018714297572423576,0.8519675202998126,0.00037420375394402254,canlobby_gold,opensecrets_gold,2,0.30000000000000004,False
55,2860,15121180,342,14095048,1.0,0.4824840183398513,0.0001891029116558803,0.8931917551530294,0.0003781257680679664,canlobby_gold,opensecrets_gold,2,0.30000000000000004,True
56,2486,8860738,716,20355490,1.0,0.6967273488907895,0.0002804848438897629,0.7763897564022486,0.0005607671005205479,canlobby_gold,opensecrets_gold,2,0.35000000000000003,False
57,2718,9830740,484,19385488,1.0,0.6635381319895699,0.0002764032754296607,0.8488444722048719,0.0005526266029322962,canlobby_gold,opensecrets_gold,2,0.35000000000000003,True
58,2150,4651502,1052,24564726,1.0,0.8407719110194826,0.0004620027453707325,0.6714553404122423,0.0009233701550445859,canlobby_gold,opensecrets_gold,2,0.4,False
59,2486,5431248,716,23784980,1.0,0.8140975371525043,0.00045751227424824253,0.7763897564022486,0.000914485658834314,canlobby_gold,opensecrets_gold,2,0.4,True
60,1820,1590058,1382,27626170,1.0,0.9455348718301486,0.0011433036953836914,0.5683947532792005,0.002282017202898914,canlobby_gold,opensecrets_gold,2,0.45,False
61,2272,2491922,930,26724306,1.0,0.9146851256167557,0.000910915510180844,0.7095565271705184,0.0018194951861859312,canlobby_gold,opensecrets_gold,2,0.45,True
62,1526,567132,1676,28649096,1.0,0.980533227376441,0.002683511003098523,0.47657713928794504,0.005336970587206658,canlobby_gold,opensecrets_gold,2,0.5,False
63,2046,954302,1156,28261926,1.0,0.9673005941594344,0.0021393885907640313,0.6389756402248594,0.004264498983898702,canlobby_gold,opensecrets_gold,2,0.5,True
64,1252,54752,1950,29161476,1.0,0.998059441953522,0.022355546032426257,0.3910056214865709,0.0422930108434956,canlobby_gold,opensecrets_gold,2,0.55,False
65,1860,240576,1342,28975652,1.0,0.9917206461590797,0.007672127901796763,0.5808869456589631,0.015144236640910611,canlobby_gold,opensecrets_gold,2,0.55,True
66,1056,6536,2146,29209692,1.0,0.9997028689471356,0.13909378292939936,0.3297938788257339,0.19566425792106723,canlobby_gold,opensecrets_gold,2,0.6000000000000001,False
67,1696,18184,1506,29198044,1.0,0.999326133329774,0.08531187122736418,0.5296689569019363,0.1469543367125899,canlobby_gold,opensecrets_gold,2,0.6000000000000001,True
68,910,1662,2292,29214566,1.0,0.9998646790851157,0.3538102643856921,0.28419737663960026,0.31520609629373053,canlobby_gold,opensecrets_gold,2,0.65,False
69,1604,4248,1598,29211980,1.0,0.9997999276508817,0.27409432672590567,0.5009369144284822,0.3543185332449746,canlobby_gold,opensecrets_gold,2,0.65,True
70,764,756,2438,29215472,1.0,0.999890689174977,0.5026315789473684,0.2386008744534666,0.32359169843286745,canlobby_gold,opensecrets_gold,2,0.7000000000000001,False
71,1502,1998,1700,29214230,1.0,0.9998734403785426,0.42914285714285716,0.46908182386008745,0.44822441062369445,canlobby_gold,opensecrets_gold,2,0.7000000000000001,True
72,604,114,2598,29216114,1.0,0.9999071850477576,0.841225626740947,0.18863210493441598,0.3081632653061225,canlobby_gold,opensecrets_gold,2,0.75,False
73,1422,218,1780,29216010,1.0,0.9999316208427064,0.8670731707317073,0.44409743910056215,0.5873605947955389,canlobby_gold,opensecrets_gold,2,0.75,True
74,446,44,2756,29216184,1.0,0.9999041733531421,0.9102040816326531,0.13928794503435352,0.24160346695557958,canlobby_gold,opensecrets_gold,2,0.8,False
75,1364,98,1838,29216130,1.0,0.9999337427184583,0.93296853625171,0.4259837601499063,0.5849056603773585,canlobby_gold,opensecrets_gold,2,0.8,True
76,220,12,2982,29216216,1.0,0.9998975339354669,0.9482758620689655,0.06870705808869457,0.128130460104834,canlobby_gold,opensecrets_gold,2,0.8500000000000001,False
77,1274,52,1928,29216176,1.0,0.9999322368711505,0.9607843137254902,0.39787632729544037,0.5627208480565371,canlobby_gold,opensecrets_gold,2,0.8500000000000001,True
78,74,2,3128,29216226,1.0,0.9998928794983338,0.9736842105263158,0.0231105559025609,0.04514948139109213,canlobby_gold,opensecrets_gold,2,0.9,False
79,1238,32,1964,29216196,1.0,0.9999316892903113,0.9748031496062992,0.38663335415365396,0.5536672629695886,canlobby_gold,opensecrets_gold,2,0.9,True
80,24,0,3178,29216228,1.0,0.9998912367558163,1.0,0.007495315427857589,0.014879107253564786,canlobby_gold,opensecrets_gold,2,0.9500000000000001,False
81,1212,30,1990,29216198,1.0,0.9999308679190525,0.9758454106280193,0.37851342910680824,0.5454545454545454,canlobby_gold,opensecrets_gold,2,0.9500000000000001,True
82,12,0,3190,29216228,1.0,0.9998908260701869,1.0,0.0037476577139287947,0.0074673304293715,canlobby_gold,opensecrets_gold,2,1.0,False
83,1202,30,2000,29216198,1.0,0.999930525681028,0.9756493506493507,0.37539038101186756,0.5421741091565178,canlobby_gold,opensecrets_gold,2,1.0,True
84,3202,29216228,0,0,1.0,0.00010958461544253259,0.00010958461544253259,1.0,0.0002191452159408502,canlobby_gold,opensecrets_gold,3,0.0,False
85,3202,29216228,0,0,1.0,0.00010958461544253259,0.00010958461544253259,1.0,0.0002191452159408502,canlobby_gold,opensecrets_gold,3,0.0,True
86,3202,29183804,0,32424,1.0,0.0012192571860573597,0.00010970635357391573,1.0,0.00021938863882025092,canlobby_gold,opensecrets_gold,3,0.05,False
