,TP,FP,FN,TN,coverage,accuracy,precision,recall,F1,seed,threshold,train_counts,test_counts
0,2873264,10226554340,0,0,1.0,0.00028088218727668313,0.00028088218727668313,1.0,0.000561606629254952,1,0.0,True,True
1,1678,7377694,0,0,1.0,0.00022739062348394958,0.00022739062348394958,1.0,0.00045467785748640096,1,0.0,True,False
2,1838108,19906798,1035156,10206647542,1.0,0.997952773624224,0.08453051027215294,0.6397281976177616,0.1493293774476332,1,0.02,True,True
3,1248,6356,430,7371338,1.0,0.999080409552466,0.16412414518674381,0.7437425506555423,0.2689075630252101,1,0.02,True,False
4,1794254,5863918,1079010,10220690422,1.0,0.9993212789347778,0.23429272677605048,0.6244654163348721,0.34074251602535494,1,0.04,True,True
5,1202,1732,476,7375962,1.0,0.999700787546691,0.4096796182685753,0.7163289630512515,0.5212489158716391,1,0.04,True,False
6,1742544,2436046,1130720,10224118294,1.0,0.9996513230125794,0.41701722351319465,0.6064684623480474,0.49420875701624006,1,0.06,True,True
7,1164,760,514,7376934,1.0,0.9998273565826469,0.604989604989605,0.6936829558998808,0.6463076068850638,1,0.06,True,False
8,1733530,806862,1139734,10225747478,1.0,0.9998097062635999,0.68238681274386,0.6033312636778242,0.640428575439592,1,0.08,True,True
9,1148,484,530,7377210,1.0,0.9998625899331272,0.7034313725490197,0.6841477949940405,0.6936555891238672,1,0.08,True,False
10,1728472,656846,1144792,10225897494,1.0,0.9998238769489609,0.7246295881723108,0.6015708963742976,0.6573909088039323,1,0.1,True,True
11,1094,386,584,7377308,1.0,0.9998685525001314,0.7391891891891892,0.6519666269368296,0.6928435718809374,1,0.1,True,False
12,1722702,459468,1150562,10226094872,1.0,0.9998426080067891,0.7894444520821018,0.5995627272676649,0.6815248700705023,1,0.12,True,True
13,1080,314,598,7377380,1.0,0.9998764122475463,0.7747489239598279,0.6436233611442194,0.703125,1,0.12,True,False
14,1707474,139884,1165790,10226414456,1.0,0.9998723609911967,0.9242788890945881,0.594262831400108,0.7234106013995613,1,0.14,True,True
15,1016,250,662,7377444,1.0,0.9998764122475463,0.8025276461295419,0.6054827175208581,0.6902173913043478,1,0.14,True,False
16,1702776,128514,1170488,10226425826,1.0,0.9998730132271045,0.9298232393558639,0.5926277571430958,0.7238841343940361,1,0.16,True,True
17,998,216,680,7377478,1.0,0.9998785804537297,0.8220757825370676,0.5947556615017878,0.690179806362379,1,0.16,True,False
18,1688492,71196,1184772,10226483144,1.0,0.9998772201096072,0.9595405549165534,0.5876564074863987,0.7289054581182797,1,0.18,True,True
19,984,164,694,7377530,1.0,0.9998837299434152,0.8571428571428571,0.5864123957091776,0.6963906581740975,1,0.18,True,False
20,1558734,63598,1314530,10226490742,1.0,0.9998652780924456,0.9607984062448377,0.5424959210152634,0.6934493224035255,1,0.2,True,True
21,958,138,720,7377556,1.0,0.9998837299434152,0.8740875912408759,0.5709177592371871,0.6906993511175198,1,0.2,True,False
22,1553344,62026,1319920,10226492314,1.0,0.9998649048555308,0.9616026049759497,0.5406200056799514,0.6921232606623752,1,0.22,True,True
23,926,126,752,7377568,1.0,0.999881019685686,0.8802281368821293,0.5518474374255066,0.6783882783882784,1,0.22,True,False
24,1518692,57946,1354572,10226496394,1.0,0.9998619162230106,0.9632471118925207,0.5285598538804649,0.6825732341970677,1,0.24,True,True
25,910,118,768,7377576,1.0,0.9998799355825942,0.8852140077821011,0.5423122765196663,0.6725794530672581,1,0.24,True,False
26,1518598,50970,1354666,10226503370,1.0,0.9998625889879263,0.967526096352627,0.528527138473875,0.6836171162897898,1,0.26,True,True
27,904,104,774,7377590,1.0,0.999881019685686,0.8968253968253969,0.5387365911799762,0.673119880863738,1,0.26,True,False
28,1491198,45260,1382066,10226509080,1.0,0.9998604686346828,0.9705426376770468,0.5189909454891719,0.676322906523359,1,0.28,True,True
29,876,88,802,7377606,1.0,0.9998793935310485,0.9087136929460581,0.5220500595947557,0.6631339894019682,1,0.28,True,False
30,1479724,33020,1393540,10226521320,1.0,0.999860543516683,0.978172116366021,0.5149975776677674,0.6747475152804099,1,0.3,True,True
31,850,76,828,7377618,1.0,0.9998774963506379,0.91792656587473,0.5065554231227652,0.6528417818740401,1,0.3,True,False
32,1477652,32896,1395612,10226521444,1.0,0.9998603530856955,0.9782224729038733,0.5142764465778292,0.6741402231665043,1,0.32,True,True
33,830,70,848,7377624,1.0,0.9998755991702275,0.9222222222222223,0.49463647199046484,0.6439100077579519,1,0.32,True,False
34,1474018,32032,1399246,10226522308,1.0,0.9998600822983057,0.9787311178247734,0.513011682880515,0.6731730129422097,1,0.34,True,True
35,800,68,878,7377626,1.0,0.9998718048094065,0.9216589861751152,0.4767580452920143,0.6284367635506677,1,0.34,True,False
36,1470386,32032,1402878,10226522308,1.0,0.9998597272442263,0.9786797016542667,0.5117476152556814,0.6720716907672907,1,0.36,True,True
37,786,68,892,7377626,1.0,0.9998699076289961,0.9203747072599532,0.4684147794994041,0.6208530805687204,1,0.36,True,False
38,1420828,32032,1452436,10226522308,1.0,0.9998548825938786,0.9779524524042233,0.49449963525802015,0.6568595814636843,1,0.38,True,True
39,770,68,908,7377626,1.0,0.9998677394228127,0.918854415274463,0.45887961859356374,0.6120826709062003,1,0.38,True,False
40,1415576,16818,1457688,10226537522,1.0,0.99985585645091,0.988258817057318,0.49267174892387194,0.6575422386078968,1,0.4,True,True
41,754,52,924,7377642,1.0,0.9998677394228127,0.9354838709677419,0.44934445768772346,0.607085346215781,1,0.4,True,False
42,1385370,16818,1487894,10226537522,1.0,0.9998529035975179,0.9880058879408468,0.4821589662488376,0.6480577959944352,1,0.42,True,True
43,726,52,952,7377642,1.0,0.9998639450619917,0.9331619537275064,0.432657926102503,0.5912052117263844,1,0.42,True,False
44,1319258,16394,1554006,10226537946,1.0,0.9998464821238496,0.9877258447559694,0.4591495943289583,0.6268873030490512,1,0.44,True,True
45,722,44,956,7377650,1.0,0.9998644871135376,0.9425587467362925,0.4302741358760429,0.5908346972176759,1,0.44,True,False
46,1298262,14824,1575002,10226539516,1.0,0.9998445830928626,0.9887105642737795,0.4518422254272493,0.6202357662402809,1,0.46,True,True
47,708,42,970,7377652,1.0,0.9998628609589,0.944,0.42193087008343266,0.5831960461285008,1,0.46,True,False
48,1283436,14680,1589828,10226539660,1.0,0.9998431478219395,0.9886913033966148,0.4466822401283001,0.6153531924686795,1,0.48,True,True
49,680,38,998,7377656,1.0,0.999859608649625,0.947075208913649,0.4052443384982122,0.5676126878130218,1,0.48,True,False
50,1275040,14530,1598224,10226539810,1.0,0.9998423417162297,0.9887326783346386,0.44376012785459323,0.612582678050578,1,0.5,True,True
51,672,34,1006,7377660,1.0,0.9998590665980791,0.9518413597733711,0.40047675804529204,0.563758389261745,1,0.5,True,False
52,1272444,13692,1600820,10226540648,1.0,0.9998421698591065,0.9893541585026778,0.4428566257747287,0.611840169255181,1,0.52,True,True
53,666,30,1012,7377664,1.0,0.9998587955723062,0.9568965517241379,0.39690107270560193,0.561078348778433,1,0.52,True,False
54,1266514,13422,1606750,10226540918,1.0,0.9998416165534652,0.9895135381769088,0.44079277086964513,0.6098979100452663,1,0.54,True,True
55,656,28,1022,7377666,1.0,0.9998577114692144,0.9590643274853801,0.3909415971394517,0.5554614733276884,1,0.54,True,False
56,1258536,9066,1614728,10226545274,1.0,0.9998412624769577,0.9928479128306834,0.438016137744391,0.6078612541434569,1,0.56,True,True
57,630,24,1048,7377670,1.0,0.9998547301857122,0.963302752293578,0.37544696066746125,0.5403087478559176,1,0.56,True,False
58,1189568,9066,1683696,10226545274,1.0,0.9998345203597376,0.9924363900907199,0.4140127743221646,0.5842818263129381,1,0.58,True,True
59,602,24,1076,7377670,1.0,0.9998509358248914,0.9616613418530351,0.35876042908224076,0.5225694444444444,1,0.58,True,False
60,956946,6570,1916318,10226547770,1.0,0.9998120238908336,0.9931812237679499,0.3330518880269965,0.4988276627797268,1,0.6,True,True
61,584,18,1094,7377676,1.0,0.9998493096702538,0.9700996677740864,0.34803337306317045,0.5122807017543859,1,0.6,True,False
62,921836,6570,1951428,10226547770,1.0,0.9998085916362286,0.9929233546530289,0.3208323356294444,0.48496371331546395,1,0.62,True,True
63,558,18,1120,7377676,1.0,0.9998457863352057,0.96875,0.33253873659118,0.49511978704525283,1,0.62,True,False
64,895378,6570,1977886,10226547770,1.0,0.9998060051767487,0.9927157663191226,0.31162399278312053,0.4743458115729659,1,0.64,True,True
65,544,18,1134,7377676,1.0,0.9998438891547953,0.9679715302491103,0.32419547079856975,0.4857142857142858,1,0.64,True,False
66,761490,5798,2111774,10226548542,1.0,0.9997929921319183,0.9924435153423486,0.26502611663947345,0.4183376586847269,1,0.66,True,True
67,518,14,1160,7377680,1.0,0.9998409078712931,0.9736842105263158,0.30870083432657924,0.46877828054298637,1,0.66,True,False
68,723902,4974,2149362,10226549366,1.0,0.9997893981869369,0.9931757939622103,0.2519441304384143,0.40192885340380996,1,0.68,True,True
69,498,6,1180,7377688,1.0,0.9998392817166556,0.9880952380952381,0.2967818831942789,0.45646196150320806,1,0.68,True,False
70,721970,4974,2151294,10226549366,1.0,0.9997892093200643,0.993157657261082,0.25127172442212065,0.40107127143765026,1,0.7000000000000001,True,True
71,474,6,1204,7377688,1.0,0.9998360294073805,0.9875,0.2824791418355185,0.43929564411492117,1,0.7000000000000001,True,False
72,693884,4974,2179380,10226549366,1.0,0.9997864637118947,0.992882674305796,0.24149677857655963,0.3884996089159329,1,0.72,True,True
73,464,6,1214,7377688,1.0,0.9998346742785158,0.9872340425531915,0.2765196662693683,0.4320297951582868,1,0.72,True,False
74,684308,4974,2188956,10226549366,1.0,0.9997855275891349,0.9927837953116432,0.23816398353927798,0.3841679517962716,1,0.74,True,True
75,456,6,1222,7377688,1.0,0.9998335901754242,0.987012987012987,0.27175208581644816,0.4261682242990654,1,0.74,True,False
76,606488,4974,2266776,10226549366,1.0,0.9997779201253537,0.9918653980132862,0.21107980331775988,0.34808360829517154,1,0.76,True,True
77,436,6,1242,7377688,1.0,0.9998308799176949,0.9864253393665159,0.2598331346841478,0.41132075471698115,1,0.76,True,False
78,586132,4974,2287132,10226549366,1.0,0.9997759301801888,0.9915852655868829,0.20399517760985417,0.3383772518524292,1,0.78,True,True
79,412,6,1266,7377688,1.0,0.9998276276084198,0.9856459330143541,0.24553039332538737,0.3931297709923664,1,0.78,True,False
80,474010,4974,2399254,10226549366,1.0,0.9997649694496044,0.9896155195163095,0.16497265827296065,0.2828012724595555,1,0.8,True,True
81,372,6,1306,7377688,1.0,0.9998222070929613,0.9841269841269841,0.22169249106078665,0.36186770428015563,1,0.8,True,False
82,412444,4974,2460820,10226549366,1.0,0.999758950931034,0.9880838871347187,0.14354545910156533,0.2506738724677741,1,0.8200000000000001,True,True
83,332,6,1346,7377688,1.0,0.9998167865775028,0.9822485207100592,0.19785458879618595,0.3293650793650794,1,0.8200000000000001,True,False
84,397338,0,2475926,10226554340,1.0,0.9997579604552818,1.0,0.1382880236553272,0.24297545222561473,1,0.84,True,True
85,298,0,1380,7377694,1.0,0.9998129922166819,1.0,0.17759237187127533,0.3016194331983806,1,0.84,True,False
86,364166,0,2509098,10226554340,1.0,0.9997547176540925,1.0,0.1267429654915107,0.2249722773928703,1,0.86,True,True
87,262,0,1416,7377694,1.0,0.9998081137527692,1.0,0.15613825983313467,0.27010309278350514,1,0.86,True,False
88,300708,0,2572556,10226554340,1.0,0.9997485141789366,1.0,0.10465728175343442,0.18948371315184886,1,0.88,True,True
89,206,0,1472,7377694,1.0,0.9998005250311273,1.0,0.12276519666269368,0.21868365180467092,1,0.88,True,False
90,241832,0,2631432,10226554340,1.0,0.9997427586271815,1.0,0.08416630006849353,0.1552645568547486,1,0.9,True,True
91,152,0,1526,7377694,1.0,0.9997932073352583,1.0,0.09058402860548272,0.16612021857923498,1,0.9,True,False
92,139146,0,2734118,10226554340,1.0,0.9997327203333517,1.0,0.048427850695237196,0.09238184709252725,1,0.92,True,True
93,114,0,1564,7377694,1.0,0.9997880578455728,1.0,0.06793802145411204,0.12723214285714285,1,0.92,True,False
94,76744,0,2796520,10226554340,1.0,0.9997266200897784,1.0,0.026709693226936334,0.05202968941101176,1,0.9400000000000001,True,True
95,76,0,1602,7377694,1.0,0.9997829083558872,1.0,0.04529201430274136,0.08665906499429875,1,0.9400000000000001,True,False
96,59302,0,2813962,10226554340,1.0,0.9997249150090373,1.0,0.0206392451233162,0.04044376153852974,1,0.96,True,True
97,32,0,1646,7377694,1.0,0.9997769457888829,1.0,0.01907032181168057,0.03742690058479532,1,0.96,True,False
98,49798,0,2823466,10226554340,1.0,0.9997239859247945,1.0,0.01733150869533743,0.034072489738500245,1,0.98,True,True
99,12,0,1666,7377694,1.0,0.9997742355311536,1.0,0.007151370679380214,0.014201183431952662,1,0.98,True,False
100,47796,0,2825468,10226554340,1.0,0.9997237902149192,1.0,0.016634740142221528,0.03272510663937064,1,1.0,True,True
101,10,0,1668,7377694,1.0,0.9997739645053807,1.0,0.0059594755661501785,0.011848341232227486,1,1.0,True,False
102,2332872,9449673686,0,0,1.0,0.00024681235520573154,0.00024681235520573154,1.0,0.000493502907796489,2,0.0,True,True
103,1520,7221136,0,0,1.0,0.00021044889857692239,0.00021044889857692239,1.0,0.00042080923831313075,2,0.0,True,False
104,1480638,14235512,852234,9435438174,1.0,0.9984037520596905,0.09421124130273635,0.6346846290752343,0.16406850188337072,2,0.02,True,True
105,1128,9168,392,7211968,1.0,0.9986763871905293,0.10955710955710955,0.7421052631578947,0.1909275558564658,2,0.02,True,False
106,1457514,10932354,875358,9438741332,1.0,0.9987507719204864,0.11763757289423907,0.6247723835684084,0.197994938442165,2,0.04,True,True
107,1100,5150,420,7215986,1.0,0.9992288155492938,0.176,0.7236842105263158,0.2831402831402831,2,0.04,True,False
108,1455432,10273386,877440,9439400300,1.0,0.9988202689099319,0.12409025359588664,0.6238799214016029,0.20700669691907586,2,0.06,True,True
109,1084,3756,436,7217380,1.0,0.9994196040902404,0.22396694214876034,0.7131578947368421,0.3408805031446541,2,0.06,True,False
110,1377310,7042106,955562,9442631580,1.0,0.9991538655891822,0.1635873557025808,0.5903924433059337,0.25618919433705645,2,0.08,True,True
