string0,string1
TechSolve Inc,"TECHSOLVE, INC."
University of St Thomas Florida,ST THOMAS UNIVERSITY
National Health Care Access Coalition,NATIONAL HEALTH CARE ACCESS COALITION
Gonzales & Gonzales Bonds & Insurance Agency,GONZALES & GONZALES BONDS AND INSURANCE AGENCY INC
UroLogix,UROLOGIX
Theodore Roosevelt Conservation Partners,Theodore Roosevelt Conservation Partnership
Willis-Knighton Medical Center,WILLIS-KNIGHTON MEDICAL CENTER
US Smokeless Tobacco,U.S. SMOKELESS TOBACCO CO
Brickman Group,The Brickman Group
Hawker Beechcraft,HAWKER BEECHCRAFT CORPORATION
Bridgestone Americas,BRIDGESTONE AMERICAS HOLDING INC
Consortium for Oceanographic Resrch & Ed,CONSORTIUM FOR OCEANOGRAPHIC RESEARCH & EDUCATION
Tesla Motors,TESLA INC
University of Texas,UNIV OF TEXAS SYSTEM
LaRocco & Assoc,"LAROCCO & ASSOCIATES, INC"
Mills et al,"Mills, Mills, Fiely & Lucas"
Catalyst Paper Corp,Catalyst Paper Corporation
"Lopez, John",John Lopez
Fairleigh Dickinson University,FAIRLEIGH DICKINSON UNIV
Arista Networks,"Arista Networks, Inc."
"Smith, Segel & Sowalsky",SMITH SEGEL & SOWALSKY
TSC Group,TSC INC
Daiichi Sankyo Inc,Daiichi Sankyo
Intelligent Optical Solutions,"Intelligent Optical Solutions, Inc."
OPS1 Inc,Proof Point Systems
Guard Financial Group,GUARD FINANCIAL GROUP
Intl AIDS Vaccine Initiative,INTERNATIONAL AIDS VACCINEN INITIATIVE
East Coast Fabrication & Repair,EAST COAST FAB& REPAIR
Visa International,VISA U S A
National Childhood Cancer Foundation,NATIONAL CHILDHOOD CANCER FOUNDATION
"Goodman, Laurie D","GOODMAN, LAURIE D."
Maine Dept of Education,MAINE DEPARTMENT OF EDUCATION
Real Estate Services Providers Council,"Real Estate Settlement Providers Council, Inc."
"Strange, Martin",Martin Strange
Washington Group International,WASHINGTON GROUP INTERNATIONAL
Auburn Foundry Europe,"AUBURN FOUNDRY EUROPE, INC."
"Hoitsma, Gary",Mr. Gary Hoitsma
Zeneca Plant Sciences,ZENECA PLANT SCIENCES
Disabled Amer Veteran Opportunity Serv,DISABLED AMERICAN VETERAN OPPORTUNITY SERVICE INC.
Eagle Industries Unlimited,EAGLE INDUSTRIES UNLIMITED INC
Forethought Life Insurance,FORETHOUGHT LIFE INSURANCE CO
Bockorny Group,BOCKORNY GROUP
Cascades Technologies,CASCADES TECHNOLOGIES INC
Solazyme,Solazyme Inc
Security Cos Organized for Legislative Action,SECURITY COS ORGANIZED FOR LEGISLATIVE ACT
"Sauls, Michael","SAULS, MICHAEL"
Texas Council of Community Mhmr Centers,Texas Council of Community MHMR Centers
Weidlinger Assoc,"WEIDLINGER ASSOC, INC"
"Jokhtaberidze, George","JOKHTABERIDZE, GEORGE"
Williams Companies,THE WILLIAMS COMPANIES INC.
A123 Systems,A123 SYSTEMS
Janel World Trade,"Janel World Trade, LTD"
US Conference of Mayors,UNITED STATES CONFERENCE OF MAYORS
International Longshore/Warehouse Union,INTL LONGSHORE & WAREHOUSE UNION
