query_string,candidate_string,match
Federal Mediation and Conciliation Servi,Federal Mediation and Conciliation Service,1
Research and Special Programs Administra,Research and Special Programs Administration,1
Federal Mine Safety and Health Review Cmsn,Federal Mine Safety and Health Review Commission,1
Agency for Toxic Substances and Disease,Agency for Toxic Substances and Disease Registry,1
Juvenile Justice and Delinq Prev Office,Juvenile Justice and Delinquency Prevention Office,1
Health Resources and Svcs Administration,Health Resources and Services Administration,1
Pension and Welfare Benefits Admin,Pension and Welfare Benefits Administration,1
Occupational Safety and Health Review Co,Occupational Safety and Health Review Commission,1
Justice Program Office,Justice Programs Office,1
National Oceanic and Atmospheric Admin,National Oceanic and Atmospheric Administration,1
Occupational Safety and Health Admin,Occupational Safety and Health Administration,1
National Archives and Records Admin,National Archives and Records Administration,1
Pipeline and Hazardous Materials Safety,Pipeline and Hazardous Materials Safety Administration,1
Substance Abuse and Mental Hlth Svcs Adm,Substance Abuse and Mental Health Services Administration,1
National Aeronautics and Space Admin,National Aeronautics and Space Administration,1
Government Printing Office,Government Publishing Office,1
Agency for Health Care Policy and Research,Agency for Healthcare Research and Quality,1
Alcohol Tobacco and Firearms Bureau,"Alcohol, Tobacco, Firearms, and Explosives Bureau",1
Administration Office,"Administration Office, Executive Office of the President",1
Defense Finance and Accounting Service,Defense Nuclear Facilities Safety Board,0
Defense Commissary Agency,Defense Acquisition Regulations System,0
Defense Business Transformation Agency,Defense Criminal Investigative Service,0
Defense Security Assistance Agency,Defense Special Weapons Agency,0
Defense Legal Services Agency,Defense Investigative Service,0
Federal Management Service,Federal Trade Commission,0
Defense Field Activities,Defense Investigative Service,0
Administration for Children and Families,"Administration Office, Executive Office of the President",0
US Immigration and Customs Enforcement,U.S. Immigration and Customs Enforcement,1
Administration on Aging,Administrative Conference of the United States,0
Secretary of Defense Office,Secret Service,0
Financial Management Service,Financial Stability Oversight Council,0
Defense Threat Reduction Agency,Defense Mapping Agency,0
Natl Telecom and Information Admin,National Telecommunications and Information Administration,0
Natl Inst on Alcohol Abuse and Alcoholism,National Institute of Corrections,0
Office for Victims of Crime,"Office of the Chief Financial Officer, Agriculture Department",0
Justice Assistance Bureau,Justice Programs Office,0
US Citizenship and Immigration Services,U.S. Citizenship and Immigration Services,1
