query_string,candidate_string,match
Hillman Co,HILLMAN CO,1
Targeted Abstinence Project,TARGETED ABSTINENCE PROJECT,1
Energy National Inc,ENERGY NATIONAL INC,1
Meat & Poultry Promotion Coalition,MEAT & POULTRY PROMOTION COALITION,1
US Education Servicing LLC,US EDUCATION SERVICING LLC,1
"City of Belle Glade, FL","CITY OF BELLE GLADE, FL",1
Tenaska VII Partners LP,TENASKA VII PARTNERS LP,1
Ibis Tek,IBIS TEK,1
National Assn of Quick Printers,NATIONAL ASSN OF QUICK PRINTERS,1
The Washington Post,THE WASHINGTON POST,1
Vitel Net,VITEL NET,1
Group Health Cooperative Health System,GROUP HEALTH COOPERATIVE HEALTH SYSTEM,1
"Brooks Automation, Inc.","BROOKS AUTOMATION, INC.",1
"Cedar Ridge Wind, LLC","CEDAR RIDGE WIND, LLC",1
"Kaltex Fibers America, Inc.","KALTEX FIBERS AMERICA, INC.",1
Carolina Power and Light Company,CAROLINA POWER AND LIGHT COMPANY,1
American Chemistry Council Inc,AMERICAN CHEMISTRY COUNCIL INC,1
"Corporate Services International, Inc","CORPORATE SERVICES INTERNATIONAL, INC",1
Janel World Trade,JANEL WORLD TRADE,1
Efficiency Energy,EFFICIENCY ENERGY,1
"Connections Academy, LLC","CONNECTIONS ACADEMY, LLC",1
Avocet Travel,AVOCET TRAVEL,1
LA Care Health Plan,LA CARE HEALTH PLAN,1
Olana Partnership,OLANA PARTNERSHIP,1
Midwest Wind Energy Development Group LLC,MIDWEST WIND ENERGY DEVELOPMENT GROUP LLC,1
Capitol Advocacy Group,CAPITOL ADVOCACY GROUP,1
Engineering & Computer Simulations,ENGINEERING & COMPUTER SIMULATIONS,1
Cardsystems Solutions Inc,CARDSYSTEMS SOLUTIONS INC,1
Pearl Hotel Investors,PEARL HOTEL INVESTORS,1
McDermott Inc,MCDERMOTT INC,1
Town of Breckenridge CO,TOWN OF BRECKENRIDGE CO,1
Technosystems Service Corp,TECHNOSYSTEMS SERVICE CORP,1
Board for Certification in Pedorthics,BOARD FOR CERTIFICATION IN PEDORTHICS,1
"Dialysis Clinic, Inc.","DIALYSIS CLINIC, INC.",1
Ciagel LLC,CIAGEL LLC,1
Lost Lakes Wind Farm LLC,LOST LAKES WIND FARM LLC,1
US Drive Right,US DRIVE RIGHT,1
"Agilex Technologies, Inc","AGILEX TECHNOLOGIES, INC",1
Indian American Republican Council,INDIAN AMERICAN REPUBLICAN COUNCIL,1
Capitol City Development Corp,CAPITOL CITY DEVELOPMENT CORP,1
Merit Medical Systems,MERIT MEDICAL SYSTEMS,1
Western States Tourism Policy Council,WESTERN STATES TOURISM POLICY COUNCIL,1
Carus Chemical,CARUS CHEMICAL,1
Disability Service Providers of America,DISABILITY SERVICE PROVIDERS OF AMERICA,1
Beth Abraham Hospital,BETH ABRAHAM HOSPITAL,1
"Georgia-Pacific, LLC","GEORGIA-PACIFIC, LLC",1
Ballard Spahr et al,BALLARD SPAHR ET AL,1
ABSi Corporation,ABSI CORPORATION,1
Safety Storage Inc,SAFETY STORAGE INC,1
Select Management Resources,SELECT MANAGEMENT RESOURCES,1
National Center for Missing and Exploited Children,NATIONAL CENTER FOR MISSING AND EXPLOITED CHILDREN,1
City of Hodgenville KY,CITY OF HODGENVILLE KY,1
Cltn of Leaders for Louisiana Healthcare,CLTN OF LEADERS FOR LOUISIANA HEALTHCARE,1
