query_string,candidate_string,match
ALPHA TECHNOLOGIES GROUP INC,TECHNOLOGIES GROUP INC,0.0
B H A GROUP HOLDINGS,C B R L GROUP INC,0.0
FRANKLIN BANK NATL ASSOC,INTERSTATE NATL DEALER SVCS INC,0.0
ROCKY MOUNTAIN CHOC FAC INC NEW,ROCKY MOUNTAIN WIND POWER,0.0
AMERICAN LEARNING CORP NY,AMERICAN STANDARD COS INC DEL,0.0
T ROWE PRICE ASSOC INC,NARA BANK NATIONAL ASSOC,0.0
POLLUTION RESEARCH & CTRL CORP,BOOTS & COOTS INTL WELL CTRL INC,0.0
INVIVO THERAPEUTICS HLDS CORP,COLLATERAL THERAPEUTICS INC,0.0
KEYSTONE CONSOLIDATED INDS INC,CONSOLIDATED COMMS HLDGS INC,0.0
General Danielson Vicki,GENERAL DYNAMICS CORP,0.0
Crystal Miron,CRYSTAL ROCK HOLDINGS INC,0.0
General Danielson Vicki,GENERAL AMERICAN INVESTORS INC,0.0
R A Dayton,R S A SEC INC,0.0
Patricia Laurel Springs Nursery L L C,GOLAR L N G PARTNERS L P,0.0
Partners,COLUMBIA PIPELINE PARTNERS LP,0.0
b Glycerin,B S B BANCORP INC,0.0
Pacific wide Consulting,PACIFIC COAST OIL TRUST,0.0
Michael Berenzweig,BAKER MICHAEL CORP,0.0
National Plant Board,PRINCETON NATIONAL BANCORP INC,0.0
m s,M F S INTERMEDIATE INCOME TRUST,0.0
Connor Thompson,THOMPSON CREEK METALS CO INC,0.0
M S Ed,M S C I INC,0.0
Chez Sven B&B,S B A COMMUNICAITONS CORP,0.0
young,YOUNG BROADCASTING INC,0.0
m s,S E M X CORP,0.0
A Marvin M A M S Ed,MARINE HARVEST A S A,0.0
S. W. Spencer,D W S HIGH INCOME OPPTYS FD INC,0.0
"House Environmental Resources and Energy Committee, House",RELIANT RESOURCES INC,0.0
"Baker Botts, L.L.P. on behalf of the Class",W L R FOODS INC,0.0
