query_string,candidate_string,match
Renewable Energy Group,RENEWABLE ENERGY GROUP INC,1
Pennsylvania Biomass Energy Association,PENNSYLVANIA REAL ESTATE INVT TR,0
Premier Technology Systems,PREMIERWEST BANCORP,0
Northwest Horticultural Co,NORTHWEST BANCORP INC PA,0
White Mountains Re America,WHITE MOUNTAINS INS GROUP INC,0
"PharmChem Laboratories, Inc.",PHARMCHEM LABORATORIES INC,1
American International Forest Products,AMERICAN INTERNATIONAL GROUP INC,
Northwest Arkansas Regional Airport,NORTHWEST AIRLINES CORP,0
Washington Tilth Producers,WASHINGTON TRUST BANCORP INC,0
ARIZONA FARM BUR FEDN,ALLMERICA FINANCIAL CORP,0
Santa Barbara County Assocation of Government,SANTA BARBARA RESTAURANT GRP INC,0
"InnerWisdom, Inc.",INTERWOVEN INC,0
Alliance for Nuclear Responsibility,ALLIANCE ALL MARKET ADVTG FD INC,0
California Department of Financial Institutions,CALIFORNIA WATER SERVICE GROUP,0
"Foundation Coal West, Inc.",FOUNDATION COAL HOLDINGS INC,0
New England Organics,NEW ERA OF NETWORKS INC,0
California Medical Assocation,CALIFORNIA PIZZA KITCHEN INC,0
Optimal Fitness,OPTIMAL GROUP INC,0
Bank of America Corporation,BANK OF AMERICA CORP,1
California Olive Oil Council,CALIFORNIA INDEPENDENT BANCORP,0
Integrity Doctors LLC,INTEGRATED ORTHOPAEDICS INC,0
"Digital Observer, Inc.",DIGITALNET HOLDINGS INC,0
The CommonWealth of Massachusetts,COMMONWEALTH INDUSTRIES INC,0
Quest Diagnostics Company,QUEST DIAGNOSTICS INC,1
"Merck & Co., Inc.",MERCK & CO INC,1
Department of Sociology,EXPLORATION COMPANY,0
Alliance of Nuclear Worker Advocacy Groups,ALLIANCE BANCORP INC PA NEW,0
Delaware Nation Gaming Commission,DELAWARE INVTS COLO INSD MUN,0
"Cisco Systems, Inc.",CISCO SYSTEMS INC,1
First Baptist Church of Altamonte Springs,FIRST AMERICAN HLTH CNCPTS INC,0
Pennsylvania Interfaith Power & Light,PENNSYLVANIA REAL ESTATE INVT TR,0
Capital Region Ecumenical Organization,CAPITAL LEASE FUNDING INC,0
MISSISSIPPI HEALTH CARE ASSN,MISSISSIPPI CHEMICAL CORP,0
U S West Inc.,U S WEST INC NEW,1
Old Dominion Freight Liner,OLD DOMINION FREIGHT LINE INC,1
Access Community Health,ACCESS ANYTIME BANCORP,0
