,search_string,name,score
3295,Kaiser Aluminum a,Kaiser Aluminum Corp,0.9817976278270244
1301,COOPER TIRE RUBBER CO INC,Cooper Tire & Rubber Co,0.9743551897372511
2825,MUNICIPAL ASSN OF SOUTH CAROLINA,Municipal Bankers Corp,0.9723397882902447
9253,OGE Energy Corporation,OGE Energy Corp.,0.9700738950792739
3482,Rural/Metro Corporation,Rural/Metro Corp,0.9699548183455045
2800,California Integrated Waste Management Board,California Water Service Group,0.9688726943758001
3891,New Jersey Transit,New Jersey Resources Corp,0.9680844833862087
4305,NORTHWEST ARIZONA DISTRIBUTORS INC,Northwest Sports Enterprises,0.9677489436528149
9340,"Kerr-McGee Chemical, LLC",Kerr-McGee Corp,0.967732824988527
8419,Public Service Department,Public Service Enterprise Group Inc,0.9676076858963185
6367,Florida Highway Patrol,Florida Power & Light Co,0.9672689185612424
1421,TENNESSEE FIRE CHIEF ASSN,Tennessee Gas Pipeline Co,0.9672294117345858
7146,Robert Bosch Corporation,Robert Half International Inc.,0.9665042931415708
6880,"Minnesota Valley Transport, Inc.",Minnesota Municipal Term Trust Inc,0.9660451409345547
1979,HELMERICH AND PAYNE INTL DRILLING CO,Helmerich & Payne Inc.,0.9654371295943636
3358,Montgomery County Emergency Operations Center,Montgomery Ward Holding,0.9649658340745686
6106,Southern California Association of Governments,Southern California Gas Co,0.9649059327786124
2601,BENCHMARK INS CO,Benchmark Electronics Inc,0.9642707769063125
5261,SOUTHWESTERN IND CONTRACTORS AND RIGGERS INC,Southwestern Public Service Co,0.9639797571798412
4220,PACIFIC NORTHWEST REGIONAL COUNCIL OF CARPENTERS,Pacific Internet Ltd,0.9634597911882515
7775,"Community Boating, Inc.",Community Banks Inc,0.961339099440002
2117,PACIFIC OZONE TECH INC,PacificNet Inc,0.960645399684764
2833,PENNSYLVANIA AM WATER CO,Pennsylvania Real Estate Investment Trust,0.960094449475858
8225,"Boomerang Hot Shot Services, Inc.",Boomerang Systems Inc,0.9600476873752303
1744,GOLDEN EAGLE DISTRIBUTING CO INC,Golden Enterprises Inc,0.9597826845557103
2888,Pennsylvania Department of Transportation,Pennsylvania Real Estate Investment Trust,0.9596039668522363
5770,ROCKY MOUNTAIN MOVING AND STORAGE INC,Rocky Mountain Chocolate Factory Inc,0.9595029146369135
476,INDEPENDENT INS AGENTS OF SOUTH DAKOTA,Independent Fact Ltd,0.9593634426099591
5004,Parker Hannifin Corporation,Parker-Hannifin Corp,0.9593349845634134
8031,Western Great Lakes Pilots Association,Western Asset Intermediate Muni Fund Inc,0.9590918804938905
7162,Environmental Technology Council,Environmental Power Corp,0.9589109237375657
3279,Transportation Coordinating Committee,Transportation Component Inc,0.9574270083203612
1674,GOLDEN EAGLE OF ARKANSAS INC,Golden State Vintners Inc,0.9572626232763874
8026,"Western Great Lakes Pilots Association, LLP",Western Asset Intermediate Muni Fund Inc,0.9572607098516731
9292,U S Airways Express,U S A Floral Products Inc,0.9563188540816415
8283,Montgomery County United Way,Montgomery Financial Corp,0.9562107608302058
2623,SEABOARD PRODUCTS CO,Seaboard Corp,0.9561958052994922
6841,General Aviation Manufacturers Association,General Motors Financial Co Inc,0.9560240128238143
1610,PERFORMANCE FOOD GP,Performance Food Group Co,0.9559020122694358
7572,Environmental Protection,Environmental Technologies Corp,0.9557561804122635
3808,WESTERN FARM SVC,Western Gas Resources Inc.,0.9553760827898482
1696,TransCanada PipeLine,Transocean Ltd,0.9549385613552007
6444,Florida Foresty Association,Florida East Coast Industries Inc.,0.9548384889437457
5529,RIVER VALLEY LANDSCAPES INC,River Valley Bancorp.,0.9548260552537475
3356,MONTGOMERY COUNTY DEPT OF RISK MGMT,Montgomery Ward Holding,0.9548027325233692
4982,SECURITY CO ORGANIZED FOR LEGISLATIVE ACTION,Security PA Financial Corp,0.9546163040599249
393,Vulcan Materials Commpany,Vulcan Materials Co,0.9545542299329454
9351,"Central Gulf Lines, Inc.",Central Fund Canada,0.954274416970183
1742,GOLDEN EAGLE DISTRIBUTORS INC,Golden Enterprises Inc,0.9542668116501218
162,BALTIMORE GAS AND ELEC,Baltimore Gas & Electric Co,0.9539502081793654
5939,INDIANAPOLIS POWER LIGHT CO,Indianapolis Power & Light,0.9539368829451518
6070,New York City Department of Transportation,New York Community Bancorp Inc.,0.9537758763902813
7215,Franklin County Engineer,Franklin Financial Corp/TN,0.953651377405121
9105,Northeast Ohio Areawide Coordinating Agency,Northeast Pennsylvania Financial Corp.,0.953523921736366
6043,PACIFIC PAPER PRODUCTS INC,Pacific Crest Capital,0.9533802799325908
2498,Anderson,Andersons Inc,0.9532420863247345
5771,Rocky Mountain Remediation Services,Rocky Mountain Chocolate Factory Inc,0.952871447753499
7453,Waste Management Division,Waste Management Inc.,0.9524782982386959
6973,Independent Pilots Association,Independent Bankshares Inc,0.9524618314839588
2903,BLUE RIBBON SUPPLY CO,Blue Ribbon Income Fund,0.9523568079956322
8936,PG&E National Energy Group,Pg&E Natl Energy Group Inc,0.9517554230849697
8818,Golden International Corp.,Golden Sky DBS Inc.,0.9515528472890614
6725,Bombardier Aerospace,Bombardier Inc,0.9515196977220475
5110,MCDONALD DISTRIBUTING CO,McDonald's Corp,0.9514669851311092
4897,ATLAS FORKLIFT RENTALS INC,Atlas Minerals Inc,0.9511111531319184
5692,Blue Bird Body Company,Blue Bird Corp,0.951084401560069
2743,CENTRAL NEW YORKS WATER AUTHORITY,Central Newspapers,0.9510332879294682
7292,St. Lawrence Cement,St. Lawrence Cement Group Inc,0.9505998351211536
666,MCGRATH AND ASSOCIATES INC,McGrath RentCorp,0.9504215360124993
2843,PENNSYLVANIA FARM BUR,Pennsylvania Real Estate Investment Trust,0.9504001926639001
9239,Capital Airport,Capital Automotive REIT,0.9503480736493747
6843,General Aircraft Engines,General Motors Financial Co Inc,0.9503115640247661
7105,"Advanced Safety Concepts, Inc.",Advanced Systems Intl Inc,0.9501826970011283
5100,PIONEER CHEMICAL,Pioneer Cos Inc.,0.9500700121150295
8182,Systems Logistic,Systems & Computer Technology Corp,0.949955685395801
2822,PIONEER CHEM CO,Pioneer Interest Shares,0.9499248991461328
