query_string,candidate_string,match
Defenders of Wildlife,Defenders of Wildlife,1
Boys & Girls Clubs of America,Boys & Girls Clubs of America,1
Virginia Commonwealth University,Virginia Commonwealth University,1
Society of General Internal Medicine,Society of General Internal Medicine,1
Wacker Polysilicon North America,Wacker Polysilicon North America,1
Fresenius Medical Care,Fresenius Medical Care,1
Chicago Council on Global Affairs,Chicago Council on Global Affairs,1
Support kids,Support Kids,1
NuStar Energy,Nustar Energy,1
St. Joseph's Hospital Health Center,St Joseph's Hospital Health Center,1
Hospira Inc.,Hospira Inc,1
CEMEX Inc.,CEMEX Inc,1
CONTRA COSTA WATER DISTRICT,Contra Costa Water District,1
CHEVRON CORP,Chevron Corp,1
Northwest Horticicultural Council,Northwest Horticultural Council,1
MASSACHUSETTS BAY COMM COLLEGE,Massachusetts Bay Community College,1
"ARCCA, Inc.",ARCCA Inc,1
Alamance Regioanl Medical Center,Alamance Regional Medical Center,1
National Association of Wheat Growers,National Assn of Wheat Growers,1
Wisconsin State Cranberry Growers Association,Wisconsin State Cranberry Growers Assn,1
Americas Essential Hospitals,America's Essential Hospitals,1
"First Environment, Inc.",First Environmental,1
"Community Health Systems,Inc.",Community Health Systems,1
Republic Airways Holdings Inc.,Republic Airway's Holdings,1
Intstitute of Transportation Engineers,Institute of Transportation Engineers,1
"Miraca Life Sciences, Inc.",Miraca Life Sciences,1
Financial Planning Association,Financial Planning Assn,1
American Fire Sprinkler Association,American Fire Sprinkler Assn,1
Wyoming Mining Association,Wyoming Mining Assn,1
CHILDRENS HOSP BOSTON,Children's Hospital Boston,1
American Crop Protection Association,American Crop Protection Assn,1
"Association of Global Automakers, Inc.",Association of Global Automakers,1
Public Access to SunScreens PASS Coalition,Public Access to SunScreens Coalition,1
American Forest & paper Association,American Forest & Paper Assn,1
Crescent Point Energy U.S. Corp.,Crescent Point Energy US,1
Wilson Enterprise Inc,Wilson Electronics,0
Transportation Services,Transportation Corridor System,0
American Gaming Association,American Gaming Assn,1
American Bar Association,American Bar Assn,1
"Community Service, Inc.",Community Service,1
Options Clearing Corporation,Options Clearing Corp,1
City of Thornton,"City of Thornton, CO",1
Insurance Services,Insurance Services Office Inc,
Minnesota Department of Natural Resources,Minnesota Dept of Natural Resources,0.981862909
"Lockton Companies, LLC.",Lockton Companies,1
Lincoln Educational Services Corporation,Lincoln Educational Services Corp,1
"Accreditation Association for Ambulatory Health Care, Inc.",Accreditation Assn for Ambulatory Health Care,1
National Association for County Community and Economic Development,National Assn for County Community & Econ Develop,1
Texas State Long-Term Care Ombudsman Program,Texas State University at San Marcos,0
Healthcare Association of NY State,Healthcare Assn of New York State,1
"National Watermelon Association, Inc.",National Watermelon Assn,1
Coastal Conservation Association Washington,Coastal Conservation Assn,1
National Association of Children Hospitals,National Assn of Children's Hospitals,1
Children's Environmental Health Subcommittee,Children's Educational Opportunity Fdtn,1
ALSTOM Transportation Inc.,ALSTOM Transportation,1
AirSep Corporation,Airsep Corp,1
Cafaro Group,Cafaro Co,1
Pennsylvania Freedom Allies,Pennsylvania REIT,0
"American Federation of State, County & Municipal Employees",American Federation of State/Cnty/Munic Employees,1
Ameriflight LLC,Amerityre Corp,0
Arysta LifeScience America Inc.,Arysta Life Sciences,1
Applied Geomechanics Inc.,Applied Discovery Inc,0
Transportation and Land Use Coalition,Transporation Institute,0
Interstate Natural Gas Assn of Amer,Interstate Natural Gas Assn of America,1
"Passport Door Systems, Inc.",Passport Systems,0
"Daikin America, Inc.",Daikin America,1
Japan Tobacco International U.S.A.,Japan Tobacco International,1
Northwestern Mutual Life Insurance Company,Northwestern Mutual Life Insurance,1
Hensel Phelps Construction Company,Hensel Phelps Construction,1
CONSUMER ELEC ASSN,Consumer Electronics Assn,1
Helena Chemical Company,Helena Chemical,1
American Association for Homecare (Gorski,American Assn for Homecare,1
Associated General Contractors of America,Associated General Contractors,1
The Orange County Transportation Authority,Orange County Transportation Authority,1
The CTC Group,CS Group,0
Financial Services Roundtable & ABA,Financial Services Group,0
Missouri Air Conservation Commission,Missouri Credit Union Assn,0
"Diversified Metal Products, Inc.",Diversified Optical Products,0
Western Environmental Trade Association,Western Peanut Growers Assn,0
Mercy Health Physician Partners,Mercy Health Partners,1
SUNCON INC,Sonocine,0
CLOTTER ELAINE,Collazo Enterprises,0
The MetroHealth System,MetroHealth System,1
Alexander and Baldwin Comments,Alexander & Baldwin,1
Mississippi State Senate,Mississippi State University,0
"florida service dogs, inc",Florida Progress Corp,0
Industrial Container Services,Industrial Communications & Electronics,0
FlightSafety International Simulation Division,FlightSafety International,0
Treasures of,TrenStar,0
Pennsylvania Independent Waste Haulers Association,Pennsylvania Independent Oil & Gas Assn,0
Rosemount Inc,ROSEMOND LAURENT,0
Air Liquide America L. P.,Air Liquide America,1
Marine Technology Corporation,Marine Technology Society,0
Williams Investment Company,Williams Companies,
"Essential Inventions, Inc.",Essential Information Inc,0
CSC IND INC,CSC,
Sarah Nease,Sara Lee Corp,0
Northwest Airlines Pilots Master Executive Council,Northern Plains Unmanned Systems Authority,0
management technologies inc.,Management Services Group,0
Georgia Reptile Society,Georgia Regents University,0
Independent Instructor,Independent Sector,0
New England Herpetological Society,New England Medical Center,0
U.S. Senate,US-India Security Council,0
"Universal Propulsion Company, Inc.",Universal Precision Products,0
Waste Management Company,Waste Management Inc,1
the Medicaid Inspector General,Medicago,0
Washington Legal Foundation,Washington Technology Center,0
Northrop,Normandy Group,0
american protector,American Process Inc,0
Northrup Grumman Corporation,Northrop Grumman Integrated Systems,1
Healthcare IT Transition Group,Health Resource Publishing,0
"Stripe, Inc.",Stripe,1
"Environmental Energy Alliance of New York, LLC",Environmental Energy Capital,0
American Association of Occupational Health Nurses,American Assn of Occup Health Nurses,1
Pregis Corporation,Presearch Inc,0
Maverick Logistics,Maverick Tube Corp,0
Georgetown Climate Center,Georgetown University Hospital,0
Premier Bank,Premier Bankcard,0
Connecticut Concrete Promotion Council,Connecticut Corner Coalition,0
Hawaiian Commercial & Sugar Company,Hawaiian Commercial & Sugar,0
Precise Products Corporation,Prescient Medicine,0
"Public Health Analyst, NESCAUM",Public Health Protection Alliance,0
Reinauer Transportation,Regional Transportation District,0
"Central Air Service, Inc.",Central Trading Systems,0
Bellevue University,Bellevue Hospital,0
Jackson County,"Jackson County, MS",1
"Phoenix Clinic, Inc.",Phoenix Coal,0
"Houston Medical Testing Services, Inc.",Houston Methodist,0
Small Business Administration,Small Business Investor Alliance,0
WAUSAU INS CO,Wausau Financial Systems,0
"Plastic Forming Company, Inc.",Plasma-Therm Inc,0
Nature's Acres Organic Farm,NRA Institute for Legislative Action,0
Franciscan University Alum,Franciscan University,
PennDOT,Penneco Oil Co,0
Apio Inc.,ASG,0
In's Propane Trucks,Insors,0
"United Minerals Company, LLC",United Migrant Opportunity Services,0
Pegasus foundation,Pegasus Communications,0
Center for Advocacy for t,Center For Advanced Illness Coord Care,0
THE AMERICAN SWORDFISH ASSN,American Shippers Alliance,0
"Watkins Information Technology Group, LLC",Water Quality Assn,0
"George A. Campbell & Sons, Inc.",GEO Care,0
Outdoor Recreation Professionals,Outdoor Recreation Coalition of America,0
JOHNSON SAFETY INC,Johnsonville Sausage,0
Resp,Repsol SA,0
Washington State Building & Construction Trades Council,Washington State University,0
Advanced Medical Technology,Advanced Housing Technologies,0
NeoGenomics Laboratories,Neogen Inc,0
"Catholic Daughters and Knights of Columbus,& Share the Word Bible sisters",Cascades Boxboard Group,0
Planned Parenthood Mohawk Hudson,Planned Parenthood Advocates,0
INNOSCION LLC,Innosys Inc,0
Equipment Manufacturers Institute,Exotic Wildlife Assn,0
Valencia Country Club,Valencia Community College,0
Southern Ute Growth Fund,Southern Foodservice Management,0
"Great River Construction, LLC",Greater Richmond Transit Co,0
American Cotton Producers,American Collectors Assn,0
North Star Vegetation Management Specialist Inc,North Star Education Finance,0
"Information Systems Consulting Group, Inc.",Information Spectrum,0
The Alzheimer's Drug Discovery Foundatoin,Alzheimer's Drug Discovery Foundation,1
Coastal Tax Service,Coalition 21st Century Postal Service,0
UTAH FOOD IND ASSN,US International Airlines,0
RECREATIONAL ENTERPRISES INC.,Recreation Vehicle Industry Assn,0
Paul Millman Engineering Consultant,Palmetto Health Foundation,0
Retired Professor,RespiraDV,0
"Taylor Prooperties Group, LLC",Taylor Made Environmental,0
Monroe County Transit Authority,Monroe County Airport Authority,
Electronic Health Record Vendor Association,Electronic Healthcare Network Accreditation Comm,0
National Association of State Head Injury Administrators,Natl Assn State Head Injury Admins,1
Safe Food Ingredients Coalition,Safe Flight Instrument Corp,0
The Deaf People,Defense Small Arms Advisory Council,0
Greater Cleveland Automobile Dealers' Association,Greater Cleveland Growth Assn,0
Association of Asian Pacific Community Health Organizations,Assn/Asian Pacific Amer Cmmnty Hlth Orgs,1
Pacific-Re Consultants,Partnership for 21st Century Skills,0
Tradeswomen INC,Third Point Reinsurance,0
Lancaster County Solid Waste Management Authority,Lancaster County Solid Waste Mgmt Auth,0
Goodrich Aerostructures Prestwick Service Center,Goodrich Aerostructures,1
TASB LAF Board,TaskRabbit,0
HART FOOD AND DRUG,Hartford Financial Services,0
Providence Medical Group,Providence Hospital,0
Akerman LLP,Akers Laboratories,0
"PennyMac Loan Services, LLC",Penske Corp,0
