query_string,candidate_string,match
AAR CORP,AAR Corp,1
ACF INDUSTRIES HOLDING CORP,ACF Industries Holding Corp,1
ADC TELECOMMUNICATIONS INC,ADC Telecommunications Inc.,1
AFA PROTECTIVE SYSTEMS INC,AFA Protective Systems Inc,1
AFP IMAGING CORP,AFP Imaging Corp,1
ALPHARMA INC  -CL A,Alpharma Inc.,1
UNITED DOMINION INDUSTRIES,United Dominion Industries,1
AM COMMUNICATIONS INC,AM Communication Inc.,1
AMC ENTERTAINMENT INC -OLD,AMC Entertainment Inc -Old,1
AMERICAN AIRLINES GROUP INC,American Airlines Group Inc,1
ANR PIPELINE CO,ANR Pipeline Co,1
CECO ENVIRONMENTAL CORP,CECO Environmental Corp.,1
AEROFLEX INC,Aeroflex Inc,1
ASA GOLD AND PRECIOUS METALS,ASA Gold and Precious Metals Ltd,1
AVX CORP,AVX Corp.,1
PINNACLE WEST CAPITAL CORP,Pinnacle West Capital Corp,1
AARON'S INC,Aaron's Inc,1
ABBOTT LABORATORIES,Abbott Laboratories,1
SERVIDYNE INC,Servidyne Inc,1
WORLDS INC,Worlds Inc,1
ACETO CORP,Aceto Corp,1
ACKERLEY GROUP INC,Ackerley Group Inc,1
ACMAT CORP  -CL A,ACMAT Corp,1
ACME ELECTRIC CORP,Acme Electric Corp,1
ACME UNITED CORP,Acme United Corp,1
ACE HARDWARE CORP,Ace Hardware Corp,1
COREWAFER INDUSTRIES INC,Aluf Holdings Inc,1
ACTIVISION INC,Activision Inc.,1
ADAC LABORATORIES,ADAC Laboratories,1
RELM WIRELESS CORP,Relm Wireless Corp,1
ADAMS DIVERSIFIED EQUITY FD,Adams Diversified Equity Fund Inc,1
ADAMS RESOURCES & ENERGY INC,Adams Resources & Energy Inc.,1
ADVEST GROUP INC,Advest Group Inc,1
AERO SYSTEMS ENGINEERING INC,Aero Systems Engineering Inc,1
ADVANCED MICRO DEVICES,Advanced Micro Devices Inc,1
MCI INC,MCI Inc,1
B-FAST CORP,B-Fast Corp,1
ASM INTERNATIONAL NV,ASM International NV,1
AEROSONIC CORP,Aerosonic Corp,1
AETNA INC,Aetna Inc.,1
IDNA INC,iDNA Inc,1
AGNICO EAGLE MINES LTD,Agnico Eagle Mines Ltd,1
AGWAY INC,Agway Inc,1
AIR PRODUCTS & CHEMICALS INC,Air Products and Chemicals Inc.,1
AIR T INC,Air T Inc,1
AIRBORNE INC,Airborne Inc.,1
ALABAMA GAS CORP,Alabama Gas Corp,1
ALABAMA POWER CO,Alabama Power Co,1
ALANCO TECHNOLOGIES INC,Alanco Technologies Inc,1
ALASKA AIR GROUP INC,Alaska Air Group Inc.,1
ATRION CORP,ATRION Corp,1
ALBERTO-CULVER CO,Alberto-Culver Co,1
ALBERTSON'S INC,Albertson's Inc.,1
ALCAN INC,Alcan Inc.,1
ALCIDE CORP,Alcide Corp,1
IKON OFFICE SOLUTIONS,IKON Office Solutions Inc.,1
MATSON INC,Matson Inc,1
ALEXANDER'S INC,Alexander's Inc.,1
CAPCO ENERGY INC,Capco Energy Inc,1
TAMIR BIOTHECHNOLOGY INC,Tamir Biotechnology Inc,1
ALICO INC,Alico Inc,1
ALL STATE PROPERTIES HLDGS,All State Properties Holdings Inc,1
ALLEGHANY CORP,Alleghany Corp,1
ALLEGHENY ENERGY INC,Allegheny Energy Inc.,1
ALLEN TELECOM INC,Allen Telecom Inc.,1
ALLEN ORGAN CO  -CL B,Allen Organ Company,1
HONEYWELL INTERNATIONAL INC,Honeywell International Inc,1
ALLIS-CHALMERS ENERGY INC,Allis-Chalmers Energy Inc,1
ALLTEL CORP,ALLTEL Corp,1
SCHERER HEALTHCARE INC,Scherer Healthcare Inc,1
SKYWORKS SOLUTIONS INC,Skyworks Solutions Inc,1
ALPINE GROUP INC,Alpine Group Inc,1
NQL INC,NQL Inc,1
ALLTEL PENNSYLVANIA INC,Alltel Pennsylvania Inc,1
ARROW DOW JONES GLBL YLD ETF,Arrow Dow Jones Global Yield ETF,1
ALCOA INC,Alcoa Inc,1
ALZA CORP,Alza Corp,1
SENTO CORP,Sento Corp,1
BESTWAY INC,Bestway Inc,1
AMBER RESOURCES CO OF COLO,Amber Resources Company of Colorado,1
AMCAST INDUSTRIAL CORP,Amcast Industrial Corp,1
HESS CORP,Hess Corp,1
US AIRWAYS GROUP INC,US Airways Group Inc,1
AMERICAN AIRLINES INC,American Airlines Inc,1
AMERCO,Amerco,1
AMERICAN BILTRITE INC,American Biltrite Inc.,1
BEAM INC,Beam Inc,1
ABM INDUSTRIES INC,ABM Industries Inc,1
PRIMERICA INC,Primerica Inc,1
INVESCO BOND FUND,Invesco Bond Fund,1
TRANSFINANCIAL HOLDINGS INC,Transfinancial Holdings Inc,1
AMERICAN CRYSTAL SUGAR CO,American Crystal Sugar Co,1
US ECOLOGY INC,US Ecology Inc,1
AMERICAN ELECTRIC POWER CO,American Electric Power Co Inc,1
MANSFELDER METALS LTD,Mansfelder Metals Ltd,1
AMERICAN VANTAGE COMPANIES,American Vantage Companies,1
AMERICAN EXPRESS CO,American Express Co,1
AMERICAN EXPRESS CREDIT CORP,American Express Credit Corp,1
AFLAC INC,AFLAC Inc,1
AMERICAN FAMILY FINL SVCS,American Family Financial Services Inc,1
AMERICAN GENERAL CORP,American General Corp,1
AMERICAN GREETINGS  -CL A,American Greetings Corp.,1
WYETH,Wyeth,1
AMERICAN INTERNATIONAL GROUP,American International Group Inc,1
HADERA PAPER LTD,Hadera Paper Ltd,1
AMERICAN LOCKER GROUP INC,American Locker Group Inc,1
AMERICAN MANAGEMENT SYSTEMS,American Management Systems Inc.,1
VANECK VECTORS EMG MKT HIGH,VanEck Vectors Emerging Markets High Yield Bond ETF,1
GOLF ROUNDS.COM INC,Golf Rounds.com Inc.,1
GALLERY OF HISTORY INC,Gallery of History Inc,1
AMERICAN MEDICAL ALERT CORP,American Medical Alert Corp,1
AMERICAN NATIONAL INSURANCE,American National Insurance Company,1
AMERICAN NUCLEAR CORP,American Nuclear Corp,1
AMERICAN PACIFIC CORP,American Pacific Corp,1
AMERICAN PHYSICIANS SVC GP,American Physicians Service Group Inc,1
AMERICAN REALTY INVESTORS,American Realty Investors Inc.,1
AMERICAN SCIENCE ENGINEERING,American Science and Engineering Inc.,1
AMERICAN SHARED HSPTL SERV,American Shared Hospital Services,1
AMERICAN SOFTWARE  -CL A,American Software Inc,1
TRANE INC,Trane Inc,1
AMERICAN TECHNICAL CERAMICS,American Technical Ceramics Corp.,1
AT&T CORP,AT&T Corp,1
AMERICAN VANGUARD CORP,American Vanguard Corp,1
AMERICAN WATER WORKS INC,American Water Works Company Inc,1
AMERON INTERNATIONAL CORP,Ameron International Corp.,1
AMES DEPT STORES INC,Ames Dept Stores Inc,1
AMETEK INC,AMETEK Inc,1
AMGEN INC,Amgen Inc,1
AMISTAR CORP,Amistar Corp,1
AMPAL-AMERICAN ISRAEL CORP,Ampal-American Israel Corp,1
AMPCO-PITTSBURGH CORP,Ampco-Pittsburgh Corp,1
AMREP CORP,AMREP Corp.,1
AMSOUTH BANCORPORATION,AmSouth Bancorporation,1
ANACOMP INC,Anacomp Inc,1
ANALOG DEVICES,Analog Devices Inc.,1
ANALOGIC CORP,Analogic Corp,1
ANALYSTS INTERNATIONAL CORP,Analysts International Corp,1
ANAREN INC,Anaren Inc,1
MOSCOW CABLECOM CORP,Moscow CableCom Corp,1
CROWN ANDERSEN INC,Crown Andersen Inc,1
ANDREA ELECTRONICS CORP,Andrea Electronics Corp,1
ANDREW CORP,Andrew Corp,1
ANGELICA CORP,Angelica Corp,1
IQUNIVERSE INC,Iquniverse Inc,1
ANDERSONS INC,Andersons Inc (The),1
NABORS INDUSTRIES LTD,Nabors Industries Ltd,1
ANHEUSER-BUSCH COS INC,Anheuser-Busch Companies Inc,1
BIW LTD,BIW Ltd,1
MAXUM ENERGY LOGISTICS -REDH,Maxum Energy Logistics Partners LP,1
K2 INC,K2 Inc.,1
APACHE CORP,Apache Corp,1
APOLLO SOLAR ENERGY INC,Apollo Solar Energy Inc,1
APCO OIL AND GAS INTL INC,Apco Oil and Gas International Inc,1
APOGEE ENTERPRISES INC,Apogee Enterprises Inc,1
APPALACHIAN POWER,Appalachian Power,1
APPLE INC,Apple Inc,1
APPLIED MATERIALS INC,Applied Materials Inc.,1
SINO SHIPPING HOLDINGS INC,Sino Shipping Holdings Inc,1
ACTUANT CORP  -CL A,Actuant Corp,1
TRECORA RESOURCES,Trecora Resources,1
ADVANCED OXYGEN TECHNOLOGY,Advanced Oxygen Technology,1
ARCHER-DANIELS-MIDLAND CO,Archer-Daniels-Midland Co,1
