query_string,candidate_string,match
International Biometric Group,International Cutlery Ltd,0
North American Coal Corp,North American Oil & Gas Corp,0
International District Energy Assn,International Precious Metals,0
Integrated Business Solutions,Integrated Systems Inc,0
IntercontinentalExchange Inc,Intercontinental Exchange Inc,1
Centerpoint Properties,CenterPoint Energy Inc.,0
American Chamber of Commerce in China,American Shared Hospital Services,0
Intercontinental Distributing,Intercontinental Telecommunications Corp,0
International Energy & Resources,International Petroleum Corporation,0
CNH Industrial,CNH Industrial N.V.,1
International Register of Shipping,International Dispensing Corp,0
American Business Press,American Business Products,0
International Golden Group,International Power PLC,0
Development Alternatives,Development Capital Group Inc,0
Citizens for Protection Arbuckle Simpson Aquifer,Citizens First Corp,0
Enterprise Mission,Enterprise Systems Inc,0
National Council of Young Israel,National Mentor Holdings Inc,0
Innovative Energy Inc,Innovative Industrial Properties Inc,0
Servicemaster Co,ServiceMaster Co LLC,1
National Law Enforcement Council,National Health Investors Inc.,0
International RadioSurgery Assn,International Imaging Materials Inc,0
Information Technology Management,Information Holdings Inc.,0
First Community Data Processing,First Community Bank Corp of America,0
United Water Services,United Water Resources,
American Court & Commercial Newspapers,American Biomed Inc,0
American Meat Institute,American Uranium Mining Inc,0
North American Rescue Products,North American Recycling Systems,0
North American Industrial Hemp Council,North American Nickel Inc,0
International Container Terminal Services Inc,International Specialty Holdings Inc.,0
American Economic Elite,American Resource Corp Inc,0
CenterPoint Properties,CenterPoint Energy Inc.,0
American Century Services,American Resource Corp Inc,0
Constellation Energy,Constellation Copper Corp,0
North State Building Industry Assn,Northstar Neuroscience Inc,0
Sierra Pacific Industries,Sierra Pacific Resources,0
Consolidated Oil Services,Consolidated Nrd Resources,0
American Software Cos PAC,American Software Inc,0
American Elementary Schools PAC,American Public Education Inc,0
Rosebud Mining,Momentive Performance Materials Holdings LLC,0
American Business Is Local Enterprise,American Skiing Co,0
American Business Media,American Municipal Term Trust Inc.,0
International Risk Group,International Unp Holdings Ltd,0
American Boat Dealerships PAC,American Family Insurance Group,0
Industrial Dielectrics,Industrial Enterprises of America Inc,0
American Progress Action Fund,American Group Inc,0
American Institute for History Education,American Commerce Solution Inc,0
CenturyTel Inc,Centurion Minerals Ltd,0
Decision Lens,Decisionlink Inc.,0
Alliance for Prudent Use of Antibiotics,AllianceBernstein National Municipal Income Fund Inc,0
Creative Office Environments LLC,Creative Technologies Corp,0
Environmental Design & Construction LLC,Environmental BioScience Inc,0
International Crisis Group,International Superconductor,0
Central Savannah River Wounded Warrior,Central Asia Goldfields Corp,0
New Jersey City University,New Jersey Resources Corp,0
National Tank Truck Carriers Inc,National Storage Affiliates Trust,0
NYTOR,Amoco Co,0
California Anti-SLAPP Project,California Financial Holding,0
Eastern Long Island Hospital,Eastern Co,0
American Business for Legal Immigration,American Consolidated Labs,0
California Pacific Airlines,California Grapes International Inc,0
American School Food Service Assn,American Business Products,0
International Pharm Aerosol Consortium,International Road Dynamics Inc,0
American Media Services,American Medical Response,0
Standard Process,Standard Products Co,0
American Universities PAC,American Select Portfolio Inc.,0
Cytometrics,Cytokinetics Inc,0
West Essex Management Corp,West Essex Bancorp,0
National Center for Fathering,National Re Corp,0
American Auto Logistics,American Ammunition Inc CA,0
"Greene County, AL",Greene County Bancorp Inc,0
American Society of Addiction Medicine,American Municipal Income Portfolio Inc.,0
ServiceMaster Co,ServiceMaster Co LLC,1
International Oil Trading Co,International Biofuel & Biochemical,0
International Launch Services,International Knife & Saw Inc.,0
American Medical Services,American Medical Response,0
International Fdtn of Inspection Agcys,International Steel Group Inc.,0
International Hydrolyzed Protein Council,International Petroleum Corp,0
National Truck Equipment Assn,National Income Realty Trust,0
American Iris,American International Ventures Inc,0
American Capital Holdings,American Capital Ltd,0
California Motorized Recreation Council,California Resources Corp,0
American Sheriff Offices PAC,American Film Technologies,0
Integrated Composites,Integrated Micro Products,0
American Suzuki Motor,American Municipal Term Trust Inc.,0
Mission Lenders Working Group,Mission NewEnergy Ltd,0
American Wine Heritage Alliance,American Graphite Technologies Inc,0
National Marine Life Center,National Coal Corp,0
Institute of Internal Auditors,Instructure Inc,0
Commonwealth Brands,Commonwealth Gas Co,0
National Jewish Hospital,National CineMedia LLC,0
First Choice Armor,First Choice Bancorp,0
American Re-Insurance Co,American Rice Inc,0
American Ref-Fuel Co,American Life Holding Co,0
Northern Rockies Regional Center,Northern Technologies International Corp,0
National Down Syndrome Society,National Convenience Stores,0
American Pioneer Title Insurance,American Residential Services Inc,0
