name,client,score
Environmental Technologies Corp,Environmental Action Group,0.9927125172034957
Great Lakes Chemical Corp.,Great Lakes Corp Resources,0.9924620219219663
Lockheed Martin Corp,Lockheed Martin NESS,0.9829503734435633
Cambridge Technology Partner,Cambridge Technologies,0.9799143985878073
Texas Petrochemical Holdings Inc.,Texas Petrochemicals Inc,0.9793368498125496
Greene County Bancorp Inc,Greene County Health Care,0.9792664412297689
Neiman Marcus Inc,Neiman Marcus Group,0.9777354838820914
Mitsubishi Electric Corp,Mitsubishi Electric Automation,0.9776014709796313
Electronic Arts Inc.,Electronic Traders Assn,0.9775869757910015
Toyota Motor Credit Corp,Toyota Motor Sales USA,0.976617468932883
Pennsylvania Power Co,Pennsylvania House,0.9755784767745495
Bollinger Industries Inc,Bollinger Shipyards,0.9755563242157708
Southwestern Bell Telephone,Southwestern Bell,0.9752972037867216
California Independent Bancorp,California Independent System Operator,0.9752924803446799
Consolidated Graphics Inc.,Consolidated N St Charles Cnty Levee,0.9750581058108966
Foster Wheeler AG,Foster Wheeler,0.9750142911585643
First American Health Concepts,First American Bulk Carriers Corp,0.9748058918457593
American Medical Technologies Inc,American Medical Technologists,0.9745242310632086
Broadwing Corp,Broadwing Communications,0.9743672671779282
Venture Catalyst Inc/UT,Venture Catalyst,0.9742482508000004
Advanced Neuromodulation Systems Inc,Advanced Electronics Co,0.9736650114278391
First National Bancshares Inc,First National Bank of Omaha,0.9731795445019604
Pacific Internet Ltd,Pacific Northwest Waterways Assn,0.973060361966721
Hawaiian Natural Water Inc,Hawaiian Commercial & Sugar,0.9727625874806012
Alabama Gas Corp,Alabama-Coushatta Tribe of Texas,0.9720166661527002
California First National Bancorp,California Marine & Navigation Conf,0.9718893145957515
Tennessee Valley Authority,Tennessee Valley Industrial Cmte,0.9713694244830579
OceanFirst Financial Corp.,Ocean Futures Society,0.9713683030729326
New England Electric System,New England Mobile X-Ray,0.9709205515492259
Household Finance Corp,Household Financial Group,0.9709195973277529
Global Seafood Technology Inc,Global Waste Recycling Inc,0.970114536110089
Montgomery Ward Holding,Montgomery Ward,0.9700929426821434
California Pizza Kitchen Inc,California Cling Peach Growers Advsry Bd,0.970070019088305
Global Health Sciences Inc,Global Health Council,0.9687320589966262
Pennsylvania Power Co,Pennsylvania Higher Educ Assistance Agcy,0.9687200496414043
American International Petroleum Corp,American International Auto Dealers Assn,0.968331927996574
American Financial Group Inc,American Financial Services Assn,0.9683076544009164
Environmental Power Corp,Environmental Land Technology Ltd,0.9682333253634389
Advantage Payroll Services,Advantage Health Plan,0.9679710385761934
Pioneer Hi-Bred Internationl,Pioneer Hi-Bred Seed International,0.9678691510264081
Cambridge Holdings Ltd,Cambridge Health Alliance,0.9676490482319342
Independent Fact Ltd,Independent Electrical Contractors,0.9670842542752097
First Team Sports,First American Corp,0.9664966929658095
Minerals Technologies Inc.,Mineral Technologies,0.9659120536669032
Velvet Exploration Ltd,Genesee Brewing,0.9659059610996497
Florida Progress Corp,Florida Crystals,0.9658910457472699
Twenty-First Century Fox Inc,Twenty-First Century Group,0.9658790063698797
Lockheed Martin Corp,Lockheed Martin Energy Research,0.9656683401489657
California Pizza Kitchen Inc,California Kiwifruit Commission,0.9656296657091401
San Diego Gas & Electric Co,San Diego State University,0.9652031243533287
Western Asset Intermediate Muni Fund Inc,Western Research Institute,0.9651831556952488
Electronic System Tech Inc,Electronic Retailing Assn,0.9650764035725229
California Beach Restaurant,California Asparagus Commission,0.9646220699849248
Environmental Technologies Corp,Environmental Technology Unlimited,0.9641470233772277
California Software Corp,California State University,0.9640020793428726
Tate & Lyle PLC,Tate & Lyle North American Sugars,0.963691116863858
European-American Bank,European-American Business Council,0.9635451303272039
Societe Generale Group,Societe Generale,0.9632812248344634
