name,ult_org,score
Roche Holding AG,Roche Holdings,0.9723571212958063
First Team Sports,First American Corp,0.9664967355670481
Cable & Wireless Communication,Cable & Wireless Global,0.9643702542330151
California Software Corp,California State University,0.9640020302095472
Lehman Brothers Holdings Inc,Lehman Brothers,0.9633771752656854
Credit Suisse (USA) Inc,Credit Suisse First Boston,0.960529195580331
PNC Financial Services Group Inc.,PNC Financial Services,0.9564887759203827
Cleveland Indians Baseball,Cleveland Clinic,0.9563512164326841
European-American Bank,European Aeronautic Defence & Space,0.9531671900724861
Spectrum Organic Products Inc,Spectrum Healthcare Services,0.9521106513945345
North American Technologies Group Inc,North America's Supercorridor Coalition,0.9502447842902857
Contrans Corp,Contran Corp,0.9502339728056696
Electronic Data Systems Corp,Electronic Warfare Assoc,0.9498556725615932
Rio Tinto Ltd,Rio Tinto Group,0.9474456091387269
Montgomery Financial Corp,"Montgomery County, MD",0.9471020638407672
Federal Home Loan Mortgage Corp,Federal Home Loan Bank,0.9447133637809121
Technology 80 Inc,Technology Systems Inc,0.9444905740437816
American Health Properties,American Health Care Assn,0.9441276472284239
Alexander's Inc.,Alexander & Baldwin,0.9423143689068874
AmSouth Bancorporation,AmSouth Bancorp,0.9414107416686363
Evergreen Solar Inc,Evergreen Holdings,0.9409051520857864
Childrens Comprehensive Services,Children's Museum of Philadelphia,0.9389121199213677
Weight Watchers International Inc.,Weight Watchers,0.93787510812708
Unilever NV,Unilever US,0.9365312502498461
"Nestle SA, Cham Und Vevey",Nestle SA,0.9345469377990282
Northeast Indiana Bancorp Inc,Northeast Ohio University,0.9345299634697122
Global Power Equipment Group Inc,Globallift Technologies,0.9339299574847637
Westfield Minerals Ltd,Westfield Group,0.9338682280681541
Louis Dreyfus Natural Gas Corp,Louis Dreyfus SAS,0.9337965196539997
Orange PLC,"Orange County, CA",0.9336963325677168
Eastern Light Capital Inc,Eastern Pulp & Paper,0.9326066580002638
California Pizza Kitchen Inc,California Science Center,0.9323090909673991
Triant Holdings Inc,Tanana Chiefs Conference,0.9270935625333391
Mitsubishi Electric Corp,Mitsubishi Corp,0.9260188932897384
Madison Oil Co,"Madison County, KY",0.9247208161031268
Edison Mission Energy,Edison Electric Institute,0.924026964489396
Independent Bank Corp.,Independent Community Bankers of America,0.9237262690930587
Illinois Power Co,Illinois Institute of Technology,0.9227736763861859
Florida Banks Inc,Florida State College/Jacksonville,0.9207217944152369
Earthlink Network Inc,Earthlink Inc,0.9189176537076773
Manitowoc Company Inc.,Manitowoc Co,0.9180983490469878
Highlands Insurance Group Inc.,"Highlands County, FL",0.9169356277228065
Verizon Inc/VA,Veridian Corp,0.9163055994542424
Zilog Inc,Wilkes Corp,0.9140118508696116
Equitable Bank/MD,Equitable Companies,0.9139613689042749
Carpenter Technology Corp,Carpenters' Benefit Plans,0.9126885165675784
Allied Domecq PLC (New),Allied Domecq,0.9126729824405406
Mitsubishi Electric Corp,Mitsubishi Motors,0.9124298772632001
Geneva Financial Corp,"Genesee County, MI",0.9106112781520876
Primetech Electronics Inc,PrimeTEC International,0.9091800343751384
Pacific Rim Mining Corp,Pacific Mutual Holding,0.9089466470354106
Virginia Electric & Power Co,Virginia Commonwealth University,0.9078035052412495
Business Bancorp,Business Roundtable,0.9077159969825387
Jefferson Bancshares Inc,"Jefferson Parish, LA",0.9073674350740829
Susquehanna Media Co,Susquehanna Pfaltzgraff,0.9067882419756914
Alcatel ADS Optronics,Alcatel SA,0.9066947559062836
Dominion Resources Black Warrior Trust,Dominion Resources,0.9063066287393156
Parker Drilling Co,Parker Jewish Institute,0.9051382999383004
Florida Gaming Corp,Florida Sugar Cane League,0.904889487944322
Allegheny Technologies Inc,"Allegheny County, PA",0.9029717587721916
Columbia Financial of Kentucky Inc,Columbia University,0.9023621683195019
Fairfax Financial Holdings Ltd,Fairfax County Virginia,0.9021929110448859
Texas Micro Inc,Texas A&M University,0.9016856557488225
Cemex SAB de CV,CEMEX SA de CV,0.9006236047590376
PLD Telekom Inc,KidsPeace,0.9001903535242769
Enterprise Informatics Inc,Enterprise Business Law Group,0.9764347098331698
California Software Corp,California State University,0.9640020130922603
Lehman Brothers Holdings Inc,Lehman Brothers,0.9633773521703902
Cable & Wireless Communications PLC,Cable & Wireless Global,0.9609350664882605
Electronic Game Card Inc,Electronic Warfare Assoc,0.959740056217025
Williams Cos Inc.,Williams Companies,0.9586704523484334
PNC Financial Services Group Inc.,PNC Financial Services,0.9564886509088059
Northwest Pipe Co,Northwest Public Power Assn,0.9551349198214271
CTC Communications Group Inc,CTC Communications,0.9504055445275209
North American Technologies Group Inc,North America's Supercorridor Coalition,0.9502451977023119
McGraw-Hill Ryerson Ltd,McGraw-Hill Companies,0.9493023740572033
Millennium Cell Inc,Millennium Credit Markets,0.9475559339647082
Northwest Bancshares Inc,Northwest Alaska Native Assn,0.9467727861457567
CNH Global NV,CNH Global,0.9451305961635195
Federal Home Loan Mortgage Corp,Federal Home Loan Bank,0.944713168730628
Jefferson-Pilot Corp,"Jefferson County, AL",0.9443658706636991
Clearly Canadian Beverage Corp,Clear Channel Communications,0.94347808714696
Alexander's Inc.,Alexander & Baldwin,0.9423143389751508
AmSouth Bancorporation,AmSouth Bancorp,0.9414106479181973
Evergreen Solar Inc,Evergreen Holdings,0.9409051651246937
Citizens Inc.,Citizens Communications,0.9394809943481045
Childrens Comprehensive Services,Children's Museum of Philadelphia,0.9389121177422617
Unilever NV,Unilever US,0.9365313721234854
Mobile Climate Control Industries Inc,"Mobile County, AL",0.936434807380855
Technology Select Sector SPDR Fund,Technology Systems Inc,0.9360340715464895
"Nestle SA, Cham Und Vevey",Nestle SA,0.9345470182478948
Northeast Indiana Bancorp Inc,Northeast Ohio University,0.93452996720502
Global Power Equipment Group Inc,Globallift Technologies,0.9339300997381851
Louis Dreyfus Natural Gas Corp,Louis Dreyfus SAS,0.9337964839059143
Technicoil Corp,Technikon LLC,0.9331805164057556
Eastern Light Capital Inc,Eastern Pulp & Paper,0.9326065234839226
California Pizza Kitchen Inc,California Science Center,0.9323090686026011
Heritage Explorations Ltd,Heritage Environmental Services,0.9310277420846232
Rockwell Medical Inc,Rockwell International,0.9296547899029306
Coast Dental Services Inc,Coast Development Group,0.9278198040716269
Triant Holdings Inc,Tanana Chiefs Conference,0.9270935564495508
Spectrum Group International Inc,Spectrum Group,0.9266185326677882
Madison Oil Co,"Madison County, KY",0.9247204369471462
Edison Mission Energy,Edison Electric Institute,0.9240273558306218
Independent Bank Corp.,Independent Community Bankers of America,0.9237263679716535
Spectrum Control Inc,Spectrum Consulting,0.92307251573374
European American Resources,European Aeronautic Defence & Space,0.9228769145876972
Illinois Power Co,Illinois Institute of Technology,0.9227735885683687
Atlas Air Worldwide Holdings Inc.,Atlas Air Worldwide,0.9216028202299515
Harvard Industries Inc,Harvard University,0.9204962897608128
Montana Mills Bread Co Inc.,Montana State University,0.920338725999221
Manitowoc Company Inc.,Manitowoc Co,0.918098311583139
Educational Development Corp,Education Investment Co,0.9173501072509347
Universal American Corp,Universal Bearing,0.9172861227378982
Cleveland-Cliffs Inc,Cleveland Clinic,0.9171238490033411
Household Finance Corp,Household International,0.9165648594996062
Zilog Inc,Wilkes Corp,0.9140118559240543
Equitable Bank/MD,Equitable Companies,0.9139613828148131
Allied Domecq PLC (New),Allied Domecq,0.912672930705479
Mitsubishi Electric Corp,Mitsubishi Motors,0.9124297701858678
Geneva Financial Corp,"Genesee County, MI",0.9106113533858708
Pacific Rim Mining Corp,Pacific Mutual Holding,0.9089466545098207
Business Bancorp,Business Roundtable,0.9077159603557992
Sierra Systems Group Inc,Sierra Grain Terminal,0.9075406284368955
Jefferson Bancshares Inc,"Jefferson Parish, LA",0.9073674043856418
Alcatel ADS Optronics,Alcatel SA,0.9066945799395542
Southeastern Bank Financial Corp,Southeastern Colorado Water Conservancy,0.9053633935033296
Parker Drilling Co,Parker Jewish Institute,0.9051382683812734
United Defense Industries Inc.,United Defense,0.9047435422180153
Advanced Photonix Inc.,Advanced Concepts & Technologies Intl,0.904233476384578
Allegheny Technologies Inc,"Allegheny County, PA",0.9029718061425696
Columbia Financial of Kentucky Inc,Columbia University,0.9023622437543413
Express Scripts Holding Co,Express Trak,0.902292739818327
Fairfax Financial Holdings Ltd,Fairfax County Virginia,0.9021929776467346
Imperial Bancorp,Imperial Bioresources,0.9015548902213485
Zions Bancorporation,Zions Bancorp,0.9011208435184302
Cemex SAB de CV,CEMEX SA de CV,0.9006235799297166
American Physicians Capital Inc,American Physical Therapy Assn,0.9001894812124277
Roche Holding AG,Roche Holdings,0.9723571233990095
California Software Corp,California State University,0.9640020099647768
Lehman Brothers Holdings Inc,Lehman Brothers,0.9633775644139139
Intelligent Controls Inc,Intelligent Optical Systems,0.9633281587639029
Societe Generale Group,Societe Generale,0.9632810195675113
Cable & Wireless Communications PLC,Cable & Wireless Global,0.9609353047785666
Electronic Game Card Inc,Electronic Warfare Assoc,0.9597400355072202
