query_string,candidate_string,old_match,match
Mid-America Christian University,Mid-America Christian Univeristy,0,1
Cornerstone Government Affairs obo NIKE Inc,Cornerstone Government Affairs obo Citigroup Inc,0,
Georgia Electric Membership Corporation,Georgia Electric Membership Corp,0,1
MERIDIAN MEDICAL TECHNOLOGIES INC,MERIDIAN MEDICAL TECHNOLOGIES IN,0,1
FOREST LANDOWNERS TAX COUNCIL,FOREST LANDOWNERS ASSOCIATION,0,
International Food Additive Council,International Food Additives Council,0,1
Northern Indiana Commuter Transit Dist,Northern Indiana Commuter Transp Dist,0,1
ENVIRONMENTAL ACTION GROUP,ENVIRONMENTAL TECHNOLOGIES CORP,0,
Forest Landowners Association,Forest Landowners Tax Council,0,
Pacific Coast Visions,"Pacific Communities, Inc.",0,
"Cornerstone Government Affairs obo NIKE, Inc.",Cornerstone Government Affairs obo Citigroup Inc,0,
Goodwill Industries of Southern Arizona,Goodwill Industries/Central Indiana,0,
National Rural Electric Cooperatives Association,National Rural Electric Cooperative Association,0,1
BLUE CROSS BLUE SHIELD OF MINNESOTA,BLUE CROSS BLUE SHIELD OF FLORIDA,0,
Environmental Consulting.,Environmental Consultancy,0,
SACRAMENTO COUNTY AIRPORT SYSTEM,"Sacramento County, CA",0,
CAMARA NACIONAL DE LA INDUSTRIA PESQUERA,CAMARA NACL DE LA INDUSTRIA PESQUERA Y AQUACULTURA,0,1
GENERAL CHEMICAL SODA ASH,GENERAL CHEMICAL GROUP INC,0,1
CALIFORNIA FORESTRY ASSN,CALIFORNIA FORESTRY ASSOC,0,1
California Forestry Assoc,California Forestry Assn,0,1
Louis Dreyfus Corporation,Louis Dreyfus Commodities,0,1
AMERICAN SOCIETY  FOR INTERVENTIONAL PAIL PHYSICIANS,AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,0,
Alliance for Safe Online Pharmacies,Alliance for Safe Injection Practices,0,
Cornerstone Government Affairs obo Smartronix,Cornerstone Government Affairs obo Stupp Brothers Inc,0,
Engineering Systems Inc.,Engineering Seismology Group Canada Inc.,0,
"Office of the Governor, State of Colorado",Office of the Governor Coastal Activity,0,
FEDERAL HOME LOAN BANK OF CINCINNATI,FEDERAL HOME LOAN BANK OF CHICAGO,0,
Veolia Energy Trenton L.P,Veolia Energy North America,0,1
"New England Village, Inc.",New England Financial,0,
Children's Hospital and Research Center,Children's Hospital Boston,0,
ALLIED PRODUCTS CORP,ALLIED PRODUCTS CORP DE,0,1
Mountain View Power Ptnrs LLC,Mountain View Power Prtnrs LLC,0,1
Marathon Petroleum Timor Gap East Ltd,Marathon Petroleum Timor Gap West Ltd,0,1
CHILDRENS HOSPITAL OF OAKLAND,CHILDRENS HOSPITAL & HEALTH CENTER SAN DIEGO,0,
Goodwill Industries of Acadiana,Goodwill Industries/Sacramento Valley,0,
BLUE CROSS BLUE SHIELD OF ARIZONA,BLUE CROSS BLUE SHIELD OF SOUTH CAROLINA,0,
NATIONAL INDUSTRIAL TRANSPORTATION LEAGUE,NATIONAL INDUSTRIAL SAND ASSN,0,
ALLIANCE FOR AMERICAN INNOVATION,ALLIANCE FOR AMERICAN MANUFACTURING,0,
Eastman Chemical Co-TN Ops,Eastman Chemical Company Texas Operations,0,1
First American Bulk Carrier Corporation,First American Health Concepts,0,
AMERICAN SOCIETY OF INTERNAL MEDICINE,AMERICAN SOCIETY OF INTERIOR DESIGNERS,0,
JOHN HANCOCK LIFE INSURANCE CO,JOHN HANCOCK LIFE INSUANCE CO,0,1
Small Business Exporters Association,Small Business Benefits Preservation Clt,0,
FEDERAL HOME LOAN BANK OF ATLANTA,FEDERAL HOME LOAN BANK OF BOSTON,0,
Boys & Girls Club of Santa Clarita Valley,Boys & Girls Town of Missouri,0,
L A TAXI COOPERATIVE INC D B A L A YELLOW CAB CO,L A TAXI COOPERATIVE INC DBA L A YELLOW CAB CO,0,1
Renewable Energy Alternatives LLC,"RENEWABLE ENERGY GROUP, INC.",0,
AMERICAN CANCER SOCIETY -- CANCER ACTION NETWORK,American Cancer Society/Great West Div,0,1
Western Massachusetts Elec Co,Western Massachusetts Electric Co,0,1
Pennsylvania Municipal Authorities Association,Pennsylvania Municipal Authorities Assn,0,1
BLUE CROSS AND BLUE SHIELD OF MINNESOTA,BLUE CROSS AND BLUE SHIELD OF FLORIDA INC,0,
PHILADELPHIA HOLOCAUST REMEMBRANCE FOUNDATION,PHILADELPHIA PARKING AUTHORITY,0,
Alliance for Employee Benefit Cooperatives,Alliance for Abundant Food & Energy,0,
ELECTRICAL DISTRICT NO. 8,ELECTRICAL DISTRICT NO. 3,0,
SILICON ECONOMICS,Silicon Valley Manufacturing Group,0,
"New England Tissue Issue, Inc.",New England Business Service Inc.,0,
"EDUCATIONAL SERVICES OF AMERICA, INC.",Educational Testing Service,0,
Enel Green Power NA Inc,Enel Green Power S p A,0,1
Alliance for Abundant Food and Energy,Alliance for Employee Benefit Co-Ops,0,
Pharmaceutical Care Mgmt Assn,Pharmaceutical Care Management Assn,0,1
TRI-COUNTY METROPOLITAN TRANSPORTATION DISTRICT,TRI-COUNTY METROPOLITAN TRANSIT DISTRICT,0,1
General Electric Aviation,General Electric Capital Svc,0,1
AMERICAN CANCER SOCIETY-- CANCER ACTION NETWORK,American Cancer Society/Great West Div,0,1
Goodwill Industries Int'l,Goodwill Industries/Manasota,0,1
Riverside Health System,Riverside Health Systems,0,1
American Association of Responsible Auto Lenders,American Assn of Tissue Banks,0,
Advanced Technology Corporation,Advanced Technology Institute,0,
JEFFERSON COUNTY DRAINAGE DISTRICT NO. 7,JEFFERSON COUNTY WATERWAY/NAVIG DISTRICT,0,
MINNESOTA DEPT OF NATURAL RESOURCES,MINNESOTA SUPER COMPUTER CENTER/NETWORK COMPUTING SERVICES INC,0,
AMERICAN COLLEGE OF OSTEOPATHIC SURGEONS,American College of Radiology,0,
Alliance for The Great Lakes,Alliance for Reform & Democracy in Asia,0,
"Environmental Incentives, LLC",Environmental Industry Assns,0,
ENVIRONMENTAL WORKING GROUP,Environmental Disposal Systems,0,
CALIFORNIA INDEPENDENT PETROLEUM ASSN,CALIFORNIA INDEPENDENT BANCORP,0,
Orlando Power Gen I Inc,Orlando Power Generation I LLC,0,1
Valero Refining Co New Jersey,Valero Refining Co - New Jersey,0,1
