string0,string1,impact,score,source,notes
Intl Planned Parenthood Federation,International Planned Parenthood Federation,3100528,1,lobbyingClients_training.csv,
Continental Airlines,UNITED AIRLINES,289940,0,lobbyingClients_training.csv,merged in 2010-2012
March of Dimes Foundation,March of Dimes Birth Defects Foundation,269637,1,lobbyingClients_training.csv,
MARCH OF DIMES,March of Dimes Birth Defects Foundation,234696,1,lobbyingClients_training.csv,
JUVENILE DIABETES FOUNDATION,Juvenile Diabetes Foundation Intl,227271,1,lobbyingClients_training.csv,
Bank of America,Chamber of Commerce of the United States,144746,0,lobbyingClients_training.csv,
University of Florida,UNIVERSITY OF FLORIDA FOUNDATION,120558,1,lobbyingClients_training.csv,
PETA,People for Ethical Treatment of Animals,116242,1,lobbyingClients_training.csv,
Northwest Airlines,DELTA AIR LINES,93026,0,lobbyingClients_training.csv,merged in 2008-2013
NAACP,NATIONAL ASSOCIATION FOR THE ADVANCEMENT OF COLORED PEOPLE,64321,1,lobbyingClients_training.csv,
American Cancer Society,"AMERICAN CANCER SOCIETY, CALIFORNIA DIVISION",43333,1,lobbyingClients_training.csv,
National Electrical Manufacturers Assn,NATIONAL ELECTRICAL MANUFACTURERS ASSN-FORMERLY MEDICAL INFO TECHNOLOGY ALLIANCE,41472,1,lobbyingClients_training.csv,
Local Initiatives Support Corp,Local Initiative Support Corporation,39720,1,lobbyingClients_training.csv,
Natural Resources Defense Council,NATL RESOURCES DEFENSE COUNCIL,35206,1,lobbyingClients_training.csv,
MBNA CORP,MBNA America Bank,28512,1,lobbyingClients_training.csv,
Bank of America,MBNA AMERICA BANK,28512,0,lobbyingClients_training.csv,"acquired by Bank of America in 2016, then sold to Lloyds Banking Group in 2016"
ATA,American Trucking Assns,26816,1,lobbyingClients_training.csv,
NATIONAL PAINT & COATINGS ASSN,American Coatings Assn,22784,1,lobbyingClients_training.csv,
American Coatings Association,American Coatings Assn,22784,1,lobbyingClients_training.csv,
Texas A&M University,Texas A & M University,18928,1,lobbyingClients_training.csv,
American Chemistry Council,AMERICAN CHEMICAL COUNCIL,14651,1,lobbyingClients_training.csv,
NATL ASSN OF HOME BUILDERS,National Assn of Home Builders,10920,1,lobbyingClients_training.csv,
EMC,FMC Corp,10896,0,lobbyingClients_training.csv,
University of Missouri,UNIVERSITY OF MISSOURI - KANSAS CITY,10575,1,lobbyingClients_training.csv,
University of Kentucky,UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION,8370,1,lobbyingClients_training.csv,
UNITED WAY OF SOUTHEASTERN MICHIGAN,United Way for Southeastern Michigan    ,7744,1,lobbyingClients_training.csv,
LEARNING ALLY,Recording for the Blind & Dyslexic,7272,1,lobbyingClients_training.csv,
Saint Louis University,St Louis University,7236,1,lobbyingClients_training.csv,
Penn State University,PENNSYLVANIA STATE SYSTEM OF HIGHER EDUCATION,7077,1,lobbyingClients_training.csv,
University of Memphis,University of Memphis Foundation,6675,1,lobbyingClients_training.csv,
