query_string,candidate_string,match
Western Growers,Western Refining,0
Louisiana Mid-Continent Oil and Gas Association,Louisiana-Pacific,0
Center for Law and Social Policy,CenterPoint Energy,0
New England Fishery Management Council,New England Mutual Life Ins.,0
Transport Workers Union of America,Trans World Airlines,0
New England Fuel Institute,New England Electric Systems,0
Kansas City Board of Public Utilities,Kansas City Southern,0
Federal Aviation Administration,Federal Realty Investment Trust,0
"Alliant Energy Corporate Services, Inc.",Alliant Energy Corp,1
Louisiana Environmental Action Network,Louisiana Land & Exploration,0
Packaging Corporation of America,Packaging Corp. of America,1
Sierra Pacific Industries,Sierra Pacific Resources,0
Electronic Transactions Association,Electronic Data Systems,0
Washington Toxics Coalition,Washington Group Intl.,0
Western Resource Advocates,Western Gas Resources,0
Pacific Fishery Management Council,Pacific Telesis Group,0
Boston College,Boston Scientific,0
AFS,AES,0
Mallinckrodt Pharmaceuticals,Mallinckrodt plc,1
"Commerce Bancshares, Inc.",Commerce Bancorp,1
Alliance to Protect Nantucket Sound,Alliant Techsystems,0
Alaska Trollers Association,Alaska Air Group,0
Reinsurance Association of America,Reinsurance Group of America,0
Massachusetts Department of Public Health,Massachusetts Mutual Life Insurance,0
Western Riverside County Regional Conservation Authority,Western & Southern Financial Group,0
Alaska Power Association,Alaska Air Group,0
Electronic Health Record Association,Electronic Data Systems,0
Center for Foodborne Illness Research & Prevention,Centerior Energy,0
Central Missouri State University,Central & South West,0
Western Farmers Electric Cooperative,Western Gas Resources,0
Centers for Disease Control and Prevention,Centerior Energy,0
Illinois Coal Association,Illinois Tool Works,0
NEA,NVR,0
Massachusetts Highway Department,Massachusetts Mutual Life Insurance,0
Massachusetts Department of Transportation,Massachusetts Mutual Life Insurance,0
Alliance for Orthopedic Solutions,Alliance Data Systems,0
"Columbia Helicopters, Inc.",Columbia Pipeline Group Inc.,0
"Safety-Kleen Systems, Inc.",Safety-Kleen Corp.,1
Union Pacific Railroad,Union Pacific Resources,0
New York State,New York Times,0
General Aviation,General Re,0
Center for Public Environmental Oversight,Centerior Energy,0
Center for Neighborhood Technology,Centerior Energy,0
Louisiana Bankers Association,Louisiana-Pacific,0
Texas Credit Union League,Texas Utilities,0
UNION IBT,Union Camp,0
Western Governors' Association,Western Gas Resources,0
Sierra Clu,Sierra Pacific Resources,0
Laboratory Corporation of America Holdings,Laboratory Corp. of America,1
Delta Airlines,Delta Air Lines,1
Western Pacific Fishery Management Council,Western & Southern Financial Group,0
Alaska Railroad Corporation,Alaska Air Group,0
Alliance for Climate Protection,Alliance Data Systems,0
Washington Utilities and Transportation Commission,Washington Group Intl.,0
New York City,New York Times,0
Fisheries and Oceans Canada,Fisher Scientific Intl.,0
United South and Eastern Tribes,UnitedHealth Group,0
People With Disabilities Foundation,People's United Bank,0
"United South and Eastern Tribes, Inc.",UnitedHealth Group,0
Alliance for Home Health Quality and Innovation,Alliance Data Systems,0
Jefferson County,Jefferson-Pilot,0
Center for International Environmental Law,Centerior Energy,0
Alliance for Natural Health,Alliance Data Systems,0
Alaska Trucking Association,Alaska Air Group,0
Frontier Airlines,Frontier Communications,0
Century,CenturyTel,0
PHI,PPL,0
Southern California Regional Rail Authority,Southern Pacific Rail,0
Southern California Alliance of Publicly Owned Treatment Works,Southern Pacific Rail,0
Great Lakes United,Great Lakes Chemical,0
Alaska Inter-Tribal Council,Alaska Air Group,0
Edison Chouest Offshore,Edison International,0
"Chesapeake Bay Foundation, Inc.",Chesapeake Energy,0
General Services Administration,General Signal Corp,0
Transport Workers Union,Transocean Ltd,0
Massachusetts Office of Medicaid,Massachusetts Mutual Life Insurance,0
Illinois CPA Society,Illinois Tool Works,0
"Frontier Airlines, Inc.",Frontier Communications,0
Community Health Care Association of New York State,Community Health Systems,0
Louisiana Mid-Continent Oil & Gas Association,Louisiana Land & Exploration,0
Sierra club,Sierra Pacific Resources,0
Provident Bank,Provident Cos Inc.,0
Central Arizona Water Conservation District,Central & South West,0
Electronic Payments Association,Electronic Data Systems,0
SCE,SPX,0
Center for Disability Rights,Centerior Energy,0
First Community Bank,First Interstate Bancorp,0
New York City Bar,New York Times,0
Global Automakers,Global Partners,0
Alliance for a Just Society,Alliance Data Systems,0
Southwestern Water Conservation District,Southwestern Energy,0
Hospital,Hospira Inc.,0
Walgreen Co.,Walgreens Boots Alliance,0
Central Valley Clean Water Association,Central & South West,0
Southern Company Services,Southern Pacific Rail,0
ExxonMobil Chemical Company,Exxon Mobil,1
Florida Hospital,Florida Progress,0
Louisiana Bucket Brigade,Louisiana-Pacific,0
Pharmacy e,Pharmacia,0
Federal StormWater Association,Federal Realty Investment Trust,0
General,General Cable,0
Honeywell Specialty Materials,Honeywell International,1
Western Kentucky University,Western Digital,0
Center for Diagnostic Imaging,Centerior Energy,0
"Continental Resources, Inc.",Continental,0
Vanguard,Vanguard Health Systems,0
MonsantoStop,Monsanto,0
Massachusetts Office of the Attorney General,Massachusetts Mutual Life Insurance,0
Public Service Company of New Hampshire,Public Service Enterprise Group,0
Louisiana Association of Business and Industry,Louisiana-Pacific,0
Massachusetts Office on Disability,Massachusetts Mutual Life Insurance,0
"Charles Schwab & Co., Inc.",Charles Schwab,1
TransCanada,Transco Energy,0
Advance,AdvancePCS,
Southern Crop Production Association,Southern Pacific Rail,0
Center for Plain Language,Centerior Energy,0
Western Pennsylvania Conservancy,Western Digital,0
Transportation Corridor Agencies,Transocean Ltd,0
Allegheny County Health Department,Allegheny Technologies,0
Western Association of Fish and Wildlife Agencies,Western & Southern Financial Group,0
Georgia Association of Manufacturers,Georgia-Pacific,0
Washington Health Benefit Exchange,Washington Group Intl.,0
Pacific Gas and Electric,Pacific Enterprises,0
Public Service Commission,Public Service Enterprise Group,0
New England Farmers Union,New England Electric Systems,0
Center for Coalfield Justice,Centerior Energy,0
Center for Inquiry,Centerior Energy,0
"Travelers United, Inc.",TravelCenters of America,0
Travelers United,TravelCenters of America,0
New England Aquarium,New England Mutual Life Ins.,0
Alliance for Natural Health-USA,Alliance Data Systems,0
Lockheed Martin Aeronautics,Lockheed Martin,1
Public Service Company of Colorado,Public Service Enterprise Group,0
Texas RioGrande Legal Aid,Texas Instruments,0
Knights of Columbus,Knight-Ridder,0
ALLIANCE OF AUTOMOBILE MANUFACTURERS,Alliant Energy Corp,0
Capital Power Corporation,Capital Cities/ABC,0
Western Fishboat Owners Association,Western Digital,0
Louisiana Audubon Council,Louisiana Land & Exploration,0
"Millennium Pharmaceuticals, Inc.",Millennium Chemicals,0
Morrison & Foerster LLP,Morrison Knudsen,0
"Autoliv ASP, Inc.",Autoliv,1
Huntington National Bank,Huntington Bancshares,1
Air Pacific Limited,Air Products & Chemicals,0
Georgia Aquarium,Georgia-Pacific,0
"Mutual Pharmaceutical Company, Inc.",Mutual of Omaha Insurance,0
First Horizon National Corporation,First Chicago NBD Corp.,0
Florida Association of Rehabilitation Facilities,Florida Progress,0
Transportation Communications Union,Transocean Ltd,0
Electronic Health Record,Electronic Data Systems,0
Pacific Business Group on Health,Pacific Telesis Group,0
Federal Home Loan Banks,Federal Paper Board Co.,0
Kansas City International Airport,Kansas City Southern,0
Services,Service Merchandise,0
Public Service Company of Oklahoma,Public Service Enterprise Group,0
Advanced Biofuels USA,Advanced Micro Devices,0
Advanced Energy,Advanced Micro Devices,0
ExpressJet Inc.,Express Scripts,0
General Dynam,General Instrument,0
SOUTHWESTERN BELL TELEPHONE,Southwestern Energy,0
Center for Digital Democracy,Centerior Energy,0
Louisiana Workforce Commission,Louisiana Land & Exploration,0
Safety Regulation Group,Safety-Kleen Corp.,0
ica,NCR,0
Sierra Club Iowa,Sierra Pacific Resources,0
Georgia Power,Georgia-Pacific,0
Louisiana Public Service Commission,Louisiana Land & Exploration,0
Alliance for Human Research Protection,Alliance Data Systems,0
Cooper University Hospital,Cooper Industries,0
Great Lakes Pilots,Great Lakes Chemical,0
Northeast Utilities System,Northeast Utilities,1
Columbia College Chicago,Columbia Pipeline Group Inc.,0
Energy Future Coalition,Energy Future Holdings,0
"Alaska Trucking Association, Inc.",Alaska Air Group,0
Texas Utilities Electric Company,Texas Utilities,0
American Electronics Association,American Electric Power,0
New York Law School,New York Life Insurance,0
Southern Arizona Home Builders Association,Southern Pacific Rail,0
ExpressJet Airlines,Express Scripts,0
Center for Democracy and Technology,Centerior Energy,0
Washington Suburban Sanitary Commission,Washington Group Intl.,0
Illinois Action for Children,Illinois Tool Works,0
Expressjet Airlines,Express Scripts,0
Western Municipal Water District,Western & Southern Financial Group,0
"ExxonMobil Biomedical Sciences, Inc.",Exxon Mobil,1
Center for Science in Public Participation,Centerior Energy,0
Computer & Communications Industry Ass'n,Computer Sciences,0
Capital Group Companies,Capital Cities/ABC,0
Sierra Club and Earthjustice,Sierra Pacific Resources,0
Transportation Equity Network,Transocean Ltd,0
"Federal Marine Terminals, Inc.",Federal Realty Investment Trust,0
Union Pacific Railroad Company Law Department,Union Pacific Resources,0
Standard Insurance Company,Standard Pacific,0
Great Lakes Aviation,Great Lakes Chemical,0
New England Fishery Mgmt Council,New England Mutual Life Ins.,0
Burlington Trailways,Burlington Stores,0
CPS,CHS,0
Mercy,Merck,0
Sierra Club and,Sierra Pacific Resources,0
use,USG,0
Guardian Life Insurance Company of America,Guardian Life Ins. Cos. of America,1
