query_string,candidate_string,match
North American Energy Services,"USA Marathon Electric Co,Ltd",1.0
Marathon Electric Mfg Corp,Regal Beloit Corporation,1.0
Cogentrix Energy,"CGX Energy, LLC",1.0
Kawailoa Wind LLC,"First Wind Kawailoa Portfolio, LLC",1.0
Pecos Wind II LP,FPL Energy National Wind LLC,1.0
Cisco,"Cisco Systems, Inc.",1.0
GAMET,GAMET Resources Ltd.,1.0
Citi Renewable Investments I LLC,Citigroup Inc.,1.0
Northbrook Carthage LLC,Northbrook Energy,1.0
Enernoc,Enernoc Securities Corporation,1.0
Citicorp-Bankers Leasing Corp,"Citicorp Leasing, Inc.",1.0
Wallingford Energy LLC,PPL Wallingford Energy LLC,1.0
Central Electric Power Cooperative,"Central Power Electric Cooperative, Inc.",0.0
Verizon,Verizon Communications Inc.,1.0
Tractebel,tractebel power inc,1.0
SunE DM LLC,"SunEdison, Inc.",1.0
PDVSA,"PDVSA Trading, S.A.",1.0
Boralex Hydro Operations Inc,Boralex Operations Inc.,1.0
Organic Fuels Holdings,"Organic Fuels, Inc.",0.0
Agrium US Inc,Agrium Inc.,1.0
Lone Star Steel Co,Lone Star Steel Company,1.0
NSTAR,NSTAR Electric Company,1.0
Doyon Utilities LLC,"Doyon, Limited",1.0
Energy Xtreme,"Xtreme Energy, Inc.",0.0
Upper Peninsula Power Company,Upper Peninsula Telephone Co.,0.0
Doyon Utilities - Ft Wainwright,"Doyon, Limited",1.0
CII Carbon LLC,Rain CII Carbon LLC,1.0
WPS Power Developement,"WPS Power Development, LLC",1.0
Novogy,"Novogy, Inc.",1.0
Qteros,"Qteros, Inc.",1.0
EtaGen,"EtaGen, Inc.",1.0
United Water Inc,United Water AOS Inc.,1.0
Rocky Mountain Energy Ctr LLC,Rocky Mountain Energy Corp.,0.0
Solar Star New Jersey IV LLC,SunPower Corporation,1.0
Raven Power Holdings LLC,Raven Power Marketing LLC,0.0
Ashland Inc,Ashland Global Holdings Inc.,1.0
GreenWhey Holdings,"GreenWhey Energy, Inc.",1.0
Mascoma Hydro Corp,Mascoma Corporation,0.0
Hovensa,Hovensa LLC,1.0
NORESCO,"NORESCO, LLC",1.0
WestRock,WestRock Company,1.0
Enerkem,Enerkem Inc.,1.0
Bluegrass Generation Co LLC,"Bluegrass Labels Company, LLC",0.0
Duke Energy Corporation,"Duke Energy International, LLC",0.0
Midwest Generations EME LLC,"Midwest Generation EME, LLC",1.0
LA GENERATING LLC,Louisiana Generating LLC,1.0
Terrabon,"Terrabon, Inc.",1.0
Landauer,"Landauer, Inc.",1.0
Liberty Electric Power LLC,Liberty Electric PA LLC,0.0
Energy Unlimited Inc,Energy Savers Unlimited Inc.,0.0
NRG CONTROLS INC,NRG Energy Services LLC,0.0
Rocky Mountain Energy Ctr LLC,Rocky Mountain Energy Center LLC,1.0
Pattern Panhandle Wind LLC,Pattern Gulf Wind LLC,1.0
Green Carbon Inc,"Carbon Green, LLC",0.0
Orion Solar I LLC,Orion Capital Corporation,0.0
US Generating Co,"New Covert Generating Company, LLC",0.0
Perpetual Energy Systems,Perpetual Energy Inc.,0.0
