query_string,candidate_string,match
Duke Energy DEGS Happy Jack,"Duke Energy International, LLC",
"RRI Energy Wholesale Generation, LLC","RRI Energy, Inc.",
"Duke Energy Kentucky, Inc.",Duke Energy Americas LLC,
Entergy Corp,Entergy Wholesale Commodities,
Kinder Morgan Inc,Kinder Morgan North Texas Pipeline LLC,
"FPL Energy Callahan Wind, LLC","FPL Energy American Wind, LLC",
Consolidated Edison Solutions Inc,Consolidated Edison Energy Massachusetts Inc.,
Entergy Corporation,"Entergy Gulf States Hurricane Recovery Funding I, L.L.C.",
El Paso Wind LLC,El Paso Energy Partners Deepwater LLC,
Southern Power Co,Southern Electric Generating Company,
Kinder Morgan Inc,Kinder Morgan Canada Terminals ULC,
Dominion Generation,"Dominion Exploration & Production, Gulf Of Mexico Midstream Pipeline Interests",
FPL Energy LLC,FPL Energy National Wind LLC,
Consumers Energy Company,Consumers Energy Company Financing II,
Black Hills Wyoming Inc,"Black Hills Colorado IPP, LLC.",
Rice University,RiceÕs Gas & Oil Co.,0.0
Dalton Utilities,Dalton Resources Ltd.,
United Technologies,United Energy Corporation,
General Electric Contractual Services,"General Electric International, Inc.",
"SunCoke Energy, Inc.",SunCoke Energy Partners Finance Corp.,
Kinder Morgan Inc,Kinder Morgan Liquids Terminals LLC,
Entergy Corp,"Entergy New Orleans Storm Recovery Funding I, L.L.C",
Constellation Energy,"Constellation Enterprises, Inc.",
TransCanada Power,Transcanada Pipeline USA Ltd.,
Rio Bravo Jasmin,"Rio Bravo Oil, Inc.",
Black Hills Wyoming Inc,"Black Hills Energy Resources, Inc.",
Allegheny Energy,"Allegheny Electric Cooperative, Inc.",
Calpine Corp-Sutter,"Calpine Construction Finance Company, L.P.",
"SunE SPS4, LLC","SunE St. Cloud 1, LLC",
Harvest I,Harvest Natural Resources Inc.,
Cheyenne Light,Cheyenne Oil Well Services Ltd.,
NRG Delta LLC,NRG North America LLC,
Entergy Louisiana Inc,"Entergy New Orleans Storm Recovery Funding I, L.L.C",
NRG Sherbino LLC,"NRG REMA, LLC",
Doswell Limited Partnership,Doswell Energy Virginia Funding Corp.,
SunE AZ2 LLC,"SunE Winter 1, LLC",
El Paso Electric Co,"El Paso CNG Company, L.L.C.",
"Duke Energy Murray Operating, LLC","Duke Energy Florida, LLC",
AEP Texas North Company,AEP Texas Central Company,
Southern Company,Southern Wireline Services Ltd.,0.0
AES Corporation,AES Trust IX,
Entergy RISE,"Entergy Gulf States Louisiana, L.L.C.",
Encore Energy Partners Operating LLC,Encore Energy Partners GP LLC,
Entergy Texas Inc.,"Entergy Texas Restoration Funding, LLC",
Phillips 66,Phillips Alaska Pipeline Corporation,
Dominion Generation,"Dominion South Pipeline Company, LP",
AES Corp,Aes Placerita Inc.,
"Consolidated Edison of New York, Inc.","Consolidated Edison Energy, Inc.",
AES Corp,"AES Eastern Energy, L.P.",
Kinder Morgan Inc,Kinder Morgan Finance Company LLC,
NRG Solar PV LLC,NRG Solar Kansas South Holdings LLC,
Pinelawn Power LLC,Samchully Power & Utilities 1 LLC,
"Red Oak Power, LLC","Red Oak Power Urban Renewal Company, Llc",
Power Resources Ltd,"Power Resource Group, Inc.",
Eagle Rock Energy Partners,"Eagle Rock Midstream, L.P.",
San Jose/Santa Clara Water P C,San Jose Water Company,
CMS Enterprises Co.,Cms Of Delaware Inc.,
"Columbia Energy, LLC","Columbia Energy Ventures, LLC",
"High Plains Ranch II, LLC",High Plains Cooperative,
Emera Inc,"Emera Energy Services, Inc.",
Moore 1,Moore Oil Company,
Panda Global Services,"Panda Global Holdings, Inc.",
Energy Co.,Energy America Inc.,
Entergy RISE,"Entergy Texas, Inc.",
Phillips 66 - Los Angeles,Phillips 66 Capital I,
Energy Northwest,"Northwest Ohio Wind Energy, LLC",
DG Fairhaven Power LLC,Dg Whitefield Llc,
Black Hills Wyoming Inc,Black Hills Gas Holdings Corp.,
Constellation Energy,"Constellation Energy Gas Choice, LLC",
Calpine Corp,"Calpine Corp., Rocky Mountain Natural Gas Reserves",
Alta Wind V LLC,"Alta Wind Company, LLC",
ReEnergy Chateaugay LLC,ReEnergy Holdings LLC,
