query_string,candidate_string,match
Advocates for Highway and Auto Safety,ADVOCATES FOR HUMAN RIGHTS,0
National Association of Manufacturers,NATIONAL ASSOCIATION OF JAMAICAN AND SUPPORTIVE ORGANIZATIONS,0
United Airlines,UNITED WAY OF HOPEWELL PRINCE GEORGE,0
National Association of Home Builders,NATIONAL ASSOCIATION OF LATINO ARTS AND CULTURE,0
Environmental Defense Fund,ENVIRONMENT EDUCATION FUND,0
Texas Commission on Environmental Quality,TEXAS TECH UNIVERSITY - LAW SCHOOL FOUNDATION,0
Center for Food Safety,CENTER FOR FAMILIES,0
Aircraft Owners and Pilots Association,AIRCRAFT OWNERS AND PILOT ASSOCIATION FOUNDATION,1
New York State Department of Environmental Conservation,NEW YORK STATE FRATERNAL ORDER OF POLICE,0
Center for Science in the Public Interest,CENTER FOR LATINO INITIATIVES,0
New Jersey Department of Environmental Protection,NEW JERSEY STATE ELKS ASSOCIATION,0
API,RPI,0
Physicians Committee for Responsible Medicine,PHYSICIANS COMM FOR RESPIRATORY MEDICINE,0
Friends of the Earth,FRIENDS OF THE FORT SILL,0
Associated General Contractors of America,ASSOCIATED ARTISTS OF WINSTON SALEM,0
California Department of Transportation,CALIFORNIA MID STATE FAIR HERITAGE FOUNDATION,0
California Farm Bureau Federation,CALIFORNIA STATE UNIVERSITY - RESEARCH FOUNDATION,0
Minnesota Pollution Control Agency,MINNESOTA COUNCIL OF CHARITIES,0
Southern Company,SOUTHERN NASH SENIOR HIGH SCHOOL,0
Independent Community Bankers of America,INDEPENDENT PETROLEUM ASSOCIATION,0
Oregon Department of Transportation,OREGON STATE,0
Animal Welfare Institute,ANIMAL WELFARE SOCIETY,0
Missouri Department of Transportation,MISSOURI PRESERVATION,0
National Association of Clean Air Agencies,NATIONAL ASSOCIATION ON DRUG ABUSE PROBLEMS -NADAP-,0
Portland Cement Association,PORTLAND OPERA ASSOCIATION,0
Northwest Horticultural Council,NORTHWEST COALITION FOR BETTER SCHOOLS,0
