query_string,candidate_string,match
California Baptist University,California Thoroughbred Breeders Assn,0
EverPower Wind Holdings,Everpower Wind Holding,1
Renewable Energy Systems America,Renewable Energy Systems Americas,1
American Academy of Cosmetic Surgery,American Academy of Ophthalmology,0
Federation of Exchange Accommodators,Federation of Exchange Accomodators,1
Health Industry Distributers Assn,Health Industry Distributors Assn,1
Planned Parenthood Advocates,Planned Parenthood Voters Of Iowa,
Geisinger Health System Foundation,Geisinger Health System,1
Thomas More College,Thomas More Conference,0
California Assn of Physician Orgs,California Assn of Physician Groups,1
Environmental Technology Council,Environmental Alliance,0
Americans for Common Cents,Americans for a Peaceful Middle East,0
Mount Sinai Medical Center,Mount Sinai Medical Center of Florida,1
American College of Ob/Gynecologists,American College of Nurse Practitioners,0
Florida Society of Ambulatory Centers,Florida Society of Ambulatory Surgery Centers,1
Georgia Municipal Assn,Georgia Mining Assn,0
Montgomery Watson,Montgomery Ward,0
California School Voluntary Employee Benefits Assn,California School Employees Assn,0
Asian American Justice Center,Asian American Action Fund,0
Providence Plan,Provident Financial Services,0
American Society for Horticultural Science,American Society of Anesthesiologists,0
Health Diagnostics Laboratory,Health Diagnostic Laboratory,1
National Council of Investigation & Security Svcs,National Council of Investigative & Security Serv,1
Environmental Disposal Systems,Environmental Industry Assns,0
Americans for Annuity Protection,"Americans for Growth, Opportunity & Prosperity",0
Committee for Bankruptcy Reform,Committee for Accessible Health Care,0
American Standard Roofind,American Standard Companies,0
Silicon Valley Leadership Group,Silicon Valley Leadership PAC,1
California Technology Council,California Congress of Republicans,0
JJF Management Service,JJF Management Services,1
Marine Retailers Assn of the Americas,Marine Retailers Assn of America,1
Council of Graduate Schools,Council for Government Reform,0
Society for Cardiovasculr Angiography/Intervention,Society for Cardiovascular Angiography,1
Roger Williams Medical Center,Roger Williams US Senate Cmte,0
American Institute for Stuttering,American Institute of CPAs,0
Friends of the Children,Friends of John Lafalce,0
Hay Island Holding,Hay Island Holdingÿ,1
California Community Colleges,California Poultry Federation,0
Alliance for Connected Care,Alliance for Quality Nursing Home Care,0
American Society of Landscape Architects,American Society of Pension Actuaries,0
Major League Baseball Charities,Major League Baseball Commissioner's Ofc,0
Citizens for Jobs & the Economy,Citizens for a Working America,0
Republican River Basin Coalition,Republican Primary PAC,0
Patriot Contract Services,Patriot PAC (Rogan),0
American College of Nurse Midwives,American College of Nurse-Midwives,1
Government Employees Health Assn,Government Employees Hospital Assn,0
Genesis Health Care,Genesis HealthCare,1
Small Business Finance Assn,Small Business Investor Alliance,0
Cable & Wireless Global,Cable & Wireless USA,
American Society of Plant Biologists,American Society of Plastic Surgeons,0
Alliance for Patient Access,Alliance for Natural Health USA,0
South Carolina Assn of Community Devel,South Carolina Peanut Growers Assn,0
New York State Public Defenders Assn,New York State Public Employees Fedn,0
Pacific Israel NR,Pacific Seafood Group,0
Mississippi Communities Council,Mississippi Conservatives,0
