query_string,candidate_string,match
"Cambria Community Services District, California",Cambria Community Services District California,1
Arthur Schuman Inc.,Arthur Schuman Inc,1
"MAERSK, INC.",MAERSK INC,1
"Burlingame, City of",Burlingame City of,1
"OPTIVUS TECHNOLOGY, INC.",OPTIVUS TECHNOLOGY INC,1
"City of Demopolis, AL",City of Demopolis AL,1
"RAMSEY COUNTY, MN",RAMSEY COUNTY MN,1
"POLK COUNTY, IA",POLK COUNTY IA,1
"Spark Therapeutics, Inc.",Spark Therapeutics Inc,1
IHS Inc.,IHS Inc,1
"PHYRE TECHNOLOGIES, INC.",PHYRE TECHNOLOGIES INC,1
"Matson Navigation Company, Inc.",Matson Navigation Company Inc,1
"Perry Capital, LLC",Perry Capital LLC,1
"FirstEnergy Transmission, LLC",FirstEnergy Transmission LLC,1
Mt. Vernon Barge Service,Mt Vernon Barge Service,1
"Corporate Friends of CDC, Inc.",Corporate Friends of CDC Inc,1
"Mandan, Hidatsa, and Arikara Nation",Mandan Hidatsa and Arikara Nation,1
BARCLAYS BANK PLC & U.S. AFFILIATES,BARCLAYS BANK PLC & U S AFFILIATES,1
"INNOVACARE, INC.",INNOVACARE INC,1
"TEAMHEALTH, INC.",TEAMHEALTH INC,1
"myNEXUS, Inc.",myNEXUS Inc,1
"BATS GLOBAL MARKETS, INC.",BATS GLOBAL MARKETS INC,1
"CORNERSTONE GOVERNMENT AFFAIRS OBO NIKE, INC.",CORNERSTONE GOVERNMENT AFFAIRS OBO NIKE INC,1
"GOLDMAN, SACHS & CO",GOLDMAN SACHS & CO,1
"Jefferson County, AL",Jefferson County AL,1
"Motorola, Inc.",Motorola Inc,1
"SUNRUN, INC.",SUNRUN INC,1
"Aerospace Intelligence, LLC",Aerospace Intelligence LLC,1
"Sonnenschien, Nath & Rosenthal",Sonnenschien Nath & Rosenthal,1
"City of West Park, Florida",City of West Park Florida,1
"POWELL, RICHARD",POWELL RICHARD,1
"ATALAY, AYDIN",ATALAY AYDIN,1
"Mitsui Oil Exploration Company, Ltd.",Mitsui Oil Exploration Company Ltd,1
Cray Inc.,Cray Inc,1
"Epsilon Systems Solutions, Inc.",Epsilon Systems Solutions Inc,1
"BOONE COUNTY SHERIFF'S OFFICE, KENTUCKY",BOONE COUNTY SHERIFF'S OFFICE KENTUCKY,1
"DESJARLAIS, GENE",DESJARLAIS GENE,1
Marquix Inc.,Marquix Inc,1
Jay Cashman Inc.,Jay Cashman Inc,1
"Western Center on Law and Poverty, Inc.",Western Center on Law and Poverty Inc,1
"MATTEL, INC.",MATTEL INC,1
Gotmortgage.com,Gotmortgage com,1
"PRESERVATION ACTION, INC.",PRESERVATION ACTION INC,1
"City of Lawndale, CA",City of Lawndale CA,1
"Usibelli Coal Mine, Inc.",Usibelli Coal Mine Inc,1
White River Petroleum Co Inc.,White River Petroleum Co Inc,1
"Stiefel Laboratories, Inc.",Stiefel Laboratories Inc,1
"Antares, Walter et al",Antares Walter et al,1
"Serepta Therapeutics, Inc.",Serepta Therapeutics Inc,1
Phonefree.com,Phonefree com,1
"BLACK, KELLY, SCRUGGS & HEALEY",BLACK KELLY SCRUGGS & HEALEY,1
"Elizabeth Lange, LLC",Elizabeth Lange LLC,1
"Esoco Orrington, Inc",Esoco Orrington Inc,1
"Kroll Bond Rating Agency, Inc.",Kroll Bond Rating Agency Inc,1
"CENTER FOR TECHNOLOGY COMMERCIALIZATION, INC",CENTER FOR TECHNOLOGY COMMERCIALIZATION INC,1
"MIDWEST DIVISION Ñ ACH, LLC",MIDWEST DIVISION Ñ ACH LLC,1
"HYPOWER FUEL, INC.",HYPOWER FUEL INC,1
"MINNKOTA POWER COOPERATIVE, INC.",MINNKOTA POWER COOPERATIVE INC,1
KR WINDPOWER INC.,KR WINDPOWER INC,1
"MSI-Defense Systems US, Inc",MSI-Defense Systems US Inc,1
"Makai Licensing and Finance, LLC",Makai Licensing and Finance LLC,1
"HOMEPLATE GROUP, INC",HOMEPLATE GROUP INC,1
"VIASPACE, Inc.",VIASPACE Inc,1
"CITY OF MCKINNEY, TEXAS",CITY OF MCKINNEY TEXAS,1
B.F. SAUL COMPANY,B F SAUL COMPANY,1
"Prince, Yeates & Geldzhahler",Prince Yeates & Geldzhahler,1
"Robbins, Geller et al",Robbins Geller et al,1
"EXPRESS SCRIPTS, INC",EXPRESS SCRIPTS INC,1
"EXEROS, INC.",EXEROS INC,1
"Town of Kill Devil Hills, NC",Town of Kill Devil Hills NC,1
Isagro USA Inc.,Isagro USA Inc,1
BCG SERVICES INC.,BCG SERVICES INC,1
"Cypress Energy Partners, L.P.",Cypress Energy Partners L P,1
"CALPINE AGNEWS, INC.",CALPINE AGNEWS INC,1
Jewish Hospital and St. Mary's Healthcare,Jewish Hospital and St Mary's Healthcare,1
S. Clark Butler Properties Corporation,S Clark Butler Properties Corporation,1
"MAGLEV, INC",MAGLEV INC,1
"BiltBest Windows and Patio Doors, Inc.",BiltBest Windows and Patio Doors Inc,1
"Marin County, CA",Marin County CA,1
"American Electric Power Company, Inc.",American Electric Power Company Inc,1
"Romios Gold Resources, Inc.",Romios Gold Resources Inc,1
"NC Beach, Inlet & Waterway Assn",NC Beach Inlet & Waterway Assn,1
"City of Placentia, CA",City of Placentia CA,1
"STANFORD, R ALLEN",STANFORD R ALLEN,1
McKinstry Co.,McKinstry Co,1
"VERNER, LIIPFERT BERNHARD MCPHERSON & HAND CHARTERED",VERNER LIIPFERT BERNHARD MCPHERSON & HAND CHARTERED,1
"COMPREHENSIVE NEUROSCIENCE, INC",COMPREHENSIVE NEUROSCIENCE INC,1
"City of Crookston, MN",City of Crookston MN,1
"VEH Solutions, LLC",VEH Solutions LLC,1
Crimson Exploration Inc.,Crimson Exploration Inc,1
"Mohave County, AZ Board of Supervisors",Mohave County AZ Board of Supervisors,1
"L-3 Mustang Technology Group, LP",L-3 Mustang Technology Group LP,1
Luxottica U.S. Holdings Corp.,Luxottica U S Holdings Corp,1
"NAVIGATORS GLOBAL, LLC",NAVIGATORS GLOBAL LLC,1
"CITY OF ONTARIO, CA",CITY OF ONTARIO CA,1
Safeway Inc.,Safeway Inc,1
"Parry, Romani et al",Parry Romani et al,1
U.S. Committee for Refugees and Immigrants,U S Committee for Refugees and Immigrants,1
"WILDLANDS,  INC.",WILDLANDS INC,1
REPUBLIC STEEL SALARIED RETIREES ASSOC.,REPUBLIC STEEL SALARIED RETIREES ASSOC,1
"KINETIC CONCEPTS, INC.",KINETIC CONCEPTS INC,1
"Optim Energy, LLC",Optim Energy LLC,1
CERBERUS CAPITAL MANAGEMENT L.P.,CERBERUS CAPITAL MANAGEMENT L P,1
"Science and Engineering Services, Inc.",Science and Engineering Services Inc,1
"Red, White and Blue, LLC",Red White and Blue LLC,1
"KILKENNY, ALAN",KILKENNY ALAN,1
"Brocade Communications Systems, Inc.",Brocade Communications Systems Inc,1
"Pine Brook Road Partners, LLC",Pine Brook Road Partners LLC,1
"Cox Enterprises, Inc",Cox Enterprises Inc,1
"ZeaChem, Inc.",ZeaChem Inc,1
"NRG Wind, LLC",NRG Wind LLC,1
"INTEGRATED MANAGEMENT RESOURCES GROUP, INC",INTEGRATED MANAGEMENT RESOURCES GROUP INC,1
"ADT SECURITY SERVICES, INC",ADT SECURITY SERVICES INC,1
"RP Management, LLC",RP Management LLC,1
"Chembio Diagnostics, Inc.",Chembio Diagnostics Inc,1
"Hyperion Biotechnology, Inc.",Hyperion Biotechnology Inc,1
"Kane, Jerry",Kane Jerry,1
"Lowe's Companies, Inc.",Lowe's Companies Inc,1
"COMMONWEALTH OF KY, HOMELAND SECURITY OFFICE",COMMONWEALTH OF KY HOMELAND SECURITY OFFICE,1
Stockton Airport Pilots Assn.,Stockton Airport Pilots Assn,1
"City of Nacogdoches, TX",City of Nacogdoches TX,1
U.S. Fashion Industry Association,U S Fashion Industry Association,1
"Stetson Wind II, LLC",Stetson Wind II LLC,1
CNS INC.,CNS INC,1
"HDR, Inc.",HDR Inc,1
"Sunbury Generation, LLC",Sunbury Generation LLC,1
"Recreation Vehicle Industry Association, Inc.",Recreation Vehicle Industry Association Inc,1
CALIFORNIA ACADEMY OF FAMILY PHYSICIANS ,CALIFORNIA ACADEMY OF FAMILY PHYSICIANS,1
"Rutgers, The State University of New Jersey",Rutgers The State University of New Jersey,1
"KELLEY DRYE & WARREN, LLP",KELLEY DRYE & WARREN LLP,1
"EXELON ENERGY DELIVERY COMPANY, LLC",EXELON ENERGY DELIVERY COMPANY LLC,1
"Consolidated Edison of New York, Inc.",Consolidated Edison of New York Inc,1
"New Vision Energy, LLC",New Vision Energy LLC,1
WASHINGTON CO. PUBLIC SCHOOLS,WASHINGTON CO PUBLIC SCHOOLS,1
"Grand Canyon Education, Inc.",Grand Canyon Education Inc,1
"C-METRIC, INC.",C-METRIC INC,1
"HEALTHWAYS, INC.",HEALTHWAYS INC,1
"ORGIL INTERNATIONAL GREENHOUSES, CORP.",ORGIL INTERNATIONAL GREENHOUSES CORP,1
PRIME POLICY GROUP.,PRIME POLICY GROUP,1
"Engineered Tax Services, Inc.",Engineered Tax Services Inc,1
REGIONS FINANCIAL CORP.,REGIONS FINANCIAL CORP,1
"FEDSTATE STRATEGIC CONSULTING, INC",FEDSTATE STRATEGIC CONSULTING INC,1
"FISH MEDICAL CENTER, BERT",FISH MEDICAL CENTER BERT,1
"BROADWATER ENERGY, LLC",BROADWATER ENERGY LLC,1
"Tom Spahn, VS LLC",Tom Spahn VS LLC,1
"OLAERTS, NICK",OLAERTS NICK,1
"Applied Safety & Ergonomics, Inc.",Applied Safety & Ergonomics Inc,1
"Toyota North America, Incorporated",Toyota North America Incorporated,1
Olympia Group  ,Olympia Group,1
"Great White Shark Enterprises, Inc.",Great White Shark Enterprises Inc,1
"VOLUSIA COUNTY, FL",VOLUSIA COUNTY FL,1
"BROWNSTEIN, HYATT, FARBER AND SCHRECK",BROWNSTEIN HYATT FARBER AND SCHRECK,1
"Michael, Best & Friedrich",Michael Best & Friedrich,1
"R Systems, Inc.",R Systems Inc,1
"George W. Fowler Company, LLC",George W Fowler Company LLC,1
"SiliconCore Technology, Inc.",SiliconCore Technology Inc,1
"SYSTEMATIC DEVELOPMENT GROUP, LLC",SYSTEMATIC DEVELOPMENT GROUP LLC,1
"PALM, INC.",PALM INC,1
"Douglas County, NE",Douglas County NE,1
"FPL energy, llc",FPL energy llc,1
"Vistas Construction of Illinois, Inc.",Vistas Construction of Illinois Inc,1
"TOWN OF SECAUCUS, NJ",TOWN OF SECAUCUS NJ,1
"Solebury Township, PA",Solebury Township PA,1
"THE GANNETT COMPANY, INC.",THE GANNETT COMPANY INC,1
TOYOTA MOTOR  NORTH AMERICA,TOYOTA MOTOR NORTH AMERICA,1
"CITY OF ASHEVILLE, NC",CITY OF ASHEVILLE NC,1
"City of Dana Point, California",City of Dana Point California,1
"NEWS GROUP INTERNATIONAL, INC.",NEWS GROUP INTERNATIONAL INC,1
"City of Watsonville, CA",City of Watsonville CA,1
"NOVELL, INC",NOVELL INC,1
"Valley Tech Systems, Inc.",Valley Tech Systems Inc,1
"Brookdale Senior Living, Inc.",Brookdale Senior Living Inc,1
Federal Home Loan Mortgage Corporation ,Federal Home Loan Mortgage Corporation,1
"Linxx Global Solutions, Inc.",Linxx Global Solutions Inc,1
"MITTAL STEEL COMPANY, NV",MITTAL STEEL COMPANY NV,1
"Municipality of Barceloneta, PR",Municipality of Barceloneta PR,1
"City of Bullhead City, Arizona",City of Bullhead City Arizona,1
"City of Redondo Beach, CA",City of Redondo Beach CA,1
"PENN NATIONAL GAMING, INC.",PENN NATIONAL GAMING INC,1
"City of Signal Hill, CA",City of Signal Hill CA,1
ASSOCIATED FISHERIES  OF MAINE,ASSOCIATED FISHERIES OF MAINE,1
"PARSHALL, CRAIG",PARSHALL CRAIG,1
"City of Hollywood, FL",City of Hollywood FL,1
Innovative Biotherapies                 ,Innovative Biotherapies,1
"Coalition for a Domestic Insurance Industry, Inc.",Coalition for a Domestic Insurance Industry Inc,1
"LENZING FIBERS, INC.",LENZING FIBERS INC,1
Clearing House Association L.L.C.,Clearing House Association L L C,1
"FREEPORT-MCMORAN COOPER & GOLD, INC.",FREEPORT-MCMORAN COOPER & GOLD INC,1
"Hon. John L. Loeb, Jr.",Hon John L Loeb Jr,1
"Endocrine Policy Forum,CropLife America",Endocrine Policy Forum CropLife America,1
"Osiris Therapeutics, Inc.",Osiris Therapeutics Inc,1
"Japan Airlines Co., Ltd",Japan Airlines Co Ltd,1
"EBITDA Capital, LLC",EBITDA Capital LLC,1
