query_string,candidate_string,match
"The Arizona Electric Power Cooperative, Inc.","Arizona Electric Power Cooperative, Inc.",1
"The Interstate 73 Coalition, LLC","Interstate 73 Coalition, LLC",1
The Video House,Video House,1
"The Shaw Group, Inc.","Shaw Group, Inc.",1
The Gates Corporation,Gates Corporation,1
The Goldenberg Group Inc,Goldenberg Group Inc,1
THE PLM GROUP LLC,PLM GROUP LLC,1
The Senior Citizens League,Senior Citizens League,1
The Campaign Legal Center Inc,Campaign Legal Center Inc,1
The Geo Group Inc.,Geo Group Inc.,1
The University of North Carolina at Chapel Hill  Foundation,University of North Carolina at Chapel Hill  Foundation,1
THE GEORGE WASHINGTON UNIVERSITY,GEORGE WASHINGTON UNIVERSITY,1
The O'Gara Group,O'Gara Group,1
The Town Hall Foundation Inc,Town Hall Foundation Inc,1
The Washington Post Company,Washington Post Company,1
The City of University City,City of University City,1
The Buoniconti Fund to Cure Paralysis,Buoniconti Fund to Cure Paralysis,1
The CDL School,CDL School,1
"The Transport Workers Union of America, AFL-CIO","Transport Workers Union of America, AFL-CIO",1
The DIRECTV Group Inc,DIRECTV Group Inc,1
THE WOODLAND GROUP,WOODLAND GROUP,1
The Pyramid Companies,Pyramid Companies,1
The Rodale Institute,Rodale Institute,1
The Southern Company,Southern Company,1
The Law Office of John T. O'Rourke,Law Office of John T. O'Rourke,1
The Housing Partnership Network,Housing Partnership Network,1
"THE HAMILTON GROUP, LLC","HAMILTON GROUP, LLC",1
The International Buddhist Sangha Association,International Buddhist Sangha Association,1
The Michael J. Fox Foundation For Parkinson's Research,Michael J. Fox Foundation For Parkinson's Research,1
"THE PARALLAX GROUP INTERNATIONAL, LLC","PARALLAX GROUP INTERNATIONAL, LLC",1
The S Corporation Association,S Corporation Association,1
The Nielsen Company,Nielsen Company,1
The Severn Companies,Severn Companies,1
The Paso del Norte Group,Paso del Norte Group,1
The Commonwealth of the Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,1
The Deaf People,Deaf People,1
The Tatitlek Corporation,Tatitlek Corporation,1
The Brink's Company,Brink's Company,1
THE DIRECTV GROUP INC.,DIRECTV GROUP INC.,1
The Andersons Denison Ethanol LLC,Andersons Denison Ethanol LLC,1
The Cyprus Coalition,Cyprus Coalition,1
THE REACH OUT AND READ NATIONAL CENTER,REACH OUT AND READ NATIONAL CENTER,1
THE EARTH INSTITUTE COLUMBIA UNIVERSITY,EARTH INSTITUTE COLUMBIA UNIVERSITY,1
THE NASDAQ OMX GROUP INC,NASDAQ OMX GROUP INC,1
THE CAPITAL GROUP COMPANIES INC AND ITS AFFILIATES,CAPITAL GROUP COMPANIES INC AND ITS AFFILIATES,1
