string0,string1
Lane County Community & Economic Development Dept,Lane County Community and Economic Development Department
Suntex International,SUNTEX INTL
"Dillon, Charles T Esq","Charles T.Dillon, Esq."
Harris Watson Holdings,HARRIS WATSON HOLDINGS
American Car Rental Assn,American Car Rental Association
GSW Arena,GSW Arena LLC
Planned Parenthood Action Fund,"PLANNED PARENTHOOD ACTION FUND, INC"
Pasteur Merieux Connaught,SANOFI PASTEUR
American Freedom Innovations,"American Freedom Innovations, LLC"
AQX Sports,AQx
Endo Pharmaceuticals,"Endo Pharmaceuticals, Inc."
DJO Global,"DJO Global, Inc."
Black River Memorial Hospital,BLACK RIVER MEMORIAL HOSPITAL
DaVita Healthcare Partners,"DaVita Healthcare Partners, Inc."
Adams & Zottarelli,ADAMS & ZOTTARELLI
Turtle Mountain Band of Chippewa Indians,TURTLE MOUNTAIN BAND OF CHIPPEWA
Cuyahoga County Board of Commissioners,"BOARD OF COUNTY COMMISSIONERS, OFFICE OF CUYAHOGA COUNTY ADMINISTRATOR"
"Cook, Henry J III",Henry J Cook III
Coastal Point Energy,Coastal Point Energy LLC
Health Dialog,Health Dialog Services Corporation
Sterilmed Inc,STERILMED INC
BCE Telecom International,BCE TELECOM INTL
Longview Global,"LONGVIEW GLOBAL, LLC"
Blackberry,BlackBerry Limited
Reed Smith LLP,REED SMITH LLP
JM Specialty Consulting,"JM Specialty Consulting, LLC"
Solid Waste Authority/Palm Beach County,SOLID WASTE AUTHORITY OF PALM BEACH COUNTY
Tallahassee Community College,TALLAHASSEE COMMUNITY COLLEGE
Missouri School Board Assoc,MISSOURI SCHOOL BOARDS' ASSOCIATION
Mary Peters Consulting,"Mary Peters Consulting, LLC"
Alkermes Inc,ALKERMES INC
Art & Science Collaborative,Art & Science Collaborative LLC
Worldbusiness Capital,WORLDBUSINESS CAPITAL INC
KCoe Isom,"KCoe Isom, LLP"
"Hickox, Jason",Jason Hickox
Soc Glass & Ceramic Decorated Products,Society of Glass & Ceramic Decorated Products
Oregon Military Dept,OREGON MILITARY DEPARTMENT
Middle East Institute,MIDDLE EAST INSTITUTE
Vinyl Institute,VINYL INST
Advanced Concepts & Technologies Intl,ADVANCED CONCEPTS & TECHNOLOGIES INTERNATIONAL LLC
EnerNOC Inc,EnerNOC Inc.
Catfish Farmers of America,CATFISH FARMERS OF AMERICA
Ever Properties,EVER PROPERTIES
Alanco Technologies Inc,"ALANCO TECHNOLOGIES, INC."
Intuitive Surgical,"Intuitive Surgical, Inc."
Mariner Health Group Inc,MARINER HEALTH GROUP
New Horizons Inst of Cosmetology,NEW HORIZONS INST OF COSMETOLOGY
Nutech O3 Inc,"NUTECH 03, INC."
Genentech Inc,"Genentech, Inc."
Computershare Investor Services,COMPUTERSHARE INVESTOR SERVICES
JD Irving Ltd,"IRVING, J.D."
Walter Moore Assoc,Walter Moore Associates
Broadcom Inc,BROADCOM INC
Electricity Consumers Resource Council,ELECTRICITY CONSUMERS RESOURCE COUNCIL
"Smith, Dawson & Andrews",SMITH DAWSON AND ANDREWS
National Knitwear & Sportswear Assn,NATL KNITWEAR & SPORTSWEAR ASSN
Appraisal Institute,APPRAISAL INSTITUTE
CHS Inc,CHS INC.
Atlanta Beltline Inc,"Atlanta Beltline, Inc."
W2E USA,"W2E USA, Inc."
SWF Consulting,"SWF Consulting, L.L.C."
SAP National Security Services,"SAP National Security Services, Inc."
Gulf Coast Waste Disposal Authority,GULF COAST WASTE DISPOSAL AUTHORITY
National Assn of Business PACs,NATL ASSN OF BUSINESS POLITCAL ACTION COMMITTEE
Iberville Parish School Board,IBERVILLE PARISH SCHOOL BOARD
Government Entities Mutual,"Government Entities Mutual, Inc."
"City of Dana Point, CA","CITY OF DANA POINT, CA"
National Small Business Assn,NATL SMALL BUSINESS ASSN
"Memorial Healthcare System Hollywood, FL",Memorial Healthcare System
"Waters, Ronald L","WATERS, RONALD L"
Mantria Corp,MANTRIA CORP
Gephardt Group,Gephardt Group Government Affairs
Mecklenberg County Sheriff's Office,MECKLENBURG COUNTY SHERIFF'S OFFICE
Bigelow Aerospace,"Bigelow Aerospace, LLC"
Tiger Global Management,"Tiger Global Management, LLC"
Committee for Pipe & Tube Imports,COMMITTEE ON PIPE AND TUBE IMPORTS
Policy Action Ltd,POLICY ACTION LTD
Anadarko Petroleum,ANADARKO PETROLEUM
Amah Mutsun Band,AMAH MUTSUN BAND
Mt Picture Display Corp of America,MT PICTURE DISPLAY CORP OF AMERICA
Advanced Food Products,"AFP ADVANCED FOOD PRODUCTS, LLC"
College of New Rochelle,COLLEGE OF NEW ROCHELLE THE
Raytheon Solipsys,RAYTHEON SOLIPSYS CORP
PeopleForBikes,Bikes Belong Foundation
Siegegale,SIEGEGALE
DCI Group,"DCI GROUP, LLC"
Morris Communications,MORRIS COMMUNICATIONS
Decision Sciences Corp,DECISION SCIENCES INTERNATIONAL CORPORATION
Pioneer Natural Resources USA,Pioneer Natural Resources
Accrediting Council/Independent Colleges & Schools,Accrediting Council for Independent Colleges & Schools
Cyren Call Communications,CYREN CALL COMMUNICATIONS
Ineos Fluor Americas,INEOS FLUOR AMERICAS LLC
Mazzetta Co,MAZZETTA COMPANY LLC
HealthSpot Inc,HealthSpot
Nanosys Inc,NANOSYS
Geo Enterprises,GEO ENTERPRISES
ConocoPhillips,CONOCO
Atmospheric Glow Technologies,ATMOSPHERIC GLOW TECHNOLOGIES
"Doyle, Robert H","DOYLE, ROBERT H"
Huntsman Corp,HUNTSMAN CORPORATION
"Lodge, Terri S","LODGE, TERRI S."
Heartland Consulting Group,"Heartland Solutions Group, Inc."
AM General Corp,AM GENERAL CORPORATION
Silverado Gold Mines,SILVERADO GOLD MINES LTD
Boardpoint,BOARDPOINT
WPX Energy,"WPX Energy, Inc"
"Wood, Annette F","WOOD, ANNETTE F."
Capitol Resources,"Capitol Resources, LLC"
Swiss Reinsurance,Swiss Reinsurance Company Ltd
Weizmann Institute of Science,AMERICAN COMMITTEE FOR THE WEIZMANN INSTITUTE OF SCIENCE
Corning Inc,CORNING INCORPORATED - GOVERNMENT AFFAIRS OFFICE
Pollution Control Industries,POLLUTION CONTROL INDUSTRIES
American Bankers Insurance Assn,AMERICAN BANKERS INSURANCE ASSOCIATION
Rebuild America's Schools,REBUILD AMERICA'S SCHOOLS COALITION
"Gordon, Angelo","GORDON, ANGELO"
HCR Manor Care,HCR-MANOR CARE
Valerian Capital,"Valerian Capital Group, LLC"
4-D Neuroimaging,4D NEUROIMAGING
Syf Group,SYF GROUP
Alaska Federal Consultants,ALASKA FEDERAL CONSULTANTS
"Sheet Metal, Air, Rail & Transportation Union","International Association of Sheet Metal, Air, Rail, and Transportation Workers"
Nsf International,NSF International LLC
"Teigland, Kathy",Kathy Teigland
St Joseph Hospital,ST. JOSEPH HOSPITAL
North Carolina Assn of Electric Coops,NORTH CAROLINA ASSN OF ELECTRIC COOPERATIVES
Kaman Corp,KAMAN CORPORATION AND SUBSIDIARIES
Gilead Sciences,"Gilead Sciences, Inc."
Fairview Health Services,FAIRVIEW HOSPITAL & HEALTHCARE SERVICES
Prairie Capital,Prairie Capital L.P.
Xyant Technologies,XYANT TECHNOLOGIES
Valanzano & Assoc,Anthony Valanzano
Burroughs & Chapin,BURROUGHS AND CHAPIN COMPANY INC
Knowledge Sharing Systems,KNOWLEDGE SHARING SYSTEMS
CSI Oklahoma,"KNWEBS, LLC"
Aetrex Worldwide,AETREX WORLDWIDE INC
"Hamilton, William",William Hamilton
University of Wisconsin,UNIV OF WISCONSIN SYSTEM BOARD OF REGENTS
Pacific Companies,The Pacific Companies
"Griffin, Janice B",Janice Griffin
Rx Vitamins,RX VITAMINS
United Families International,UNITED FAMILIES INTL
Computer Systems Center,COMPUTER SYSTEMS CENTER INC
Reliable Power,RELIABLE POWER
Advanced Testing Technologies,Advanced Testing Technologies Inc.
Mehlman Capitol Strategies,"Mehlman Capitol Strategies, Inc."
"Lane, Lee","LANE, LEE"
Vanguard Group,VANGUARD
Fulbright & Jaworski,FULBRIGHT & JAWORSKI
Mazzetta Co,MAZZETTA CO LLC
YUM! Brands,Yum! Brands
Chitimacha Tribe of Louisiana,CHITIMACHA TRIBE OF LOUISIANA
Monsanto Co,MONSANTO COMPANY
Pronj Healthcare Quality Improvement Org,PRONJ HEALTHCARE QUALITY IMPROVEMENT ORGANIZATION
ReSRC Ltd,RESRC LIMITED
Total Aquazole USA,TOTAL AQUAZOLE USA
"Town of Jupiter, FL",TOWN OF JUPITER ISLAND FL
3M Co,3M COMPANY
Lutheran Theological Seminary at Phila,Lutheran Theological Seminary at Philadelphia
Atlanta Watershed Authority,ATLANTA WATERSHED AUTHORITY
"City of Ontario, CA",CITY OF ONTARIO
Citigroup Management Corp,Citigroup
TECO Energy,TECO ENERGY
Trinity Industries,TRINITY INDUSTRIES
Bader Co,Bader Company
Westinghouse Government Services,WESTINGHOUSE GOVERNMENT SERVICES
Amerada Hess Corp,AMERADA HESS CORP
Occidental International,OCCIDENTAL INTL CORP
Americans for Choice in Education,AMERICANS FOR CHOICE IN EDUCATION
Ward & Smith,"Ward and Smith, P.A."
National Assn of Recording Merchandisers,NATL ASSN OF RECORDING MERCHANDISERS
"Graydon, Head & Ritchey","GRAYDON HEAD & RITCHEY, LLP"
Mobile Healthcare,MOBILE HEALTHCARE
Mt Vernon Group,The Mount Vernon Group
JUUL Labs,"JUUL Labs, Inc."
Cardinal Stritch University,CARDINAL STRITCH UNIV
Law Offices of Melvin F Sykes,"SYKES, LAW OFFICES OF MELVIN F."
Headwaters Inc,HEADWATERS
National Business Aviation Assn,NATIONAL BUSINESS AVIATION ASSN
Henan Mianchi Great Wall Corundum,HENAN MIANCHI GREAT WALL CORUNDUM CO LTD
Organization for Autism Research,ORGANIZATION FOR AUTISM RESEARCH
Alliance for Retired Americans,ALLIANCE FOR RETIRED AMERICANS
Nalco Holding Co,NALCO COMPANY
Anresco Inc,ANRESCO INC
American Academy of Child & Adolescent Psychiatry,AMERICAN ACADEMY OF CHILD & ADOLESCENT PSYCHIATRY
Wellpinit School District 49,WELLPINIT SCHOOL DISTRICT #49
Oriana House,ORIANA HOUSE INC
SLT Secured Systems,"SLT Secured Systems, LLC"
Greater New Orleans,"Greater New Orleans, Inc."
Last Minute Travel Inc,LAST MINUTE TRAVEL INC
AFGE Local 3721,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES LOCAL 3721
National Guard Assn of Michigan,National Guard Association of Michigan
Advanced Strategies,"Advanced Strategies, Inc."
"Clough, Harbour & Assoc",CLOUGH HARBOUR & ASSOCIATES LLP
Visiting Nurse Assn/Manchester & S NH,VISITING NURSE ASSN OF MANCHESTER & SOUTHERN NEW HAMPSHIRE
JUB Engineers,"J U B ENGINEERS, INC"
"Collison, John",John Collison
Northeastern Retail Lumber Assn,Northeastern Retial Lumber Association
Grupo Televisa,GRUPO TELEVISA SA
Alabama Hospital Assn,Alabama Hospital Association
National Assn of Insurance Commissioners,NATL ASSN OF INSURANCE COMMISSIONERS
Port Huron Development,"PORT HURON DEVELOPMENT, LLC"
Capitol Tax Partners,CAPITOL TAX PARTNERS LLP
Southwest Airlines,Southwest Airlines Company
Hecla Mining,Hecla Limited
Auto Care Assn,AUTO CARE ASSOCIATION
Campbell Soup,FOOD PRODUCTS ASSN
Knowledge Learning Corp,KNOWLEDGE LEARNING CORPORATION
International Union of Police Assn,"INTERNATIONAL UNION OF POLICE ASSOCIATIONS, AFL-CIO"
Western Growers Assn,WESTERN GROWERS ASSN
IDM Pharma,IDM PHARMA INC
Texas Engineering & Technical Consortium,TEXAS ENGINEERING & TECHNICAL CONSORTIUM
Bituminous Coal Operators Assn,"Bituminous Coal Operators Association, Inc."
DCS Inc,DCS INC
Columbus County Hospital,COLUMBUS COUNTY HOSPITAL
Nova Engineering,NOVA ENGINEERING
Pacific International Engineering,PACIFIC INTERNATIONAL ENGINEERING COMPANY
Jefferson Business Consulting,"Jefferson Business Consulting, LLC"
American Resort Development Assn,AMERICAN RESORT DEVELOPMENT ASSN
"Stanislaus County, CA","STANISLAUS CO, CA"
Highway 30 Fund,HIGHWAY 30 FUND
"Cameron County, TX",CAMERON COUNTY
Sharps Compliance,"Sharps Compliance, Inc."
Granite State Manufacturing,GRANITE STATE MANUFACTURING
Knoxville Utilities Board,KNOXVILLE UTILITIES BOARD
International Group of P&I Clubs,INTERNATIONAL GROUP OF P&I CLUBS
Washington Post Co,WASHINGTON POST CO
S&J Government Consulting Services,"S & J Government Consulting Services, LLC"
